policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
periodic_rotation,7,True,True,572.0,1212.0,640.0,18.099532620148103,6.673492286353596,1212.0,24.84307282234372,3.2838905338283206,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1212.0,572.0,6.1018641208730235,9.385754654701344,9.355454046769355
health_greedy,7,True,True,1382.0,1431.0,49.0,26.65609914642145,1.505001938514205,1431.0,27.127748333054576,1.3143875166094219,25,23,"(np.int64(1), np.int64(2), np.int64(0))",,1382.0,1431.0,8.222158343407179,9.5365458600166,9.3690441296308
expected_max,7,True,True,1382.0,1433.0,51.0,26.65495117548371,1.5251760945181623,1433.0,27.141352704761395,1.3275872209582182,25,23,"(np.int64(1), np.int64(2), np.int64(0))",,1382.0,1433.0,8.22913279506234,9.556720016020558,9.3554998936785
expected_total,7,True,True,1135.0,1412.0,277.0,23.432276572900438,2.7588717280164383,1412.0,26.86697273618143,1.2262682252017694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1135.0,1412.0,8.143170886371724,9.354362738236215,9.369439111573493
expected_n_plus_one,7,True,True,353.0,1421.0,1068.0,16.0366046561784,6.534757764250464,1421.0,26.955351025612167,1.2280006902521396,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1421.0,353.0,8.187074813851181,9.353200707657667,9.41507550410332
fixed_pair,8,True,True,1114.0,1395.0,281.0,22.756745177793036,3.438032981536124,1395.0,25.91058846413035,2.155017568304592,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1114.0,1395.0,7.201160099137766,9.356177667442358,9.353250697550225
periodic_rotation,8,True,True,486.0,1250.0,764.0,17.04192481534905,7.195213719684916,1250.0,24.54486210371499,3.824163499661225,23,21,"(np.int64(2), np.int64(1), np.int64(0))",,1250.0,486.0,5.659947437142158,9.484110936803383,9.400803729769452
health_greedy,8,True,True,1379.0,1385.0,6.0,25.83625260958025,2.2085078218603513,1385.0,25.87303337827247,2.1920912665461394,21,19,"(np.int64(1), np.int64(2), np.int64(0))",,1379.0,1385.0,7.16393396319048,9.35602522973662,9.35307418534537
expected_max,8,True,True,1376.0,1385.0,9.0,25.81284750071075,2.217377379204045,1385.0,25.872398959527864,2.1905723235493184,21,19,"(np.int64(1), np.int64(2), np.int64(0))",,1376.0,1385.0,7.16393396319048,9.353958709597586,9.354506286739799
expected_total,8,True,True,1114.0,1395.0,281.0,22.756745177793036,3.438032981536124,1395.0,25.91058846413035,2.155017568304592,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1114.0,1395.0,7.201160099137766,9.356177667442358,9.353250697550225
expected_n_plus_one,8,True,True,399.0,1390.0,991.0,15.665994988761073,6.781539749489781,1390.0,25.89390622894425,2.1716796436998074,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1390.0,399.0,7.184532461115063,9.35621210481487,9.353161663014316
fixed_pair,9,True,True,964.0,1288.0,324.0,23.052404389975635,3.1375012813075998,1288.0,26.1479032499668,1.9582331649331142,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,964.0,1288.0,7.417964330807145,9.353741423419395,9.376197495740259
periodic_rotation,9,True,True,385.0,1219.0,834.0,17.10099790808851,6.700457476404091,1219.0,25.484340655356863,2.7456791497785726,19,17,"(np.int64(2), np.int64(1), np.int64(0))",,1219.0,385.0,6.692082386729391,9.35449673211951,9.437761536507963
health_greedy,9,True,True,1280.0,1288.0,8.0,26.037661075819596,1.9761766580777715,1288.0,26.214898558512033,2.0137348146334304,29,27,"(np.int64(1), np.int64(2), np.int64(0))",,1280.0,1288.0,7.417964330807145,9.365235082264313,9.431699145440575
expected_max,9,True,True,1280.0,1288.0,8.0,26.02972455595017,1.9850252544666693,1288.0,26.20110898081727,1.9910966405497703,28,26,"(np.int64(2), np.int64(1), np.int64(0))",,1288.0,1280.0,7.417964330807145,9.409060971356915,9.37408367865321
expected_total,9,True,True,964.0,1288.0,324.0,23.052404389975635,3.1375012813075998,1288.0,26.1479032499668,1.9582331649331142,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,964.0,1288.0,7.417964330807145,9.353741423419395,9.376197495740259
expected_n_plus_one,9,True,True,277.0,1288.0,1011.0,15.630313229262097,6.817232697158956,1288.0,26.14414103312358,1.955045114409879,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1288.0,277.0,7.417964330807145,9.373009445217024,9.353167257099415
fixed_pair,10,True,True,929.0,1243.0,314.0,23.555522953377785,2.634994661816224,1243.0,26.896729331394614,1.1661514037534353,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,929.0,1243.0,8.188265266133198,9.354047395374781,9.354416669886634
periodic_rotation,10,True,True,463.0,1120.0,657.0,18.087495416059312,6.756392392676743,1120.0,25.697247594456435,2.8189793902913864,22,20,"(np.int64(2), np.int64(1), np.int64(0))",,1120.0,463.0,6.761399170482195,9.355469863200659,9.580378560773582
health_greedy,10,True,True,1223.0,1232.0,9.0,26.783873529438555,1.2364544570036617,1232.0,26.859822376925173,1.1998141812808534,24,22,"(np.int64(2), np.int64(1), np.int64(0))",,1232.0,1223.0,8.153463336952843,9.353081521738636,9.353277518233696
expected_max,10,True,True,1223.0,1233.0,10.0,26.786496731977376,1.2408454468218064,1233.0,26.869472827410526,1.2007772452714214,20,18,"(np.int64(2), np.int64(1), np.int64(0))",,1233.0,1223.0,8.15689126278042,9.354913056578267,9.357668508051841
expected_total,10,True,True,929.0,1243.0,314.0,23.555522953377785,2.634994661816224,1243.0,26.896729331394614,1.1661514037534353,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,929.0,1243.0,8.188265266133198,9.354047395374781,9.354416669886634
expected_n_plus_one,10,True,True,281.0,1262.0,981.0,15.93756422474835,6.6836396702172305,1262.0,27.055712966091495,1.1819095054905961,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1262.0,281.0,8.258086735881083,9.357629988838733,9.439996241371679
fixed_pair,11,True,True,1015.0,1384.0,369.0,22.966311664215347,3.224222158218315,1384.0,26.294670345263764,1.7829908810593134,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1015.0,1384.0,7.578811982604921,9.354055498994608,9.361802863664234
periodic_rotation,11,True,True,533.0,1216.0,683.0,17.95765438584594,6.677903154184788,1216.0,24.95487205107456,3.1120449674000694,25,23,"(np.int64(2), np.int64(1), np.int64(0))",,1216.0,533.0,6.24407198938903,9.35468310489643,9.3561169567891
health_greedy,11,True,True,1366.0,1374.0,8.0,26.196309578882275,1.8410433544575993,1374.0,26.26042864702687,1.809403024511366,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1374.0,1366.0,7.547808913210715,9.355407796094076,9.35721193772208
expected_max,11,True,True,1365.0,1373.0,8.0,26.186018741749248,1.8442298065269274,1373.0,26.252368987701537,1.8122929765806948,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1365.0,1373.0,7.543313587383139,9.355606563963834,9.353448836354563
expected_total,11,True,True,1015.0,1384.0,369.0,22.966311664215347,3.224222158218315,1384.0,26.294670345263764,1.7829908810593134,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1015.0,1384.0,7.578811982604921,9.354055498994608,9.361802863664234
expected_n_plus_one,11,True,True,293.0,1385.0,1092.0,15.296497603432456,7.157076952486937,1385.0,26.50588497184458,1.985342166613794,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1385.0,293.0,7.582180616691101,9.567522783304895,9.356181571848586
fixed_pair,12,True,True,1012.0,1297.0,285.0,23.17979274548564,3.01668918569755,1297.0,26.53839750064278,1.656042596848998,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1012.0,1297.0,7.762662675212205,9.357029553369372,9.418705272061203
periodic_rotation,12,True,True,386.0,1234.0,848.0,16.699224666185522,7.009478346039359,1234.0,25.732712772332082,2.348495668741509,19,17,"(np.int64(2), np.int64(1), np.int64(0))",,1234.0,386.0,7.014483607561041,9.36297927630255,9.35524988846849
health_greedy,12,True,True,1297.0,1307.0,10.0,26.593947226311542,1.7482652719402054,1307.0,26.661050776567343,1.7172413502851294,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1297.0,1307.0,7.793686596867281,9.51092794715241,9.356436232547651
expected_max,12,True,True,1297.0,1309.0,12.0,26.590024155615257,1.7518523164816706,1309.0,26.676969342755502,1.7142097431714438,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1309.0,1297.0,7.800305248522432,9.362149102539195,9.514514991693876
expected_total,12,True,True,1012.0,1297.0,285.0,23.17979274548564,3.01668918569755,1297.0,26.53839750064278,1.656042596848998,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1012.0,1297.0,7.762662675212205,9.357029553369372,9.418705272061203
expected_n_plus_one,12,True,True,267.0,1297.0,1030.0,15.134954785036943,7.317872736736372,1297.0,26.53557929607653,1.6544458908765751,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1297.0,267.0,7.762662675212205,9.41710856608878,9.355808054775546
fixed_pair,13,True,True,1084.0,1423.0,339.0,24.14846074786774,2.044053233937248,1423.0,27.69360095712917,0.38837324865799694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1084.0,1423.0,8.97509106489545,9.355045578680272,9.363464313553447
periodic_rotation,13,True,True,605.0,1173.0,568.0,19.121691097235523,5.6765768851796174,1173.0,25.25888161748453,2.815538735893777,28,26,"(np.int64(2), np.int64(1), np.int64(0))",,1173.0,605.0,6.543574952377651,9.359113688271428,9.35619297683545
health_greedy,13,True,True,1417.0,1423.0,6.0,27.644624671794347,0.44592090969434217,1423.0,27.748196645718934,0.41442532605233673,29,27,"(np.int64(1), np.int64(2), np.int64(0))",,1417.0,1423.0,8.97509106489545,9.389516390947787,9.383589189875696
expected_max,13,True,True,1417.0,1423.0,6.0,27.644624671794347,0.44592090969434217,1423.0,27.748196645718934,0.41442532605233673,29,27,"(np.int64(1), np.int64(2), np.int64(0))",,1417.0,1423.0,8.97509106489545,9.389516390947787,9.383589189875696
expected_total,13,True,True,1084.0,1423.0,339.0,24.14846074786774,2.044053233937248,1423.0,27.69360095712917,0.38837324865799694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1084.0,1423.0,8.97509106489545,9.355045578680272,9.363464313553447
expected_n_plus_one,13,True,True,403.0,1458.0,1055.0,16.423021797117958,6.025008734412432,1458.0,27.96703191469519,0.10088853129387232,3,1,"(np.int64(2), np.int64(0), np.int64(1))",1458.0,,403.0,9.35725544316749,9.256366911873618,9.353409559654084
