policy,effective_policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,category,boundary_scale,gamma_terminal_cv,risk_horizon_h,reschedule_h,evidence,local_seed,initial_damage_fraction,heterogeneity_factors
health_greedy,health_greedy,9,True,True,1280.0,1288.0,8.0,26.037661075819596,1.9761766580777715,1288.0,26.214898558512033,2.0137348146334304,29,27,"(np.int64(1), np.int64(2), np.int64(0))",,1280.0,1288.0,7.417964330807145,9.365235082264313,9.431699145440575,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,9,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,9,True,True,964.0,1288.0,324.0,23.052404389975635,3.1375012813075998,1288.0,26.1479032499668,1.9582331649331142,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,964.0,1288.0,7.417964330807145,9.353741423419395,9.376197495740259,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,9,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,10,True,True,929.0,1243.0,314.0,23.555522953377785,2.634994661816224,1243.0,26.896729331394614,1.1661514037534353,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,929.0,1243.0,8.188265266133198,9.354047395374781,9.354416669886634,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,10,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,10,True,True,1223.0,1232.0,9.0,26.783873529438555,1.2364544570036617,1232.0,26.859822376925173,1.1998141812808534,24,22,"(np.int64(2), np.int64(1), np.int64(0))",,1232.0,1223.0,8.153463336952843,9.353081521738636,9.353277518233696,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,10,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,10,True,True,929.0,1243.0,314.0,23.555522953377785,2.634994661816224,1243.0,26.896729331394614,1.1661514037534353,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,929.0,1243.0,8.188265266133198,9.354047395374781,9.354416669886634,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,10,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,11,True,True,1015.0,1384.0,369.0,22.966311664215347,3.224222158218315,1384.0,26.294670345263764,1.7829908810593134,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1015.0,1384.0,7.578811982604921,9.354055498994608,9.361802863664234,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,11,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,11,True,True,1366.0,1374.0,8.0,26.196309578882275,1.8410433544575993,1374.0,26.26042864702687,1.809403024511366,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1374.0,1366.0,7.547808913210715,9.355407796094076,9.35721193772208,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,11,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,11,True,True,1015.0,1384.0,369.0,22.966311664215347,3.224222158218315,1384.0,26.294670345263764,1.7829908810593134,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1015.0,1384.0,7.578811982604921,9.354055498994608,9.361802863664234,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,11,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,12,True,True,1012.0,1297.0,285.0,23.17979274548564,3.01668918569755,1297.0,26.53839750064278,1.656042596848998,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1012.0,1297.0,7.762662675212205,9.357029553369372,9.418705272061203,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,12,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,12,True,True,1297.0,1307.0,10.0,26.593947226311542,1.7482652719402054,1307.0,26.661050776567343,1.7172413502851294,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1297.0,1307.0,7.793686596867281,9.51092794715241,9.356436232547651,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,12,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,12,True,True,1012.0,1297.0,285.0,23.17979274548564,3.01668918569755,1297.0,26.53839750064278,1.656042596848998,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1012.0,1297.0,7.762662675212205,9.357029553369372,9.418705272061203,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,12,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,13,True,True,1084.0,1423.0,339.0,24.14846074786774,2.044053233937248,1423.0,27.69360095712917,0.38837324865799694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1084.0,1423.0,8.97509106489545,9.355045578680272,9.363464313553447,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,13,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,13,True,True,1417.0,1423.0,6.0,27.644624671794347,0.44592090969434217,1423.0,27.748196645718934,0.41442532605233673,29,27,"(np.int64(1), np.int64(2), np.int64(0))",,1417.0,1423.0,8.97509106489545,9.389516390947787,9.383589189875696,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,13,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,13,True,True,1417.0,1423.0,6.0,27.603853291951285,0.4110967211094856,1423.0,27.707425265875873,0.4025509337220434,11,9,"(np.int64(1), np.int64(2), np.int64(0))",,1417.0,1423.0,8.97509106489545,9.35469220236293,9.377641998617493,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,13,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,14,True,True,1206.0,1546.0,340.0,24.06998395569588,2.1206963169551623,1546.0,27.99378476479567,0.07243917120772636,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1206.0,1546.0,9.283608434742323,9.354128724103298,9.35604760595005,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,14,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,14,True,True,1535.0,1543.0,8.0,27.950228196011032,0.0877037097040958,1543.0,28.014460955138325,0.055009268221676066,30,28,"(np.int64(2), np.int64(0), np.int64(1))",1543.0,,1535.0,9.356955379609742,9.301946111388066,9.35555946414052,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,14,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,14,True,True,1551.0,1554.0,3.0,28.043142121932522,0.012313189058790641,1554.0,28.065697537689005,0.0016670559618088276,7,5,"(np.int64(1), np.int64(0), np.int64(2))",1554.0,1551.0,1554.0,9.354515874397961,9.354998732931273,9.35618293035977,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,14,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,15,True,True,1157.0,1478.0,321.0,23.87017073888584,2.318821836813229,1478.0,27.919944309295722,0.14283872470448244,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1157.0,1478.0,9.211910354481965,9.353284875627311,9.354749079186448,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,15,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,15,True,True,1458.0,1483.0,25.0,27.83802049001052,0.13381966361782105,1483.0,28.20837550427173,0.23090582774256418,30,28,"(np.int64(2), np.int64(0), np.int64(1))",1483.0,,1458.0,9.54212637204965,9.311220544307085,9.355028587914994,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,15,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,15,True,True,1478.0,1483.0,5.0,27.91815281533124,0.12982782023724582,1483.0,28.155314461088743,0.30677584889130394,4,2,"(np.int64(2), np.int64(1), np.int64(0))",,1483.0,1478.0,9.2456195070342,9.552395355925505,9.357299598129037,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,15,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,16,True,True,877.0,1166.0,289.0,22.621910346091642,3.6822454477578326,1166.0,25.951466038276383,2.226400671889494,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,877.0,1166.0,7.184465812813021,9.410866484702515,9.356133740760848,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,16,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,16,True,True,1166.0,1199.0,33.0,26.008010541184547,2.4599478248889044,1199.0,26.338254178810043,2.3040037075348048,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1199.0,1166.0,7.34040993016712,9.353430610940999,9.644413637701925,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,16,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
order_blend_50,order_blend_50,16,True,True,877.0,1166.0,289.0,22.621910346091642,3.6822454477578326,1166.0,25.951466038276383,2.226400671889494,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,877.0,1166.0,7.184465812813021,9.410866484702515,9.356133740760848,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,16,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
fixed_pair,fixed_pair,17,True,True,1097.0,1429.0,332.0,24.03486180016653,2.1549550901549397,1429.0,27.946468126803346,0.11807238829218569,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1097.0,1429.0,9.237349352786323,9.353697032938513,9.355421741078509,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,17,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
health_greedy,health_greedy,17,True,True,1438.0,1439.0,1.0,28.050364001837394,0.011470826830134229,1439.0,28.061099762366684,0.009496792176706847,29,27,"(np.int64(0), np.int64(2), np.int64(1))",1438.0,,1439.0,9.355366893204112,9.348118038492933,9.35761483066964,reference,reference,1.0,0.1,100.0,24.0,predeclared project setting,17,"(0.1, 0.4, 0.8)","(1.0, 1.05, 1.1)"
