scenario_id,category,policy,seeds,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_gain_median_h,second_boundary_wins,second_boundary_ties,second_boundary_losses,second_boundary_sign_p_one_sided,second_boundary_nonworse_share,start_count_delta_mean,assignment_change_delta_mean
heterogeneity_current_perm_2,heterogeneity,guarded_blend,20,154.55,98.05,211.53575939453268,10.25,3.6,20.65,0.0,6,9,5,0.5,0.75,3.9,3.9
heterogeneity_current_perm_3,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_current_perm_4,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_current_perm_5,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_identical,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_low_perm_0,heterogeneity,guarded_blend,20,12.5,1.2,46.438945496429,0.3,-0.1,1.75,0.0,1,18,1,0.75,0.95,0.4,0.4
heterogeneity_gp_re_low_perm_1,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_base_perm_0,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_base_perm_1,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
heterogeneity_gp_re_high_perm_0,heterogeneity,guarded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,1.0,1.0,0.0,0.0
