scenario_id,local_seed,category,policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta,assignment_change_delta
initial_zuo_one_aged_stack_2,11,initial_health,health_greedy,870.0,636.0,77,77
initial_zuo_one_aged_stack_2,12,initial_health,health_greedy,809.0,623.0,80,80
initial_zuo_one_aged_stack_2,13,initial_health,health_greedy,747.0,657.0,78,78
initial_zuo_one_aged_stack_2,14,initial_health,health_greedy,766.0,743.0,89,89
initial_zuo_one_aged_stack_2,15,initial_health,health_greedy,724.0,728.0,81,81
initial_zuo_one_aged_stack_2,16,initial_health,health_greedy,750.0,547.0,63,63
initial_zuo_one_aged_stack_2,17,initial_health,health_greedy,777.0,759.0,84,84
initial_zuo_one_aged_stack_2,18,initial_health,health_greedy,787.0,792.0,77,77
initial_zuo_one_aged_stack_2,19,initial_health,health_greedy,710.0,608.0,69,69
initial_equal_fresh,0,initial_health,health_greedy,958.0,791.0,97,97
initial_equal_fresh,1,initial_health,health_greedy,735.0,772.0,89,89
initial_equal_fresh,2,initial_health,health_greedy,701.0,679.0,78,78
initial_equal_fresh,3,initial_health,health_greedy,842.0,695.0,89,89
initial_equal_fresh,4,initial_health,health_greedy,900.0,796.0,86,86
initial_equal_fresh,5,initial_health,health_greedy,762.0,762.0,92,92
initial_equal_fresh,6,initial_health,health_greedy,774.0,704.0,79,79
initial_equal_fresh,7,initial_health,health_greedy,885.0,692.0,86,86
initial_equal_fresh,8,initial_health,health_greedy,800.0,638.0,86,86
initial_equal_fresh,9,initial_health,health_greedy,849.0,593.0,73,73
initial_equal_fresh,10,initial_health,health_greedy,1006.0,793.0,84,84
initial_equal_fresh,11,initial_health,health_greedy,974.0,724.0,84,84
initial_equal_fresh,12,initial_health,health_greedy,900.0,707.0,86,86
initial_equal_fresh,13,initial_health,health_greedy,805.0,722.0,82,82
initial_equal_fresh,14,initial_health,health_greedy,860.0,836.0,94,94
initial_equal_fresh,15,initial_health,health_greedy,773.0,805.0,91,91
initial_equal_fresh,16,initial_health,health_greedy,875.0,629.0,71,71
initial_equal_fresh,17,initial_health,health_greedy,858.0,849.0,83,83
initial_equal_fresh,18,initial_health,health_greedy,787.0,838.0,82,82
initial_equal_fresh,19,initial_health,health_greedy,808.0,707.0,77,77
initial_equal_midlife,0,initial_health,health_greedy,540.0,510.0,55,55
initial_equal_midlife,1,initial_health,health_greedy,478.0,463.0,59,59
initial_equal_midlife,2,initial_health,health_greedy,526.0,433.0,52,52
