policy,month,local_seed,first_boundary_gain_h,second_boundary_gain_h
expected_n_plus_one,2025-09,7,-562.0,-7.0
expected_n_plus_one,2025-09,8,-523.0,1.0
expected_n_plus_one,2025-09,9,-483.0,9.0
expected_n_plus_one,2025-09,10,-478.0,0.0
expected_n_plus_one,2025-09,11,-461.0,-3.0
expected_n_plus_one,2025-09,12,-421.0,0.0
expected_n_plus_one,2025-09,13,-534.0,1.0
expected_n_plus_one,2025-09,14,-569.0,6.0
expected_n_plus_one,2025-09,15,-467.0,0.0
expected_n_plus_one,2025-09,16,-493.0,0.0
expected_n_plus_one,2025-09,17,-463.0,0.0
expected_n_plus_one,2025-09,18,-481.0,-1.0
expected_n_plus_one,2025-09,19,-426.0,0.0
expected_n_plus_one,2025-10,0,-545.0,2.0
expected_n_plus_one,2025-10,1,-479.0,-2.0
expected_n_plus_one,2025-10,2,-495.0,-1.0
expected_n_plus_one,2025-10,3,-485.0,-5.0
expected_n_plus_one,2025-10,4,-505.0,0.0
expected_n_plus_one,2025-10,5,-428.0,-2.0
expected_n_plus_one,2025-10,6,-460.0,-2.0
expected_n_plus_one,2025-10,7,-403.0,-1.0
expected_n_plus_one,2025-10,8,-471.0,0.0
expected_n_plus_one,2025-10,9,-470.0,0.0
expected_n_plus_one,2025-10,10,-478.0,6.0
expected_n_plus_one,2025-10,11,-488.0,19.0
expected_n_plus_one,2025-10,12,-478.0,-2.0
expected_n_plus_one,2025-10,13,-480.0,-3.0
expected_n_plus_one,2025-10,14,-485.0,-4.0
expected_n_plus_one,2025-10,15,-532.0,27.0
expected_n_plus_one,2025-10,16,-428.0,36.0
expected_n_plus_one,2025-10,17,-437.0,1.0
expected_n_plus_one,2025-10,18,-391.0,1.0
expected_n_plus_one,2025-10,19,-447.0,2.0
expected_n_plus_one,2025-11,0,-536.0,-5.0
expected_n_plus_one,2025-11,1,-488.0,-1.0
expected_n_plus_one,2025-11,2,-453.0,0.0
expected_n_plus_one,2025-11,3,-440.0,1.0
expected_n_plus_one,2025-11,4,-499.0,-2.0
expected_n_plus_one,2025-11,5,-480.0,0.0
expected_n_plus_one,2025-11,6,-502.0,0.0
expected_n_plus_one,2025-11,7,-484.0,-2.0
expected_n_plus_one,2025-11,8,-404.0,0.0
expected_n_plus_one,2025-11,9,-446.0,-1.0
expected_n_plus_one,2025-11,10,-452.0,1.0
expected_n_plus_one,2025-11,11,-400.0,-2.0
expected_n_plus_one,2025-11,12,-514.0,-1.0
expected_n_plus_one,2025-11,13,-442.0,3.0
expected_n_plus_one,2025-11,14,-358.0,-3.0
expected_n_plus_one,2025-11,15,-484.0,0.0
expected_n_plus_one,2025-11,16,-473.0,-2.0
expected_n_plus_one,2025-11,17,-448.0,0.0
expected_n_plus_one,2025-11,18,-465.0,-1.0
expected_n_plus_one,2025-11,19,-476.0,2.0
expected_n_plus_one,2025-12,0,-768.0,75.0
expected_n_plus_one,2025-12,1,-712.0,3.0
expected_n_plus_one,2025-12,2,-814.0,0.0
expected_n_plus_one,2025-12,3,-774.0,-6.0
expected_n_plus_one,2025-12,4,-812.0,4.0
expected_n_plus_one,2025-12,5,-607.0,3.0
expected_n_plus_one,2025-12,6,-641.0,7.0
expected_n_plus_one,2025-12,7,-615.0,-29.0
expected_n_plus_one,2025-12,8,-665.0,5.0
