policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,month,local_seed,simulation_seed
order_blend_50,True,True,652.0,903.0,251.0,22.785595390211686,3.4194795458888345,903.0,27.041354524226627,1.1263549260495171,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,652.0,903.0,8.276836771174537,9.361326055828037,9.403191697224054,2025-06,12,12
expected_n_plus_one,True,True,190.0,903.0,713.0,15.344432168915798,7.138917917881992,903.0,27.03111933763199,1.1063764579951307,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,903.0,190.0,8.276836771174537,9.383213229169668,9.371069337287784,2025-06,12,12
fixed_pair,True,True,700.0,931.0,231.0,24.119509447851346,2.072010010812124,931.0,27.876374242506074,0.1871745792500068,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,700.0,931.0,9.167373737859506,9.354548317109513,9.354452187537056,2025-06,13,13
order_blend_50,True,True,928.0,931.0,3.0,27.8406911941588,0.20770769765722363,931.0,27.881501783248417,0.1908077570244071,5,3,"(np.int64(1), np.int64(2), np.int64(0))",,928.0,931.0,9.167373737859506,9.355946550505,9.358181494883913,2025-06,13,13
expected_n_plus_one,True,True,265.0,933.0,668.0,16.000795648618954,6.454041407254646,933.0,27.906271712635245,0.16167558027317774,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,933.0,265.0,9.195137241552512,9.354321649257045,9.35681282182569,2025-06,13,13
fixed_pair,True,True,744.0,997.0,253.0,24.034534893624652,2.204563607417424,997.0,27.71623064821691,0.39640496145567283,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,744.0,997.0,8.981932876843143,9.378337838298815,9.355959933074953,2025-06,14,14
order_blend_50,True,True,991.0,993.0,2.0,27.645672865882293,0.41620568585436324,993.0,27.673099031446064,0.4032415458543035,6,4,"(np.int64(2), np.int64(1), np.int64(0))",,993.0,991.0,8.95588001025439,9.35809746508298,9.359121556108693,2025-06,14,14
expected_n_plus_one,True,True,223.0,996.0,773.0,15.899794530840339,6.591248077450715,996.0,27.70807443285176,0.40006699619127417,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,996.0,223.0,8.974848601843142,9.358310232974203,9.374915598034416,2025-06,14,14
fixed_pair,True,True,709.0,961.0,252.0,23.55446899323805,2.646256927873548,961.0,27.430288087431343,0.6449743820401643,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,709.0,961.0,8.714177166293412,9.359151548333577,9.356959372804353,2025-06,15,15
order_blend_50,True,True,709.0,961.0,252.0,23.55446899323805,2.646256927873548,961.0,27.430288087431343,0.6449743820401643,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,709.0,961.0,8.714177166293412,9.359151548333577,9.356959372804353,2025-06,15,15
