strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,penalty_multiple
offline_dp,900,1.0,0.0,1.0,2.0,1105.2511857443087,65.55849544219375,45.76065969429199,26,14,12,26,0.25666666666666665,0.7433333333333333,0.0,0.0,1105.2511857443087,0.02964850002899766,2028,development,0.0
one_step_greedy,900,1.0,0.05956899828423525,1.0,2.0,1108.3019584290705,65.73945346307515,45.63469639559854,2,2,0,2,0.02,0.98,0.0,0.0,1108.421096425639,0.020045599900186062,2028,development,0.5
break_even_hysteresis,900,1.0,0.05956899828423525,1.0,2.0,1106.6071186577274,65.63892324256241,45.704588859780685,20,11,9,20,0.1511111111111111,0.8488888888888889,0.0,0.0,1107.7984986234121,0.022537999786436558,2028,development,0.5
offline_dp,900,1.0,0.05956899828423525,1.0,2.0,1105.5975700676208,65.57904139172449,45.74632285458496,20,11,9,20,0.23,0.77,0.0,0.0,1106.7889500333056,0.030278899939730763,2028,development,0.5
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1109.6695590239606,65.82057333747407,45.578454393255825,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,1109.9078350170976,0.021787000121548772,2028,development,1.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1107.7938653523413,65.70931568255558,45.65562689000047,14,8,6,14,0.08222222222222222,0.9177777777777778,0.0,0.0,1109.4617973042998,0.022225199965760112,2028,development,1.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1106.1585861141814,65.61231832316399,45.723121460576216,14,8,6,14,0.18666666666666668,0.8133333333333334,0.0,0.0,1107.82651806614,0.029090699972584844,2028,development,1.0
one_step_greedy,900,1.0,0.238275993136941,1.0,2.0,1109.6695590239606,65.82057333747407,45.578454393255825,2,2,0,2,0.035555555555555556,0.9644444444444444,0.0,0.0,1110.1461110102346,0.02021059999242425,2028,development,2.0
break_even_hysteresis,900,1.0,0.238275993136941,1.0,2.0,1108.4528056442093,65.74840103679749,45.628486057341526,4,3,1,4,0.025555555555555557,0.9744444444444444,0.0,0.0,1109.405909616757,0.022589199943467975,2028,development,2.0
offline_dp,900,1.0,0.238275993136941,1.0,2.0,1107.7849605523215,65.7087874901419,45.655993887424756,4,3,1,4,0.06,0.94,0.0,0.0,1108.7380645248693,0.029599699890241027,2028,development,2.0
