strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,split_label,load_event_count,unique_demand_count
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1144.1419471292497,65.62969376900173,45.71101627502889,8,5,3,8,0.08555555555555555,0.9144444444444444,0.0,0.0,1145.0950511017975,0.030178700108081102,2029,development,59,59
average,900,1.0,0.1191379965684705,1.0,2.0,1073.3550856271856,64.86866170513147,46.24729293224624,2,2,0,1,0.0,1.0,0.0,0.0,1073.5933616203226,0.06594949983991683,2030,development,56,56
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1291.8371390709194,78.07271561353834,38.42571603183428,33,17,16,33,0.5111111111111111,0.4888888888888889,0.0,0.0,1295.768692957679,0.0686822000425309,2030,development,56,56
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,1069.965470090209,64.66380887821249,46.393802840321044,16,9,7,16,0.17,0.83,0.0,0.0,1071.8716780353045,0.019127200124785304,2030,development,56,56
sticky,900,1.0,0.1191379965684705,1.0,2.0,1073.2527589018732,64.86247754686309,46.25170227012214,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1073.4910348950102,0.017988100182265043,2030,development,56,56
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,1073.2527589018732,64.86247754686309,46.25170227012214,2,2,0,2,0.02666666666666667,0.9733333333333334,0.0,0.0,1073.4910348950102,0.02020790008828044,2030,development,56,56
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,1071.6544923732806,64.76588564345089,46.3206821028526,10,6,4,10,0.05333333333333334,0.9466666666666667,0.0,0.0,1072.8458723389654,0.023556399857625365,2030,development,56,56
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,1070.574776090471,64.70063254014428,46.36739831157917,10,6,4,10,0.12222222222222222,0.8777777777777778,0.0,0.0,1071.7661560561558,0.030898500001057982,2030,development,56,56
average,900,1.0,0.1191379965684705,1.0,2.0,961.5105736082674,64.73242928748334,46.34462251797629,2,2,0,1,0.0,1.0,0.0,0.0,961.7488496014043,0.06904410012066364,2031,development,54,54
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1141.2201419469811,76.83113859352306,39.0466685112085,26,14,12,26,0.5944444444444444,0.40555555555555556,0.0,0.0,1144.3177298577614,0.07995879999361932,2031,development,54,54
