template_id,template_source,source_seed,segment_id,start_offset,start_timestamp,end_timestamp,raw_power_mean_kw,raw_power_max_kw,positive_share,duration_h,role_0_source_stack,role_1_source_stack,role_0_continuous_mean_pct,role_1_continuous_mean_pct,role_0_load_shift_damage_pct,role_1_load_shift_damage_pct,role_0_operational_start_damage_pct,role_1_operational_start_damage_pct,internal_start_count,tracking_mae_kw,tracking_max_abs_kw,tracking_within_tolerance_share,constraint_violation_steps,safety_override_steps,planning_runtime_s
real_calibration_window_007,real_calibration_window,2026,9,4296,2025-05-19 07:10:05,2025-05-19 07:15:04,23.37831575,23.4234,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.2078461994670024,0.6263870102298554,1.0,0,0,12.841148199979216
real_calibration_window_008,real_calibration_window,2026,8,8088,2025-05-18 15:41:36,2025-05-18 15:46:35,23.16716058333333,23.2169,1.0,0.0833333333333333,1,0,0.0001972916666666,0.0001666666666666,0.0005337,0.0005337,0.00011270215229804732,0.00011270215229804732,0,0.6539162605966191,0.997332970811982,1.0,0,0,9.305025197798386
real_calibration_window_009,real_calibration_window,2026,5,14239,2025-05-17 16:56:49,2025-05-17 17:01:48,13.199711083333334,18.2589,1.0,0.0833333333333333,1,0,0.0001635833333333,0.0001625555555555,0.0004744,0.0004744,0.00011270215229804732,0.00011270215229804732,0,0.3996482945298032,2.1245580348421385,1.0,0,0,10.834839596645908
real_calibration_window_010,real_calibration_window,2026,1,1371,2025-05-17 09:40:21,2025-05-17 09:45:20,22.81949827777778,23.8,1.0,0.0833333333333333,1,0,0.0001666666666666,0.0001666666666666,0.0002372,0.0001779,0.00011270215229804732,0.00011270215229804732,0,0.4170829380315112,3.887303322676914,1.0,0,0,12.282950597349554
real_calibration_window_011,real_calibration_window,2026,5,4622,2025-05-17 14:16:32,2025-05-17 14:21:31,11.510613333333332,11.52,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0848122706048739,0.1043084047696325,1.0,0,0,16.75520399515517
real_calibration_window_012,real_calibration_window,2026,7,16646,2025-05-18 10:26:14,2025-05-18 10:31:13,14.866270833333337,14.9125,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.3911649691218289,0.6326555062704564,1.0,0,0,13.509653600631282
real_calibration_window_013,real_calibration_window,2026,5,10323,2025-05-17 15:51:33,2025-05-17 15:56:32,29.792641583333328,31.204,1.0,0.0833333333333333,1,0,0.0002724249999999,0.0001666666666666,0.0001779,0.0002372,0.00011270215229804732,0.00011270215229804732,0,0.4840937111118285,2.2640435417064357,1.0,0,0,6.931341098621488
real_calibration_window_014,real_calibration_window,2026,13,8857,2025-05-19 13:53:53,2025-05-19 13:58:52,23.160672166666668,23.2288,1.0,0.0833333333333333,1,0,0.0002050499999999,0.0001666666666666,0.0007116,0.0007116,0.00011270215229804732,0.00011270215229804732,0,0.6806621005658894,1.0226443939507277,1.0,0,0,6.684249402489513
real_calibration_window_015,real_calibration_window,2026,5,2392,2025-05-17 13:39:22,2025-05-17 13:44:21,31.195106666666664,31.204,1.0,0.0833333333333333,1,0,0.0002891666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.5904759279861013,0.6089482826868391,1.0,0,0,7.984906400088221
real_calibration_window_016,real_calibration_window,2026,11,1644,2025-05-19 11:06:37,2025-05-19 11:11:36,0.0,0.0,0.0,0.0833333333333333,0,1,0.0,0.0,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0,0.0,1.0,0,0,8.932721201330423
real_calibration_window_017,real_calibration_window,2026,14,1908,2025-05-19 14:49:33,2025-05-19 14:54:32,0.0,0.0,0.0,0.0833333333333333,0,1,0.0,0.0,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0,0.0,1.0,0,0,8.88500509923324
real_calibration_window_018,real_calibration_window,2026,9,6248,2025-05-19 07:42:37,2025-05-19 07:47:36,31.02482691666667,31.2156,1.0,0.0833333333333333,1,0,0.0002891666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.2369539961432641,0.6330409007877194,1.0,0,0,7.793559100478888
real_calibration_window_019,real_calibration_window,2026,5,3803,2025-05-17 14:02:53,2025-05-17 14:07:52,11.516778416666664,11.61,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0976169181189932,0.2912347085537554,1.0,0,0,16.218434802489355
real_calibration_window_020,real_calibration_window,2026,9,37,2025-05-19 05:59:06,2025-05-19 06:04:05,0.0,0.0,0.0,0.0833333333333333,0,1,0.0,0.0,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0,0.0,1.0,0,0,8.995146597968414
real_calibration_window_021,real_calibration_window,2026,7,21,2025-05-18 05:49:09,2025-05-18 05:54:08,0.0,0.0,0.0,0.0833333333333333,0,1,0.0,0.0,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0,0.0,1.0,0,0,8.98400569963269
real_calibration_window_022,real_calibration_window,2026,7,6186,2025-05-18 07:31:54,2025-05-18 07:36:53,11.730486,11.739,1.0,0.0833333333333333,1,0,0.0001666666666666,0.000105,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.2410659857941217,0.2501758226546471,1.0,0,0,16.380310298874974
real_calibration_window_023,real_calibration_window,2026,7,8620,2025-05-18 08:12:28,2025-05-18 08:17:27,23.292789,23.4,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.3854820605845669,0.6913961947824205,1.0,0,0,14.6053428016603
real_calibration_window_024,real_calibration_window,2026,14,10058,2025-05-19 17:05:23,2025-05-19 17:10:22,23.185957666666667,23.2288,1.0,0.0833333333333333,1,0,0.0001911666666666,0.0001666666666666,0.0004744,0.0004744,0.00011270215229804732,0.00011270215229804732,0,0.6544550688520178,1.0226395100993884,1.0,0,0,9.442135307006538
real_calibration_window_025,real_calibration_window,2026,10,5267,2025-05-19 09:24:26,2025-05-19 09:29:25,23.26827012962963,23.412,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.4364068373575725,0.6172484963849811,1.0,0,0,14.886066998820752
real_calibration_window_026,real_calibration_window,2026,7,15385,2025-05-18 10:05:13,2025-05-18 10:10:12,14.868504166666668,14.9814,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.3865264193133859,0.4509213065599198,1.0,0,0,13.19099409878254
real_calibration_window_027,real_calibration_window,2026,8,2352,2025-05-18 14:06:00,2025-05-18 14:10:59,23.692381972222226,26.564,1.0,0.0833333333333333,1,0,0.0001789166666666,0.0001699333333333,0.0004150999999999,0.0004150999999999,0.00011270215229804732,0.00011270215229804732,0,0.6858409723310369,2.1369783984479227,1.0,0,0,9.79874959983863
real_calibration_window_028,real_calibration_window,2026,9,5844,2025-05-19 07:35:53,2025-05-19 07:40:52,30.972853666666666,31.204,1.0,0.0833333333333333,1,0,0.0002891666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.1293726124561285,0.6089482333410245,1.0,0,0,8.022536699892953
real_calibration_window_029,real_calibration_window,2026,5,14052,2025-05-17 16:53:42,2025-05-17 16:58:41,11.511104,11.5328,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0858313669209974,0.1308927293321105,1.0,0,0,16.59711620071903
real_calibration_window_030,real_calibration_window,2026,14,2175,2025-05-19 14:54:00,2025-05-19 14:58:59,0.0,0.0,0.0,0.0833333333333333,0,1,0.0,0.0,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0,0.0,1.0,0,0,9.287692399462683
real_calibration_window_031,real_calibration_window,2026,9,4867,2025-05-19 07:19:36,2025-05-19 07:24:35,30.865102499999992,30.9695,1.0,0.0833333333333333,1,0,0.0002891666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.1437429168718265,0.5558143678256471,1.0,0,0,8.267151699401438
real_calibration_window_032,real_calibration_window,2026,5,6960,2025-05-17 14:55:30,2025-05-17 15:00:29,12.097715999999997,15.498,1.0,0.0833333333333333,1,0,0.0001666666666666,0.0001627611111111,0.0002965,0.0002965,0.00011270215229804732,0.00011270215229804732,0,0.2443491709586473,1.7472309426692618,1.0,0,0,13.159475498832762
real_calibration_window_033,real_calibration_window,2026,13,8257,2025-05-19 13:43:53,2025-05-19 13:48:52,23.16174478703704,23.2288,1.0,0.0833333333333333,1,0,0.0002115833333333,0.0001666666666666,0.0007116,0.0007116,0.00011270215229804732,0.00011270215229804732,0,0.694722810678169,0.9979253600491448,1.0,0,0,6.960441297618672
real_calibration_window_034,real_calibration_window,2026,7,24485,2025-05-18 12:36:53,2025-05-18 12:41:52,0.0,0.0,0.0,0.0833333333333333,0,1,0.0,0.0,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0,0.0,1.0,0,0,9.311746703460813
real_calibration_window_035,real_calibration_window,2026,8,1512,2025-05-18 13:52:00,2025-05-18 13:56:59,22.11220175925926,23.4,1.0,0.0833333333333333,0,1,0.0001635833333333,0.0001838166666666,0.0002372,0.0001779,0.00011270215229804732,0.00011270215229804732,0,0.5198906671675558,2.628971133102773,1.0,0,0,12.450184401357546
real_calibration_window_036,real_calibration_window,2026,13,4011,2025-05-19 12:33:07,2025-05-19 12:38:06,11.511039999999998,11.52,1.0,0.0833333333333333,0,1,0.0001666666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.0856984413145464,0.1043084104931999,1.0,0,0,17.004882003180683
real_calibration_window_037,real_calibration_window,2026,9,3826,2025-05-19 07:02:15,2025-05-19 07:07:14,19.60902025,23.2,1.0,0.0833333333333333,1,0,0.0001727916666666,0.0001635833333333,0.0002372,0.0002372,0.00011270215229804732,0.00011270215229804732,0,0.6666604542965202,3.0815117735892343,1.0,0,0,13.653070099651814
real_calibration_window_038,real_calibration_window,2026,7,5337,2025-05-18 07:17:45,2025-05-18 07:22:44,31.30799075,31.32,1.0,0.0833333333333333,1,0,0.0002891666666666,0.0001666666666666,0.0,0.0,0.00011270215229804732,0.00011270215229804732,0,0.8249319472944824,0.8498759279316346,1.0,0,0,6.560188302071765
real_calibration_window_039,real_calibration_window,2026,14,8290,2025-05-19 16:35:55,2025-05-19 16:40:54,23.158913416666667,23.2169,1.0,0.0833333333333333,1,0,0.0002017833333333,0.0001666666666666,0.0006523,0.0006523,0.00011270215229804732,0.00011270215229804732,0,0.6461083309088435,0.9973329274962168,1.0,0,0,7.879987402120605
real_calibration_window_040,real_calibration_window,2026,7,6732,2025-05-18 07:41:00,2025-05-18 07:45:59,19.77482,23.205,1.0,0.0833333333333333,0,1,0.0001592666666666,0.0002038249999999,0.0008301999999999,0.0007708999999999,0.00011270215229804732,0.00011270215229804732,0,0.6762432380038529,1.97385986650162,1.0,0,0,5.69457280007191
real_calibration_window_041,real_calibration_window,2026,5,12657,2025-05-17 16:30:27,2025-05-17 16:35:26,11.610514749999998,11.7769,1.0,0.0833333333333333,1,0,0.0001666666666666,0.0001617333333333,5.93e-05,5.93e-05,0.00011270215229804732,0.00011270215229804732,0,0.1353055612499065,0.4247444861755447,1.0,0,0,15.947570999385787
real_calibration_window_042,real_calibration_window,2026,9,4722,2025-05-19 07:17:11,2025-05-19 07:22:10,29.754779916666667,30.946500000000004,1.0,0.0833333333333333,1,0,0.0002716083333333,0.0001666666666666,0.0001779,0.0002372,0.00011270215229804732,0.00011270215229804732,0,0.5064789042707089,2.5028942352462096,1.0,0,0,7.309013698482886
