scenario_id,month,local_seed,policy,first_boundary_gain_h,second_boundary_gain_h
heterogeneity_gp_re_increased_perm_2,2026-01,10,guarded_blend,86.0,43.0
heterogeneity_gp_re_increased_perm_2,2026-01,11,guarded_blend,0.0,-118.0
heterogeneity_gp_re_increased_perm_2,2026-01,12,guarded_blend,152.0,-26.0
heterogeneity_gp_re_increased_perm_2,2026-01,13,guarded_blend,85.0,25.0
heterogeneity_gp_re_increased_perm_2,2026-01,14,guarded_blend,57.0,18.0
heterogeneity_gp_re_increased_perm_2,2026-01,15,guarded_blend,249.0,8.0
heterogeneity_gp_re_increased_perm_2,2026-01,16,guarded_blend,126.0,30.0
heterogeneity_gp_re_increased_perm_2,2026-01,17,guarded_blend,19.0,-10.0
heterogeneity_gp_re_increased_perm_2,2026-01,18,guarded_blend,197.0,-14.0
heterogeneity_gp_re_increased_perm_2,2026-01,19,guarded_blend,21.0,10.0
heterogeneity_gp_re_increased_perm_2,2026-02,0,guarded_blend,-4.0,-4.0
heterogeneity_gp_re_increased_perm_2,2026-02,1,guarded_blend,21.0,2.0
heterogeneity_gp_re_increased_perm_2,2026-02,2,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-02,3,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-02,4,guarded_blend,58.0,2.0
heterogeneity_gp_re_increased_perm_2,2026-02,5,guarded_blend,71.0,-8.0
heterogeneity_gp_re_increased_perm_2,2026-02,6,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-02,7,guarded_blend,75.0,-5.0
heterogeneity_gp_re_increased_perm_2,2026-02,8,guarded_blend,71.0,-28.0
heterogeneity_gp_re_increased_perm_2,2026-02,9,guarded_blend,34.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-02,10,guarded_blend,14.0,-16.0
heterogeneity_gp_re_increased_perm_2,2026-02,11,guarded_blend,140.0,26.0
heterogeneity_gp_re_increased_perm_2,2026-02,12,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-02,13,guarded_blend,24.0,27.0
heterogeneity_gp_re_increased_perm_2,2026-02,14,guarded_blend,6.0,-24.0
heterogeneity_gp_re_increased_perm_2,2026-02,15,guarded_blend,-4.0,-101.0
heterogeneity_gp_re_increased_perm_2,2026-02,16,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-02,17,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-02,18,guarded_blend,121.0,54.0
heterogeneity_gp_re_increased_perm_2,2026-02,19,guarded_blend,93.0,46.0
heterogeneity_gp_re_increased_perm_2,2026-03,0,guarded_blend,12.0,-44.0
heterogeneity_gp_re_increased_perm_2,2026-03,1,guarded_blend,40.0,3.0
heterogeneity_gp_re_increased_perm_2,2026-03,2,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-03,3,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-03,4,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-03,5,guarded_blend,38.0,-15.0
heterogeneity_gp_re_increased_perm_2,2026-03,6,guarded_blend,22.0,35.0
heterogeneity_gp_re_increased_perm_2,2026-03,7,guarded_blend,64.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-03,8,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-03,9,guarded_blend,25.0,26.0
heterogeneity_gp_re_increased_perm_2,2026-03,10,guarded_blend,17.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-03,11,guarded_blend,127.0,12.0
heterogeneity_gp_re_increased_perm_2,2026-03,12,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-03,13,guarded_blend,1.0,1.0
heterogeneity_gp_re_increased_perm_2,2026-03,14,guarded_blend,75.0,-32.0
heterogeneity_gp_re_increased_perm_2,2026-03,15,guarded_blend,26.0,11.0
heterogeneity_gp_re_increased_perm_2,2026-03,16,guarded_blend,19.0,1.0
heterogeneity_gp_re_increased_perm_2,2026-03,17,guarded_blend,14.0,12.0
heterogeneity_gp_re_increased_perm_2,2026-03,18,guarded_blend,87.0,-5.0
heterogeneity_gp_re_increased_perm_2,2026-03,19,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,0,guarded_blend,19.0,10.0
heterogeneity_gp_re_increased_perm_2,2026-04,1,guarded_blend,15.0,-6.0
heterogeneity_gp_re_increased_perm_2,2026-04,2,guarded_blend,125.0,13.0
heterogeneity_gp_re_increased_perm_2,2026-04,3,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,4,guarded_blend,80.0,-34.0
heterogeneity_gp_re_increased_perm_2,2026-04,5,guarded_blend,159.0,61.0
heterogeneity_gp_re_increased_perm_2,2026-04,6,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,7,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,8,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,9,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,10,guarded_blend,131.0,53.0
heterogeneity_gp_re_increased_perm_2,2026-04,11,guarded_blend,37.0,2.0
heterogeneity_gp_re_increased_perm_2,2026-04,12,guarded_blend,1.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,13,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,14,guarded_blend,40.0,-3.0
heterogeneity_gp_re_increased_perm_2,2026-04,15,guarded_blend,62.0,41.0
heterogeneity_gp_re_increased_perm_2,2026-04,16,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,17,guarded_blend,1.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-04,18,guarded_blend,71.0,-23.0
heterogeneity_gp_re_increased_perm_2,2026-04,19,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-05,0,guarded_blend,122.0,40.0
heterogeneity_gp_re_increased_perm_2,2026-05,1,guarded_blend,69.0,22.0
heterogeneity_gp_re_increased_perm_2,2026-05,2,guarded_blend,131.0,38.0
heterogeneity_gp_re_increased_perm_2,2026-05,3,guarded_blend,-33.0,-142.0
heterogeneity_gp_re_increased_perm_2,2026-05,4,guarded_blend,61.0,-8.0
heterogeneity_gp_re_increased_perm_2,2026-05,5,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-05,6,guarded_blend,96.0,-64.0
heterogeneity_gp_re_increased_perm_2,2026-05,7,guarded_blend,18.0,-14.0
heterogeneity_gp_re_increased_perm_2,2026-05,8,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-05,9,guarded_blend,40.0,16.0
heterogeneity_gp_re_increased_perm_2,2026-05,10,guarded_blend,117.0,23.0
heterogeneity_gp_re_increased_perm_2,2026-05,11,guarded_blend,194.0,-31.0
heterogeneity_gp_re_increased_perm_2,2026-05,12,guarded_blend,205.0,25.0
heterogeneity_gp_re_increased_perm_2,2026-05,13,guarded_blend,-7.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-05,14,guarded_blend,62.0,9.0
heterogeneity_gp_re_increased_perm_2,2026-05,15,guarded_blend,128.0,-72.0
heterogeneity_gp_re_increased_perm_2,2026-05,16,guarded_blend,10.0,-43.0
heterogeneity_gp_re_increased_perm_2,2026-05,17,guarded_blend,207.0,16.0
heterogeneity_gp_re_increased_perm_2,2026-05,18,guarded_blend,285.0,77.0
heterogeneity_gp_re_increased_perm_2,2026-05,19,guarded_blend,203.0,51.0
heterogeneity_gp_re_increased_perm_2,2026-06,0,guarded_blend,132.0,22.0
heterogeneity_gp_re_increased_perm_2,2026-06,1,guarded_blend,118.0,18.0
heterogeneity_gp_re_increased_perm_2,2026-06,2,guarded_blend,30.0,17.0
heterogeneity_gp_re_increased_perm_2,2026-06,3,guarded_blend,71.0,47.0
heterogeneity_gp_re_increased_perm_2,2026-06,4,guarded_blend,113.0,-11.0
heterogeneity_gp_re_increased_perm_2,2026-06,5,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-06,6,guarded_blend,35.0,6.0
heterogeneity_gp_re_increased_perm_2,2026-06,7,guarded_blend,48.0,11.0
heterogeneity_gp_re_increased_perm_2,2026-06,8,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-06,9,guarded_blend,-1.0,-1.0
heterogeneity_gp_re_increased_perm_2,2026-06,10,guarded_blend,120.0,-16.0
heterogeneity_gp_re_increased_perm_2,2026-06,11,guarded_blend,24.0,-13.0
heterogeneity_gp_re_increased_perm_2,2026-06,12,guarded_blend,1.0,1.0
heterogeneity_gp_re_increased_perm_2,2026-06,13,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-06,14,guarded_blend,24.0,-3.0
heterogeneity_gp_re_increased_perm_2,2026-06,15,guarded_blend,116.0,48.0
heterogeneity_gp_re_increased_perm_2,2026-06,16,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-06,17,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_2,2026-06,18,guarded_blend,3.0,4.0
heterogeneity_gp_re_increased_perm_2,2026-06,19,guarded_blend,27.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,0,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,1,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,2,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,3,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,4,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,5,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,6,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,7,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,8,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,9,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,10,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,11,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,12,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,13,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,14,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,15,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,16,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,17,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,18,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-06,19,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,0,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,1,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,2,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,3,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,4,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,5,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,6,guarded_blend,0.0,0.0
heterogeneity_gp_re_increased_perm_3,2025-07,7,guarded_blend,0.0,0.0
