strategy,n_steps,dt_s,switch_penalty_g_per_change,hysteresis_start_multiplier,hysteresis_stop_multiplier,total_hydrogen_g,hydrogen_g_per_net_kwh,energy_weighted_efficiency_lhv_pct,total_stack_state_changes,total_stack_starts,total_stack_stops,mode_change_events,one_stack_share,two_stack_share,power_balance_mae_kw,power_balance_max_abs_kw,total_evaluated_objective_g,runtime_s,seed,failed_stack,fault_step,fault_demand_net_power_kw,faulted_stack_active_before_fault,faulted_stack_post_fault_max_kw,reconfiguration_delay_steps,fault_step_state_changes,reserve_stack_1_post_fault_share,healthy_post_fault_hydrogen_g,faulted_post_fault_hydrogen_g,incremental_post_fault_hydrogen_g,incremental_post_fault_hydrogen_pct
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1164.4378298932338,76.46591744413959,39.23316557591275,29,15,14,29,0.6088888888888889,0.39111111111111113,0.0,0.0,1167.8928317937196,0.19060770003125072,3028,stack_1,505,85.7629886690305,False,0.0,0,0,0.0,591.4316715248734,591.4316715248734,0.0,0.0
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,979.1139396063187,64.29612964498732,46.659107112116764,24,13,11,24,0.22333333333333333,0.7766666666666666,0.0,0.0,981.973251523962,0.04927929979749024,3028,stack_1,505,85.7629886690305,False,0.0,0,0,0.0,493.0066405526719,493.0066405526719,0.0,0.0
sticky,900,1.0,0.1191379965684705,1.0,2.0,982.7565197570439,64.53532939094073,46.48616545871591,2,2,0,2,0.025555555555555557,0.9744444444444444,0.0,0.0,982.9947957501809,0.04746449994854629,3028,stack_1,505,85.7629886690305,False,0.0,0,0,0.0,494.0922629011181,494.0922629011181,0.0,0.0
one_step_greedy,900,1.0,0.1191379965684705,1.0,2.0,982.7565197570439,64.53532939094073,46.48616545871591,2,2,0,2,0.025555555555555557,0.9744444444444444,0.0,0.0,982.9947957501809,0.05704029998742044,3028,stack_1,505,85.7629886690305,False,0.0,0,0,0.0,494.0922629011181,494.0922629011181,0.0,0.0
break_even_hysteresis,900,1.0,0.1191379965684705,1.0,2.0,981.8964370321814,64.47884976365098,46.52688456752231,14,8,6,14,0.04666666666666667,0.9533333333333334,0.0,0.0,983.5643689841401,0.054421599954366684,3028,stack_1,505,85.7629886690305,False,0.0,0,0,0.0,493.99795150658736,493.99795150658736,0.0,0.0
offline_dp,900,1.0,0.1191379965684705,1.0,2.0,980.0890729042434,64.3601643751738,46.612683934617536,14,8,6,14,0.14777777777777779,0.8522222222222222,0.0,0.0,981.757004856202,0.06238780007697642,3028,stack_1,505,85.7629886690305,False,0.0,0,0,0.0,493.22485320846175,493.22485320846175,0.0,0.0
average,900,1.0,0.1191379965684705,1.0,2.0,995.5837858179132,65.37766604684823,45.88723001904469,4,3,1,2,0.0,1.0,0.0,0.0,996.060337804187,0.19705570000223815,3028,stack_2,505,85.7629886690305,True,0.0,0,2,1.0,494.83289977948897,507.328091849045,12.495192069556026,2.525133651203104
daisy_chain,900,1.0,0.1191379965684705,1.0,2.0,1166.4527353868862,76.59823159022801,39.16539504526551,31,16,15,30,0.6088888888888889,0.39111111111111113,0.0,0.0,1170.1460132805087,0.18408210016787052,3028,stack_2,505,85.7629886690305,True,0.0,0,2,0.529113924050633,591.4316715248734,593.4465770185211,2.0149054936476887,0.340682717997276
instantaneous,900,1.0,0.1191379965684705,1.0,2.0,986.9598139194485,64.81134991875658,46.288188778055236,26,14,12,25,0.22333333333333333,0.7766666666666666,0.0,0.0,990.0574018302287,0.049873000010848045,3028,stack_2,505,85.7629886690305,True,0.0,0,2,0.8050632911392405,493.0066405526719,500.85251486580484,7.845874313132924,1.5914337998241823
sticky,900,1.0,0.1191379965684705,1.0,2.0,990.8210151007384,65.0649059980801,46.10780502915832,4,3,1,3,0.025555555555555557,0.9744444444444444,0.0,0.0,991.2975670870122,0.04742600000463426,3028,stack_2,505,85.7629886690305,True,0.0,0,2,1.0,494.0922629011181,502.15675824481616,8.06449534369807,1.6321840978335667
