month,current_point_a,days,rows,stack_voltage_v,daily_voltage_mad_v,coolant_in_c,air_in_pressure_raw,h2_in_pressure_raw
2025-08,340.0,8,852,119.81364734299517,0.7524752475247496,69.9335815939279,151.3370857699805,160.84674922600618
2025-09,90.0,8,270,133.51612903225808,0.0380324543610584,67.01088709677418,119.79042338709678,129.29173387096773
2025-09,120.0,7,311,127.41935483870968,1.0593548387096803,65.42631578947368,119.89629629629631,129.5388888888889
2025-09,195.0,29,202366,123.6742031716125,0.22888450023785367,67.6329904221355,128.53883928571426,138.01757963320463
2025-09,270.0,29,18062,121.13824884792626,0.13824884792626335,69.67797752808988,141.57775061124693,151.07432762836186
2025-09,340.0,2,125,118.95744680851064,0.0425531914893611,69.92538420773715,151.69802596714362,161.19284578696346
2025-10,90.0,7,231,133.44827586206895,0.09343715239154449,66.8756756756757,121.22580645161293,130.7060606060606
2025-10,195.0,20,138695,123.11813372113676,0.4568754065725855,67.20818201824292,129.43471885335964,138.9871277231756
2025-10,270.0,20,17723,120.6808246207462,0.3576917151019998,69.22825865800866,142.26959345002825,151.86622414361
2025-10,340.0,5,2477,117.95617529880478,0.28027790316565415,69.27822222222223,153.10308370044052,162.55154185022025
2025-11,90.0,4,128,132.80194805194805,0.057142857142864045,66.69093749999999,120.93190476190475,130.3852380952381
2025-11,195.0,29,194631,123.026941362916,0.5239724752041184,67.15506419400856,130.08312744492483,139.62746551369156
2025-11,270.0,29,23261,121.88079470198676,1.585535264343207,69.10952914798206,143.3864197530864,152.8604938271605
2025-11,340.0,6,2567,120.26611295681063,0.7683104511067498,69.0222571145627,155.00508052746795,164.52624700302306
2025-12,90.0,6,196,132.48333333333335,0.154761904761898,66.8765625,122.53458333333333,131.89447916666668
2025-12,195.0,28,166913,120.28346134428193,0.6525199982224095,67.0383455154973,131.0286687210375,140.4874114806023
2025-12,270.0,28,31400,119.33412875963211,0.5765227867579057,69.00383207709471,144.29691110620496,153.81280404637417
2025-12,340.0,18,10459,116.10503446041798,0.4596616301340717,68.98457700491599,155.31874017194082,164.86924591270437
2026-01,90.0,2,62,131.78333333333333,0.21666666666666856,66.9271875,122.55239583333334,131.99
2026-01,195.0,30,157070,118.99506661350065,0.34271805990135107,66.96706870538014,131.1371307517596,140.62114992139857
2026-01,270.0,31,57716,117.82222222222222,0.36527777777777715,68.88709483793517,144.41755102040815,153.97028590878148
2026-01,340.0,30,24463,114.72916162227602,0.44686553055264255,68.86854157562459,155.32260154576917,164.85139767237592
2026-02,90.0,2,61,126.9685960591133,3.7900246305418506,67.05462365591397,121.40618279569891,130.89661290322582
2026-02,195.0,26,136590,118.08974751043105,0.748820561140171,67.03523042401692,130.60545403196662,140.11814367559037
2026-02,270.0,26,29501,116.65336595095974,0.6592090142341007,68.89926706548869,143.83214402265202,153.28243605125496
2026-02,340.0,15,6410,113.18066157760816,0.931637887632462,68.9939393939394,154.7084935897436,164.2840579710145
2026-03,90.0,4,128,130.76555299539172,0.09404761904762893,67.06010416666666,121.46875,130.95520833333333
2026-03,195.0,22,138664,118.68115917020309,0.5311921817123348,67.06809805212457,130.71371256461407,140.2038306578089
2026-03,270.0,23,18716,117.3260606060606,0.3862380762234494,68.97045191193511,143.7605902777778,153.2061403508772
2026-03,340.0,12,5727,114.06801153372072,0.08602955173873994,69.03699473711038,154.70699777951933,164.20853343782653
2026-04,90.0,4,140,130.67837837837837,0.18437500000000284,66.90748106060607,121.54411764705881,131.08582887700535
2026-04,195.0,30,183293,118.05183959838499,0.4826169004552412,67.16283819074013,130.35600145341132,139.91202298836095
2026-04,270.0,30,30515,116.09956043956043,0.17792565879254596,69.19245759274006,143.75444724252378,153.2545657995202
2026-04,340.0,11,5117,113.0,0.095238095238102,69.19454545454546,155.13207855973812,164.66710310965632
2026-05,90.0,5,181,130.4375,0.20766129032259073,67.33636363636363,121.34117647058824,130.83939393939394
