policy,seed,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct
expected_n_plus_one,116,True,True,259.0,1302.0,1043.0,15.779894863298166,6.669469546496142,1302.0,27.096130213792634,0.9699014984019882,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1302.0,259.0,8.386076108302301,9.35597760670429,9.354076498786043
fixed_pair,117,True,True,1111.0,1408.0,297.0,24.196907494605657,1.9920514304649792,1408.0,28.12151020201023,0.4503339776448936,3,1,"(np.int64(1), np.int64(0), np.int64(2))",1408.0,1111.0,,9.609288064671015,9.353268050313096,9.158954087026121
order_blend_50,117,True,True,1408.0,1416.0,8.0,28.126666512749082,0.41549645106052857,1416.0,28.438627352532087,0.37620554361750536,4,2,"(np.int64(0), np.int64(1), np.int64(2))",1408.0,1416.0,,9.650663814947523,9.513505266254548,9.274458271330017
expected_n_plus_one,117,True,True,446.0,1408.0,962.0,16.015238683815433,6.43500876392925,1408.0,28.139737502384545,0.5763666397458778,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1408.0,446.0,9.104426422438719,9.680793062184597,9.35451801776123
fixed_pair,118,True,True,1183.0,1482.0,299.0,23.68913432229598,2.6042694983591588,1482.0,27.660082369004165,1.0194812127959931,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1183.0,1482.0,8.617555329051411,9.405490498105348,9.637036541847404
order_blend_50,118,True,True,1183.0,1482.0,299.0,23.68913432229598,2.6042694983591588,1482.0,27.660082369004165,1.0194812127959931,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1183.0,1482.0,8.617555329051411,9.405490498105348,9.637036541847404
expected_n_plus_one,118,True,True,361.0,1482.0,1121.0,15.6311478847698,6.823339447694419,1482.0,27.6702009785092,1.0784523602853806,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1482.0,361.0,8.617555329051411,9.696007689336792,9.356637960120999
fixed_pair,119,True,True,1101.0,1528.0,427.0,23.396504839229344,2.79447745885878,1528.0,27.90923134370123,0.15724130412809956,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1101.0,1528.0,9.198855151375646,9.354279736821839,9.356096455503746
order_blend_50,119,True,True,1101.0,1528.0,427.0,23.396504839229344,2.79447745885878,1528.0,27.90923134370123,0.15724130412809956,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1101.0,1528.0,9.198855151375646,9.354279736821839,9.356096455503746
expected_n_plus_one,119,True,True,284.0,1530.0,1246.0,15.321964938369886,7.13611206308137,1530.0,27.92309640844887,0.14768132672364764,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1530.0,284.0,9.21075146789087,9.353912145943484,9.358432794614517
fixed_pair,120,True,True,1139.0,1499.0,360.0,24.05675414706928,2.1338266929570677,1499.0,27.986448465385656,0.08109655265534244,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1139.0,1499.0,9.275636452469682,9.354079007790952,9.356733005125024
order_blend_50,120,True,True,1285.0,1498.0,213.0,25.533253882100418,1.4290900086488767,1498.0,27.980870989427586,0.08463564614983099,7,5,"(np.int64(1), np.int64(2), np.int64(0))",,1285.0,1498.0,9.271571704941572,9.35309193339461,9.356207351091403
expected_n_plus_one,120,True,True,316.0,1502.0,1186.0,15.415325088307196,7.0342356891521245,1502.0,28.007642149739183,0.056144552912636314,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1502.0,316.0,9.298661457103998,9.354806010016635,9.354174682618549
fixed_pair,121,True,True,1027.0,1349.0,322.0,23.06454440125029,3.1269647174729647,1349.0,26.74344095766947,1.322378663093387,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1027.0,1349.0,8.033259573718338,9.354543147139406,9.355638236811725
order_blend_50,121,True,True,1027.0,1349.0,322.0,23.06454440125029,3.1269647174729647,1349.0,26.74344095766947,1.322378663093387,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1027.0,1349.0,8.033259573718338,9.354543147139406,9.355638236811725
expected_n_plus_one,121,True,True,339.0,1349.0,1010.0,15.934246792773294,6.513503995111632,1349.0,26.740754108256617,1.3209652729885875,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1349.0,339.0,8.033259573718338,9.354224846706925,9.353269687831352
fixed_pair,122,True,True,1083.0,1421.0,338.0,24.012911461278517,2.3471247473864425,1421.0,27.806345190368,0.47366985519063753,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1083.0,1421.0,8.96513683691962,9.438806692110257,9.402401661338121
order_blend_50,122,True,True,1109.0,1420.0,311.0,24.224589991321526,2.1656632771456863,1420.0,27.66976172324749,0.3938369307084013,5,3,"(np.int64(1), np.int64(2), np.int64(0))",,1109.0,1420.0,8.960878711092043,9.354167370355004,9.354715641800444
expected_n_plus_one,122,True,True,314.0,1421.0,1107.0,16.12143029921016,6.333097551571864,1421.0,27.796170205838536,0.5093840772568257,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1421.0,314.0,8.965063954650903,9.474448031907729,9.356658219279902
fixed_pair,123,True,True,990.0,1342.0,352.0,23.80927261219719,2.389015012726749,1342.0,27.501155275466957,0.5703811477594414,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,990.0,1342.0,8.787551252480306,9.357932400239747,9.355671622746904
order_blend_50,123,True,True,990.0,1342.0,352.0,23.80927261219719,2.389015012726749,1342.0,27.501155275466957,0.5703811477594414,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,990.0,1342.0,8.787551252480306,9.357932400239747,9.355671622746904
expected_n_plus_one,123,True,True,357.0,1366.0,1009.0,15.899676875949094,6.79724813319975,1366.0,27.68099364097995,0.6284627502675022,3,1,"(np.int64(2), np.int64(0), np.int64(1))",1366.0,,357.0,9.353742794320828,8.849394048195808,9.47785679846331
fixed_pair,124,True,True,1040.0,1438.0,398.0,23.168958365903638,3.281871462423994,1438.0,26.986037635736675,1.3521083564787926,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1040.0,1438.0,8.1320951454628,9.484203501941593,9.369738988332282
order_blend_50,124,True,True,1040.0,1438.0,398.0,23.168958365903638,3.281871462423994,1438.0,26.986037635736675,1.3521083564787926,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1040.0,1438.0,8.1320951454628,9.484203501941593,9.369738988332282
expected_n_plus_one,124,True,True,354.0,1422.0,1068.0,15.951251509627966,6.497479329782673,1422.0,26.780862622337917,1.279897639640513,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1422.0,354.0,8.073862073953695,9.353240834790014,9.353759713594208
fixed_pair,125,True,True,1193.0,1310.0,117.0,25.880596564825243,2.1258630221847934,1310.0,26.957764982100922,1.614531250139521,3,1,"(np.int64(1), np.int64(0), np.int64(2))",1310.0,1193.0,,9.355724538981967,9.608285846629238,7.993754596489717
order_blend_50,125,True,True,1413.0,1414.0,1.0,28.151129851093042,0.2309096010227485,1414.0,28.162044351449687,0.22413489261213115,19,17,"(np.int64(1), np.int64(0), np.int64(2))",1414.0,1413.0,,9.353390851792344,9.516394196134737,9.292259303522606
expected_n_plus_one,125,True,True,354.0,1377.0,1023.0,16.717611097595316,5.783026263380261,1377.0,27.652499588088858,0.46332860774858453,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1377.0,354.0,8.916384366628092,9.356402247084091,9.379712974376677
fixed_pair,126,True,True,1074.0,1343.0,269.0,24.267651206634824,1.9231459220333873,1343.0,27.67181295911542,0.5571005842484595,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1074.0,1343.0,8.880262611377539,9.354187152111884,9.437363195625998
order_blend_50,126,True,True,1343.0,1348.0,5.0,27.673848747791396,0.5638159983069606,1348.0,27.75721698735512,0.5492855691690615,4,2,"(np.int64(2), np.int64(1), np.int64(0))",,1348.0,1343.0,8.927032764805846,9.353865888574369,9.476318333974907
