candidate_id,horizon,forecast_mode,confidence_form,confidence_rate,trend_weight,trusted_steps,forecast_block_size,move_block_size,max_horizon_switches,min_dwell,w_hydrogen,w_degradation_proxy,w_battery_use,w_soc,w_switch,w_smooth,horizon_s,n,h2_kg,degradation_proxy_sum,soc_final,soc_error,battery_throughput_kwh,switch_count,fc_total_variation_kw,internal_objective_sum,runtime_s,calibration_runs,selection_score,pareto
35,5,block_mean,hard_fallback,0.2,0.25,2,3,3,1,10,0.7,0.75,4.0,2.0,0.6,0.1,10.0,7200.0,1.0089242529209421,763.1020240775184,0.6820539988882856,-0.017946001111714405,43.1769451763124,326.0,1741.7225318820256,9858.911475995017,9.426418900140561,2,7.056344100773952,True
31,5,block_mean,exponential,0.35,1.0,5,2,2,2,10,0.3,0.75,0.5,3.0,0.08,0.01,10.0,7200.0,1.0249341314492018,818.1737914622156,0.6871694943892692,-0.012830505610730736,43.36636996772654,355.0,1881.344659200919,5774.568764950271,10.39034649997484,2,7.268701221146942,False
33,3,cumulative_mean,exponential,0.35,0.5,5,3,3,1,60,1.0,2.0,1.0,3.0,0.15,0.3,6.0,7200.0,0.9782630712470202,665.8031090323077,0.6671246462956482,-0.032875353704351795,45.44807190299652,59.0,304.11311155447635,9644.173015321145,5.039806100074202,2,104.54540995834994,False
37,3,window_mean,adaptive,0.2,0.5,2,3,2,1,60,0.3,2.0,0.5,5.0,0.6,0.1,6.0,7200.0,1.0397363874151524,786.0214271242252,0.6787488990956586,-0.021251100904341347,45.84430384951173,76.0,392.50292731715774,10944.772853677938,4.809540699934587,2,104.54678510595065,False
25,3,cumulative_mean,adaptive,0.1,0.75,3,2,2,1,60,0.45,0.75,4.0,2.0,0.6,0.04,6.0,7200.0,1.0032857211042783,752.2202831989468,0.6743305524246315,-0.025669447575368487,46.96843464811429,69.0,374.9601032911607,11373.094728347698,5.319716099998914,2,104.57691307321284,False
13,3,window_mean,hard_fallback,0.35,1.0,1,5,3,2,60,0.45,0.75,2.5,5.0,0.03,0.1,6.0,7200.0,1.038626440207148,794.9641143569112,0.6749773117309992,-0.02502268826900078,46.41623016531511,77.0,398.6429365026203,13373.026600556688,4.527963300002739,2,104.7285708420439,False
9,3,block_mean,linear,0.35,0.5,1,2,2,2,40,0.7,1.25,1.0,3.0,0.3,0.1,6.0,7200.0,1.0412192768850468,747.7285877391892,0.6734966420336596,-0.026503357966340402,46.028209488313394,106.0,538.9547989467912,8138.250500948348,4.903462400077842,2,105.00420861852135,False
4,5,cumulative_mean,hard_fallback,0.05,0.25,1,3,3,1,25,0.7,1.25,4.0,2.0,0.6,0.8,10.0,7200.0,0.9382161759822107,564.8241354052651,0.6522401646995731,-0.04775983530042682,45.31947679702215,94.0,490.6479651889621,12541.175861920228,11.224834499880672,2,105.29733964879843,False
22,5,raw,adaptive,0.1,0.5,1,2,2,1,25,0.7,6.0,0.5,8.0,0.15,0.01,10.0,7200.0,0.9903481764477755,690.4985505871164,0.6732206216576732,-0.0267793783423268,44.688560130541006,157.0,750.0242077274005,16673.885557037596,8.620134599972516,2,105.34008119443234,False
5,10,block_mean,adaptive,0.2,0.25,2,3,5,2,25,0.45,2.0,1.5,8.0,0.03,0.04,20.0,7200.0,1.0037119408321522,754.5089244341439,0.6763519895060752,-0.02364801049392473,45.06998647670031,163.0,861.8635176650058,16592.531544769095,13.591745399986394,2,105.49375460983167,False
3,5,cumulative_mean,linear,0.05,0.25,2,2,1,2,25,0.15,2.0,1.0,5.0,0.6,0.01,10.0,7200.0,1.01078896423039,783.8387338942209,0.6783918131369522,-0.021608186863047774,44.95674265656729,164.0,891.0739858565092,10592.744143330263,10.596519699902274,2,105.50663048144956,False
8,10,window_mean,hard_fallback,0.1,1.0,1,2,5,2,25,0.7,1.25,2.5,3.0,0.08,0.01,20.0,7200.0,1.0189848144142968,811.7262248986581,0.6765227220921588,-0.023477277907841154,45.565095338038354,167.0,894.5979315298661,10227.71603476333,14.371699400013313,2,105.664499150635,False
42,3,block_mean,linear,0.35,0.5,2,5,5,1,15,0.45,3.5,1.5,5.0,0.6,0.1,6.0,7200.0,0.9559575721549578,609.3896593018935,0.6589826014946134,-0.04101739850538655,44.2468906199947,156.0,794.595180824055,12153.74031419207,5.731427800026722,2,105.76497072501722,False
46,5,window_mean,exponential,0.02,0.5,5,5,5,1,60,0.45,1.25,1.5,8.0,0.15,0.01,10.0,7200.0,1.15015393566746,1003.8091516879476,0.740803292707322,0.04080329270732208,46.8376847291285,79.0,443.1069190408897,18800.37270139665,6.265715099987574,2,105.91222024495724,False
45,3,raw,adaptive,0.1,0.5,1,2,3,2,15,0.3,2.0,1.0,2.0,0.08,0.1,6.0,7200.0,0.9515976995219153,608.1556231188598,0.6571881359497765,-0.042811864050223414,44.24973132115291,170.0,852.9024912332009,6467.863564116668,5.4529287001350895,2,105.96536689509844,False
0,5,raw,exponential,0.08,0.0,3,2,1,2,15,0.45,2.5,1.5,3.0,0.1,0.1,10.0,7200.0,0.9773573543252885,653.873981604832,0.6698032374251004,-0.03019676257489956,43.841852956637354,219.0,1036.7415490857989,8612.930320259042,13.747877900023013,2,106.02029171660837,False
32,10,raw,exponential,0.05,0.75,5,2,1,1,10,0.15,6.0,1.0,5.0,0.6,0.3,20.0,7200.0,0.9505587889352229,606.3231346025451,0.657742525776065,-0.042257474223935,43.35154775634772,187.0,923.1894567520271,12568.53276341399,45.363183399895206,2,106.09578257389965,False
36,5,block_mean,hard_fallback,0.02,0.5,1,5,3,1,60,1.0,6.0,4.0,5.0,0.08,0.8,10.0,7200.0,0.8883307086656477,532.2592438657214,0.6189940821611478,-0.08100591783885214,45.26011403178862,73.0,355.05841976481474,21332.843894936515,7.5942207999760285,2,106.26199684771711,False
7,3,window_mean,hard_fallback,0.1,0.5,3,2,2,1,25,0.7,2.0,4.0,3.0,0.03,0.3,6.0,7200.0,0.921735679837757,636.1059159927113,0.6390032715379126,-0.06099672846208737,43.877079718342685,152.0,785.5172634394678,13710.63226954243,5.4078801000723615,2,106.54094411818565,False
41,5,block_mean,adaptive,0.35,0.5,2,5,3,2,25,0.15,3.5,1.0,2.0,0.3,0.1,10.0,7200.0,0.773056031431112,383.92606950219636,0.5684987191908142,-0.13150128080918577,45.096687540224295,80.0,520.2897302093367,9608.112526279403,11.041978999972343,2,108.09952221572762,False
