stride_s,source_state,target_state,transition_count,empirical_probability,ci95_lower,ci95_upper,zuo_fast_probability,zuo_slow_probability
10,2,2,4089,0.9927166788055353,0.9887059784962755,0.9945466258230081,0.1,0.85
10,2,3,8,0.0019422189851905803,0.001012345555042777,0.0033190223047229617,0.35,0.05
10,3,0,0,0.0,0.0,0.0,0.2,0.05
10,3,1,1,0.0007501875468867217,0.0,0.003045685279187817,0.35,0.15
10,3,2,7,0.005251312828207052,0.0025906735751295338,0.012781176947664704,0.35,0.2
10,3,3,1325,0.9939984996249063,0.9861480474542759,0.9962407191319976,0.1,0.6
30,0,0,1284,0.9675960813865863,0.9412466862637214,0.9793679965343884,0.1,0.7
30,0,1,43,0.03240391861341371,0.020632003465611597,0.058753313736278526,0.35,0.1
30,0,2,0,0.0,0.0,0.0,0.35,0.15
30,0,3,0,0.0,0.0,0.0,0.2,0.05
30,1,0,29,0.15934065934065933,0.05767857142857143,0.26732961086806356,0.35,0.05
30,1,1,130,0.7142857142857143,0.6091364574123195,0.8085208022767312,0.1,0.8
30,1,2,23,0.12637362637362637,0.09677119558700084,0.17309027777777777,0.35,0.05
30,1,3,0,0.0,0.0,0.0,0.2,0.1
30,2,0,11,0.008017492711370262,0.0035930903216979935,0.018609964991247806,0.2,0.05
30,2,1,6,0.004373177842565598,0.0015969712863522546,0.007768701919876761,0.35,0.05
30,2,2,1347,0.9817784256559767,0.9710333980044347,0.9865537944877105,0.1,0.85
30,2,3,8,0.0058309037900874635,0.003034878346126081,0.00996829165619312,0.35,0.05
30,3,0,3,0.006741573033707865,0.0,0.019192051189617868,0.2,0.05
30,3,1,3,0.006741573033707865,0.0,0.024691358024691357,0.35,0.15
30,3,2,2,0.0044943820224719105,0.0,0.008368200836820083,0.35,0.2
30,3,3,437,0.9820224719101124,0.9587332083723836,0.9887327340247272,0.1,0.6
60,0,0,621,0.9480916030534351,0.9153488294537451,0.9625457942398157,0.1,0.7
60,0,1,34,0.051908396946564885,0.03745420576018438,0.0846511705462549,0.35,0.1
60,0,2,0,0.0,0.0,0.0,0.35,0.15
60,0,3,0,0.0,0.0,0.0,0.2,0.05
60,1,0,17,0.18085106382978725,0.0625,0.28131334459459456,0.35,0.05
60,1,1,54,0.574468085106383,0.47053239017125836,0.6744331395348837,0.1,0.8
60,1,2,23,0.24468085106382978,0.1904611211573237,0.32839667641175563,0.35,0.05
60,1,3,0,0.0,0.0,0.0,0.2,0.1
60,2,0,13,0.018950437317784258,0.012345045250589397,0.03542261151279796,0.2,0.05
60,2,1,3,0.004373177842565598,0.0,0.008602150537634409,0.35,0.05
60,2,2,662,0.9650145772594753,0.945529878618114,0.9734327333459319,0.1,0.85
60,2,3,8,0.011661807580174927,0.006133478445608988,0.020001824817518245,0.35,0.05
60,3,0,3,0.013574660633484163,0.0,0.03891666666666664,0.2,0.05
60,3,1,3,0.013574660633484163,0.0,0.05063291139240506,0.35,0.15
60,3,2,2,0.00904977375565611,0.0,0.016666666666666666,0.35,0.2
60,3,3,213,0.9638009049773756,0.9148871302542813,0.9774011299435028,0.1,0.6
