point_mae_kw,point_rmse_kw,point_nrmse_range_pct,window_mean_rmse_kw,window_energy_mae_kwh,high_power_f1,braking_f1,ramp_risk_mae_kw,feature_group,horizon_s,split,n,feature_count,runtime_s
11.75464303452308,23.77023157811842,5.334232128878517,17.8946722289045,0.013485247184215562,0.8336907110386825,0.8591732064512142,19.963473832601448,base_route_intent,5,validation,31649,194,25.000727900012862
10.979830952652232,22.309941703773177,5.006531275834283,16.70288425489049,0.01250196661047204,0.8164610603634994,0.8440159574468085,19.398794242883344,base_route_intent,5,test,31243,194,25.032857800018974
11.825933698980599,23.838081011538307,5.349458090244738,17.993371495329715,0.013595186949303745,0.8315480304077402,0.8599963010911781,19.990856444490532,all_available,5,validation,31649,329,44.499266600003466
11.113295583809084,22.49344120602875,5.047710047582807,16.883466117941136,0.012672021232788336,0.8135850488568447,0.8436334576451785,19.530004050046262,all_available,5,test,31243,329,44.531865300028585
19.540911989330567,36.09654287817402,8.100356032687769,26.134359891066275,0.04425558587573749,0.7365309686954186,0.8151393679500326,45.40258286141204,base,10,validation,31634,161,44.624906399985775
18.03098365435556,33.671928465348074,7.5562529574386454,24.15714087991931,0.04058569597275601,0.7184128593150387,0.7897253857910566,44.62156475754577,base,10,test,31238,161,44.66486570000416
19.576355820771774,36.050143389411055,8.089943612307701,26.083299167543903,0.044305242785125924,0.7376939539860888,0.8134846211552889,45.43728260266916,base_route,10,validation,31634,166,46.894925700034946
18.041702823126855,33.67086760054943,7.5560148908016105,24.130080482472515,0.040550898909697264,0.7187409341456339,0.7929441823899371,44.62119730669833,base_route,10,test,31238,166,46.93496019998565
19.544096415979833,36.11020322928742,8.103421525910306,26.137293133429676,0.044251478102108346,0.7377950643776824,0.8148631637838594,45.370923414837335,base_intent,10,validation,31634,189,46.43563019996509
18.047082722331897,33.70698471937646,7.564119864243561,24.185234528602617,0.04061706103989208,0.7175350628588039,0.7883254716981132,44.42541910974761,base_intent,10,test,31238,189,46.47289539995836
19.596033935915937,36.130377462526155,8.107948786941142,26.18928425805629,0.0443921436371956,0.7328388401888065,0.818029895088664,45.25503063033889,base_power_chain,10,validation,31634,269,75.63297979999334
18.158987303010196,33.80115756761044,7.585253012697198,24.26715588539723,0.040872427123635466,0.7133225853730031,0.7878579498010708,44.724584075821156,base_power_chain,10,test,31238,269,75.67265939997742
19.584721259545766,36.110094598006064,8.103397148172576,26.152955088745852,0.04438808939780234,0.7371670133530162,0.8151244890375325,45.3418393325655,base_health,10,validation,31634,188,49.11410100001376
