policy,effective_policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,scenario_id,local_seed,simulation_seed
order_blend_90,order_blend_90,True,True,301.0,1319.0,1018.0,15.463087027930095,6.990236099297601,1319.0,27.660596140049712,0.41647327563672043,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1319.0,301.0,8.944033503455127,9.360506779091848,9.356055857502737,reference,4,4
order_blend_99,order_blend_99,True,True,301.0,1319.0,1018.0,15.463087027930095,6.990236099297601,1319.0,27.660596140049712,0.41647327563672043,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1319.0,301.0,8.944033503455127,9.360506779091848,9.356055857502737,reference,4,4
fixed_pair,fixed_pair,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264,reference,5,5
order_blend_25,order_blend_25,True,True,1490.0,1491.0,1.0,27.364659808167843,0.6878121129185946,1491.0,27.396213212217365,0.7030226845480474,27,25,"(np.int64(1), np.int64(2), np.int64(0))",,1490.0,1491.0,8.669878846859433,9.353432833950452,9.37290153140748,reference,5,5
order_blend_50,order_blend_50,True,True,1095.0,1501.0,406.0,23.293385371871288,2.8971401180818175,1501.0,27.408088186495398,0.6533308938225275,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1095.0,1501.0,8.700720438931803,9.35405133275433,9.353316414809264,reference,5,5
order_blend_75,order_blend_75,True,True,381.0,1502.0,1121.0,16.233896598039074,6.217263696247195,1502.0,27.41438920573543,0.6504999199960704,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1502.0,381.0,8.704474521035953,9.354940243667452,9.354974441032024,reference,5,5
order_blend_90,order_blend_90,True,True,381.0,1502.0,1121.0,16.233896598039074,6.217263696247195,1502.0,27.41438920573543,0.6504999199960704,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1502.0,381.0,8.704474521035953,9.354940243667452,9.354974441032024,reference,5,5
order_blend_99,order_blend_99,True,True,381.0,1502.0,1121.0,16.233896598039074,6.217263696247195,1502.0,27.41438920573543,0.6504999199960704,3,1,"(np.int64(2), np.int64(1), np.int64(0))",,1502.0,381.0,8.704474521035953,9.354940243667452,9.354974441032024,reference,5,5
fixed_pair,fixed_pair,True,True,1078.0,1393.0,315.0,23.64722992356773,2.541691606828241,1393.0,27.21756677977225,0.846108545430889,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1078.0,1393.0,8.5091044406828,9.353249352975762,9.355212986113688,reference,6,6
order_blend_25,order_blend_25,True,True,1376.0,1389.0,13.0,27.130297251673724,0.9079954638859924,1389.0,27.25118392122767,0.8883154610734643,26,24,"(np.int64(2), np.int64(1), np.int64(0))",,1389.0,1376.0,8.498772154351268,9.387087615424733,9.365324151451668,reference,6,6
