scenario_id,local_seed,policy,n_plus_one_weight,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
heterogeneity_gp_re_increased_perm_2,4,order_blend_99,0.99,-1702.0,-130.0,0
heterogeneity_gp_re_increased_perm_2,5,order_blend_99,0.99,-1625.0,-203.0,0
heterogeneity_gp_re_increased_perm_2,6,order_blend_99,0.99,-1570.0,-250.0,0
heterogeneity_gp_re_increased_perm_2,7,order_blend_99,0.99,-1664.0,-256.0,0
heterogeneity_gp_re_increased_perm_2,8,order_blend_99,0.99,-1709.0,-298.0,0
heterogeneity_gp_re_increased_perm_2,9,order_blend_99,0.99,-1661.0,-302.0,0
heterogeneity_gp_re_increased_perm_2,10,order_blend_99,0.99,-1462.0,-235.0,0
heterogeneity_gp_re_increased_perm_2,11,order_blend_99,0.99,-1573.0,-253.0,0
heterogeneity_gp_re_increased_perm_2,12,order_blend_99,0.99,-1487.0,-185.0,0
heterogeneity_gp_re_increased_perm_2,13,order_blend_99,0.99,-1577.0,-220.0,0
heterogeneity_gp_re_increased_perm_2,14,order_blend_99,0.99,-1686.0,-277.0,0
heterogeneity_gp_re_increased_perm_2,15,order_blend_99,0.99,-1677.0,-200.0,0
heterogeneity_gp_re_increased_perm_2,16,order_blend_99,0.99,-1524.0,-181.0,0
heterogeneity_gp_re_increased_perm_2,17,order_blend_99,0.99,-1476.0,-149.0,0
heterogeneity_gp_re_increased_perm_2,18,order_blend_99,0.99,-1508.0,-286.0,0
heterogeneity_gp_re_increased_perm_2,19,order_blend_99,0.99,-1425.0,-235.0,0
