scenario,load_source,load_seed,strategy,power_interface,health_seed,n_steps,hydrogen_g,fc_energy_kwh,hydrogen_g_per_fc_kwh,hydrogen_soc_corrected_g,sampled_damage_increment_pct,main_sampled_damage_increment_pct,recovery_sampled_damage_increment_pct,main_expected_continuous_damage_pct,main_sampled_continuous_damage_pct,main_discrete_damage_pct,expected_damage_increment_pct,main_expected_damage_increment_pct,recovery_expected_damage_increment_pct,performance_loss_sum,objective_total_sum,objective_degradation_increment_sum,main_performance_loss_sum,recovery_performance_loss_sum,main_hydrogen_g,recovery_hydrogen_g,battery_throughput_kwh,soc_final,soc_error,soc_metrics_applicable,fc_tracking_mae_kw,fc_tracking_rmse_kw,fc_tracking_bias_kw,fc_tracking_max_abs_kw,fc_tracking_within_tolerance_share,online_stack_count_mean,online_stack_count_max,online_step_range,total_switch_count,total_load_shift_count,constraint_violation_steps,safety_override_steps,planning_runtime_s,planning_runtime_mean_ms,planning_runtime_max_ms,planning_expanded_nodes,planning_feasible_candidates,max_power_balance_error_kw,clipped_points,clipped_share,soc_recovery_steps,health_changed_steps,final_damage_mean_pct,final_damage_range_pct,damage_increment_range_pct,aged_stack_index,aged_stack_current_share,main_aged_stack_current_share,stack_0_current_a_step,stack_1_current_a_step,stack_2_current_a_step,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,stack_0_online_steps,stack_1_online_steps,stack_2_online_steps,stack_0_switch_count,stack_1_switch_count,stack_2_switch_count,stack_0_load_shift_count,stack_1_load_shift_count,stack_2_load_shift_count,stack_0_max_consecutive_online_steps,stack_1_max_consecutive_online_steps,stack_2_max_consecutive_online_steps,stack_0_max_consecutive_off_steps,stack_1_max_consecutive_off_steps,stack_2_max_consecutive_off_steps,pair_seed,gamma_residual_pct,gamma_shape_sum,sampled_continuous_near_zero
zuo_fast_30s_pair_2029,zuo_fast_30s,2029,rotating,fc_only,32029,120,95.36666411176367,1.811539495039807,52.64398837170705,,0.006479395000000001,0.006479395000000001,0.0,0.00015666666666666666,1.7854308903308828e-93,0.006479395000000001,0.006636061666666667,0.006636061666666667,0.0,8.261785696583999,30.74426940805794,1.0181594617236276,8.261785696583999,0.0,95.36666411176367,0.0,,,,False,0.8416785413647165,0.9252869525063713,-0.8416785413647165,1.4622274749316446,1.0,2.0,2,60,4,5,0,0,37.950728699797764,316.2560724983147,696.2822999339551,13944,1608,1.4622274749316446,0,0.0,0,5,4.05513882824074,6.5472033013888895,0.00010096500000011943,2,0.25977653631284914,0.25977653631284914,25800.0,13950.0,13950.0,0.9374407530555555,3.7433316772222223,7.484644054444445,120,60,60,1,2,1,3,1,1,120,60,60,0,60,60,2029,-0.00015666666666666607,0.001167614284965926,True
zuo_fast_30s_pair_2029,zuo_fast_30s,2029,instant_health,fc_only,32029,120,95.36666411176367,1.8185068169368848,52.4422912378192,,0.004323395,0.004323395,0.0,0.00015469166666666663,1.962732337512202e-147,0.004323395,0.00447808666666667,0.00447808666666667,0.0,2.355906508606793,27.596064209899456,0.67936983715588,2.355906508606793,0.0,95.36666411176367,0.0,,,,False,0.6557242669253309,0.7932573934684252,-0.6326588844523808,1.3073709796475228,1.0,2.0,2,120,2,5,0,0,37.238014998612925,310.31679165510775,698.6576998606324,14168,1622,1.3073709796475228,0,0.0,0,5,4.0544201615740745,6.545041371388889,0.002244794999999744,2,0.0,0.0,38400.0,15300.0,0.0,0.9373814530555555,3.743456207222222,7.482422824444445,120,120,0,1,1,0,2,3,0,120,120,0,0,0,120,2029,-0.00015469166666667,0.001152894892118217,True
empirical_1s_pair_2030,empirical_1s,2030,average,fc_only,32030,120,56.47411394327902,1.1401727952104825,49.53118876411498,,0.0045042599999999995,0.0045042599999999995,0.0,0.0001366666666666666,0.0,0.0045042599999999995,0.004640926666666669,0.004640926666666669,0.0,1.4972832416686699,32.797420513748484,0.7077906096268658,1.4972832416686699,0.0,56.47411394327902,0.0,,,,False,2.7352212934184403,2.920618192565524,-2.5867250720581336,3.1931715340378446,1.0,2.0,2,120,2,8,0,1,8.980047400575131,74.8337283381261,161.71669983305037,3193,248,3.1931715340378446,0,0.0,0,5,4.054480449907408,6.544922771388889,0.0023070599999996944,2,0.0,0.0,15900.0,15900.0,0.0,0.9375000530555555,3.743518472222222,7.482422824444445,120,120,0,1,1,0,4,4,0,120,120,0,0,0,120,2030,-0.00013666666666666948,0.001018557142204318,True
empirical_1s_pair_2030,empirical_1s,2030,rotating,fc_only,32030,120,62.0682478716227,1.1973772422224394,51.83683611392052,,0.00851352,0.00851352,0.0,0.00012200444444444447,0.0,0.00851352,0.008635524444444445,0.008635524444444445,0.0,5.2711931504727065,25.60890396981337,1.337797887082565,5.2711931504727065,0.0,62.0682478716227,0.0,,,,False,1.2556214411526985,1.351858368771865,-0.8705916616994249,1.825582732221946,1.0,2.0,2,30,6,6,0,0,19.693899099249393,164.11582582707825,699.6607999317348,7088,1164,1.825582732221946,0,0.0,0,8,4.0558168699074075,6.545486431388889,0.0016335400000002664,2,0.263519313304721,0.263519313304721,16200.0,9540.0,9210.0,0.9392228530555555,3.743518472222222,7.4847092844444445,60,90,90,3,1,2,0,4,2,30,90,90,60,30,30,2030,-0.000122004444444445,0.000909281694655309,True
empirical_1s_pair_2030,empirical_1s,2030,instant_health,fc_only,32030,120,62.0682478716227,1.2026396676151556,51.61001216158498,,0.0043856599999999996,0.0043856599999999996,0.0,0.00011832083333333332,0.0,0.0043856599999999996,0.004503980833333336,0.004503980833333336,0.0,0.8104765273238457,22.935725387287885,0.6891540375147439,0.8104765273238457,0.0,62.0682478716227,0.0,,,,False,1.1393897043235128,1.2447400244679248,-0.7127188999179435,1.6451790410013274,1.0,2.0,2,120,2,6,0,0,29.568947900552303,246.40789917126918,668.0950000882149,11184,1790,1.6451790410013274,0,0.0,0,6,4.054440916574074,6.545041371388889,0.0023070599999996944,2,0.0,0.0,30750.0,4200.0,0.0,0.9373814530555555,3.743518472222222,7.482422824444445,120,120,0,1,1,0,2,4,0,120,120,0,0,0,120,2030,-0.00011832083333333625,0.0008818282672919521,True
zuo_slow_30s_pair_2030,zuo_slow_30s,2030,average,fc_only,32030,120,99.09608673065942,1.9118808383228558,51.83172755556706,,0.0041395649999999996,0.0041395649999999996,0.0,0.0001366666666666666,0.0,0.0041395649999999996,0.004276231666666669,0.004276231666666669,0.0,4.3871299093999845,44.153335842589854,0.6504831503820909,4.3871299093999845,0.0,99.09608673065942,0.0,,,,False,2.8754902733759318,2.881333639852186,-2.8754902733759318,3.193165729766225,1.0,2.0,2,120,2,2,0,0,12.730968199670315,106.0914016639193,227.75339987128973,4536,304,3.193165729766225,0,0.0,0,2,4.0543588849074075,6.545100671388889,0.0021202649999998435,2,0.0,0.0,27900.0,27900.0,0.0,0.9373221530555556,3.7433316772222223,7.482422824444445,120,120,0,1,1,0,1,1,0,120,120,0,0,0,120,2030,-0.00013666666666666948,0.001018557142204318,True
zuo_slow_30s_pair_2030,zuo_slow_30s,2030,rotating,fc_only,32030,120,104.69022065900313,1.9704254161300274,53.13077054427046,,0.00851383,0.00851383,0.0,0.00017097083333333335,1.5400110761424521e-249,0.00851383,0.008684800833333336,0.008684800833333336,0.0,11.795948690156159,36.03209959590838,1.3378465998764502,11.795948690156159,0.0,104.69022065900313,0.0,,,,False,1.1191529391607753,1.1569043125736913,-1.1191529391607753,1.500976301913596,1.0,2.0,2,90,6,3,0,0,37.89877509768121,315.82312581401004,691.2620000075549,14056,1224,1.500976301913596,0,0.0,0,5,4.055816973240741,6.54941860138889,0.0023192300000003385,2,0.2875318066157761,0.2875318066157761,30900.0,11100.0,16950.0,0.9373814530555555,3.7432694122222223,7.486800054444445,120,30,90,1,2,3,2,0,1,120,30,60,0,60,30,2030,-0.00017097083333333582,0.0012742211956118844,True
zuo_slow_30s_pair_2030,zuo_slow_30s,2030,instant_health,fc_only,32030,120,104.69022065900313,1.9809683617484553,52.84800236112846,,0.0041395649999999996,0.0041395649999999996,0.0,0.00016694166666666668,1.5400110761424521e-249,0.0041395649999999996,0.004306506666666671,0.004306506666666671,0.0,2.8591772839198555,30.828242698856755,0.6504831503820909,2.8591772839198555,0.0,104.69022065900313,0.0,,,,False,0.8028645706079391,0.8540685696542256,-0.8028645706079391,1.3073690887257001,1.0,2.0,2,120,2,2,0,0,52.3784727989696,436.48727332474664,633.1176999956369,19992,1560,1.3073690887257001,0,0.0,0,3,4.0543588849074075,6.545100671388889,0.0021202649999998435,2,0.0,0.0,41400.0,17550.0,0.0,0.9373221530555556,3.7433316772222223,7.482422824444445,120,120,0,1,1,0,1,1,0,120,120,0,0,0,120,2030,-0.00016694166666667183,0.001244192392059702,True
zuo_fast_30s_pair_2030,zuo_fast_30s,2030,average,fc_only,32030,120,101.75996002987073,1.9457815366052298,52.297731330830445,,0.004382695,0.004382695,0.0,0.0001617791666666666,0.0,0.004382695,0.00454447416666667,0.00454447416666667,0.0,4.905705258321092,43.08596404158409,0.6886881232119408,4.905705258321092,0.0,101.75996002987073,0.0,,,,False,2.6064607689014645,2.9243144703023902,-0.3749246100509831,4.0175840079744916,1.0,2.0,2,120,2,6,0,0,8.8642220008187,73.86851667348917,156.21799998916686,3192,248,4.0175840079744916,0,0.0,0,4,4.054439928240741,6.5449820713888895,0.002244794999999744,2,0.0,0.0,28650.0,28650.0,0.0,0.9374407530555555,3.743456207222222,7.482422824444445,120,120,0,1,1,0,3,3,0,120,120,0,0,0,120,2030,-0.00016177916666666996,0.0012057170170843615,True
zuo_fast_30s_pair_2030,zuo_fast_30s,2030,rotating,fc_only,32030,120,104.69022065900313,1.9594620415410777,53.428042207271524,,0.008326725,0.008326725,0.0,0.00017469583333333332,0.0,0.008326725,0.008501420833333335,0.008501420833333335,0.0,17.93894071608816,40.14426814389331,1.308445286005973,17.93894071608816,0.0,104.69022065900313,0.0,,,,False,1.498716427725384,1.8462311472997626,0.03549053802446167,3.068413931499691,1.0,2.0,2,60,6,3,0,0,38.467688001925126,320.5640666827094,665.7857999671251,14168,1462,3.068413931499691,0,0.0,0,4,4.055754604907407,6.545486431388889,0.00179973500000008,2,0.43765903307888043,0.43765903307888043,16200.0,16950.0,25800.0,0.9392228530555555,3.7433316772222223,7.4847092844444445,60,60,120,3,2,1,0,1,2,30,60,120,60,30,0,2030,-0.00017469583333333538,0.0013019830884512336,True
zuo_fast_30s_pair_2030,zuo_fast_30s,2030,instant_health,fc_only,32030,120,104.69022065900313,1.9759593888919518,52.981969795295086,,0.004323395,0.004323395,0.0,0.00016755416666666662,0.0,0.004323395,0.004490949166666669,0.004490949166666669,0.0,3.9548960837854534,35.92637044949885,0.67936983715588,3.9548960837854534,0.0,104.69022065900313,0.0,,,,False,1.5014449654228395,2.136303214569982,0.530410958550684,4.0175840079744916,1.0,2.0,2,120,2,5,0,0,37.15593080013059,309.6327566677549,627.4776000063866,14168,1462,4.0175840079744916,0,0.0,0,4,4.0544201615740745,6.545041371388889,0.002244794999999744,2,0.0,0.0,38400.0,20550.0,0.0,0.9373814530555555,3.743456207222222,7.482422824444445,120,120,0,1,1,0,2,3,0,120,120,0,0,0,120,2030,-0.0001675541666666695,0.0012487572670567759,True
empirical_1s_pair_2031,empirical_1s,2031,average,fc_only,32031,120,65.79767049051847,1.314012628702719,50.07384940849337,,0.004747389999999999,0.004747389999999999,0.0,0.0001366666666666666,1.81502093401165e-140,0.004747389999999999,0.004884056666666669,0.004884056666666669,0.0,2.0014216931571243,29.59295322800282,0.7459955824567157,2.0014216931571243,0.0,65.79767049051847,0.0,,,,False,1.9338144735244733,2.3693839402762547,-1.5254552688814955,3.193174436333024,1.0,2.0,2,120,2,12,0,5,8.541988400742412,71.18323667285344,162.10590000264347,3053,242,3.193174436333024,0,0.0,0,9,4.054561493240741,6.54480417138889,0.002431589999999595,2,0.0,0.0,18525.0,18525.0,0.0,0.9376186530555555,3.743643002222222,7.482422824444445,120,120,0,1,1,0,6,6,0,120,120,0,0,0,120,2031,-0.00013666666666667035,0.001018557142204318,True
empirical_1s_pair_2031,empirical_1s,2031,rotating,fc_only,32031,120,68.90552267293165,1.3223269486773406,52.10929319851985,,0.00863805,0.00863805,0.0,0.00012806388888888886,5.0236292031086804e-222,0.00863805,0.008766113888888889,0.008766113888888889,0.0,5.812375487303407,27.46547268118905,1.3573662878002932,5.812375487303407,0.0,68.90552267293165,0.0,,,,False,1.276025669642844,1.7782710045302093,-1.276025669642844,4.969696015609252,1.0,2.0,2,19,6,8,0,3,19.550422300817445,162.92018584014536,651.2529999017715,7059,1202,4.969696015609252,0,0.0,0,12,4.055858379907407,6.545498291388888,0.0018560700000000985,2,0.2860824742268041,0.2860824742268041,20170.0,7530.0,11100.0,0.9393414530555555,3.743393942222222,7.484839744444444,71,79,90,3,1,2,2,2,4,41,79,90,49,41,30,2031,-0.00012806388888888902,0.0009544418684358879,True
empirical_1s_pair_2031,empirical_1s,2031,instant_health,fc_only,32031,120,68.90552267293165,1.3280276983958723,51.8856065699253,,0.0043856599999999996,0.0043856599999999996,0.0,0.0001245625,5.0236292031086804e-222,0.0043856599999999996,0.004510222500000003,0.004510222500000003,0.0,0.9801114386647929,24.540291876730528,0.6891540375147439,0.9801114386647929,0.0,68.90552267293165,0.0,,,,False,1.139599155564037,1.7276523945445847,-1.105003178086901,4.969696015609252,1.0,2.0,2,120,2,6,0,3,35.26274120132439,293.8561766777033,610.7845001388341,13411,2208,4.969696015609252,0,0.0,0,9,4.054440916574074,6.545041371388889,0.0023070599999996944,2,0.0,0.0,33400.0,5400.0,0.0,0.9373814530555555,3.743518472222222,7.482422824444445,120,120,0,1,1,0,2,4,0,120,120,0,0,0,120,2031,-0.00012456250000000314,0.0009283465172621372,True
zuo_slow_30s_pair_2031,zuo_slow_30s,2031,average,fc_only,32031,120,83.11284693539179,1.6215324661579085,51.255740276555194,,0.0041395649999999996,0.0041395649999999996,0.0,0.0001366666666666666,1.81502093401165e-140,0.0041395649999999996,0.004276231666666669,0.004276231666666669,0.0,3.3278285689447884,40.966383567632434,0.6504831503820909,3.3278285689447884,0.0,83.11284693539179,0.0,,,,False,2.981382092172696,2.988894693474561,-2.981382092172696,3.193165729766225,1.0,2.0,2,120,2,2,0,0,12.54610989894718,104.55091582455984,151.110399980098,4536,304,3.193165729766225,0,0.0,0,4,4.0543588849074075,6.545100671388889,0.0021202649999998435,2,0.0,0.0,23400.0,23400.0,0.0,0.9373221530555556,3.7433316772222223,7.482422824444445,120,120,0,1,1,0,1,1,0,120,120,0,0,0,120,2031,-0.00013666666666666948,0.001018557142204318,True
zuo_slow_30s_pair_2031,zuo_slow_30s,2031,rotating,fc_only,32031,120,88.97336819365661,1.6793429072971366,52.981060513041484,,0.008261495,0.008261495,0.0,0.0001529916666666667,1.81502093401165e-140,0.008261495,0.008414486666666669,0.008414486666666669,0.0,9.884028752246119,32.805114831640225,1.298195171344306,9.884028752246119,0.0,88.97336819365661,0.0,,,,False,1.247068857995851,1.2998991758804535,-1.247068857995851,1.5838750680438523,1.0,2.0,2,30,6,2,0,0,38.36460270010866,319.70502250090556,648.7825999502093,14168,1588,1.5838750680438523,0,0.0,0,7,4.055732861574074,6.545421201388889,0.00179973500000008,2,0.2215568862275449,0.2215568862275449,19200.0,19800.0,11100.0,0.9392228530555555,3.7433316772222223,7.484644054444445,60,90,90,3,1,2,0,1,1,30,90,90,60,30,30,2031,-0.00015299166666666794,0.0011402250349834809,True
zuo_slow_30s_pair_2031,zuo_slow_30s,2031,instant_health,fc_only,32031,120,88.97336819365661,1.6885441111198694,52.69235645531822,,0.0041395649999999996,0.0041395649999999996,0.0,0.00014821666666666667,1.81502093401165e-140,0.0041395649999999996,0.00428778166666667,0.00428778166666667,0.0,2.0845903218490607,28.200556681987994,0.6504831503820909,2.0845903218490607,0.0,88.97336819365661,0.0,,,,False,0.9710327433138595,1.0276316099812384,-0.9710327433138595,1.3073690887257001,1.0,2.0,2,120,2,2,0,0,53.10541200265288,442.54510002210736,724.4060998782516,19992,2190,1.3073690887257001,0,0.0,0,5,4.0543588849074075,6.545100671388889,0.0021202649999998435,2,0.0,0.0,38400.0,11700.0,0.0,0.9373221530555556,3.7433316772222223,7.482422824444445,120,120,0,1,1,0,1,1,0,120,120,0,0,0,120,2031,-0.00014821666666667028,0.001104637642149147,True
zuo_fast_30s_pair_2031,zuo_fast_30s,2031,average,fc_only,32031,120,109.75157992750451,2.0871240590668396,52.585077274503185,,0.004382695,0.004382695,0.0,0.00016177916666666663,1.81502093401165e-140,0.004382695,0.004544474166666669,0.004544474166666669,0.0,5.533123691374397,49.05287646198309,0.6886881232119408,5.533123691374397,0.0,109.75157992750451,0.0,,,,False,3.1874869263772476,3.2279488661298235,-1.178700966705386,4.017571919343723,1.0,2.0,2,120,2,6,0,0,8.999152999836951,74.99294166530792,163.4839999023825,3192,248,4.017571919343723,0,0.0,0,6,4.054439928240741,6.5449820713888895,0.002244794999999744,2,0.0,0.0,30900.0,30900.0,0.0,0.9374407530555555,3.743456207222222,7.482422824444445,120,120,0,1,1,0,3,3,0,120,120,0,0,0,120,2031,-0.0001617791666666691,0.0012057170170843617,True
