load_source,load_seed,strategy,terminal_cv_assumption,gamma_scale_pct,cycle_repeats,actual_exposure_hours,continuous_mean_pct,discrete_damage_pct,discrete_fraction,total_mean_pct,total_std_pct,total_p05_pct,total_p50_pct,total_p95_pct
zuo_slow_30s,2032,instant_health,0.05,0.033544182501852184,30000,1000.0,5.9558749999980005,122.40794999999999,0.9536016085528919,128.35958506772107,0.442997415720317,127.641294630684,128.34872700961682,129.1126792692952
zuo_slow_30s,2033,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,120.53999999999999,0.9671052631579102,124.6423887915374,0.3705851838094247,124.04226177278305,124.63813034638471,125.26514598248706
zuo_slow_30s,2033,rotating,0.05,0.033544182501852184,30000,1000.0,3.445249999998,249.80175,0.9863956927426661,253.2491899383896,0.3396622557303028,252.7008224130107,253.24435399920662,253.82151777503205
zuo_slow_30s,2033,instant_health,0.05,0.033544182501852184,30000,1000.0,3.322999999998,120.53999999999999,0.9731719722596897,123.86515075763012,0.33357163729698597,123.3269789497466,123.86020109459005,124.4275447735519
zuo_slow_30s,2034,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,127.83389999999702,0.9689238323130132,131.93066375371234,0.3743080243494157,131.3424503511372,131.9179380567703,132.56229241766303
zuo_slow_30s,2034,rotating,0.05,0.033544182501852184,30000,1000.0,3.768,255.4149,0.985462003859051,259.1798068103459,0.3588298031797775,258.6167448578329,259.16713712407227,259.78604998735284
zuo_slow_30s,2034,instant_health,0.05,0.033544182501852184,30000,1000.0,3.711499999998,124.27589999999701,0.9710010516660379,127.98433177572498,0.35612876098278407,127.42565914147562,127.97167187213526,128.58614477086067
zuo_slow_30s,2035,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,127.83389999999702,0.9689238323130132,131.93548401302692,0.3678904242377941,131.35155772970853,131.92607069432125,132.55286491391178
zuo_slow_30s,2035,rotating,0.05,0.033544182501852184,30000,1000.0,4.7616249999989995,255.4149,0.981698483366249,260.1782456773534,0.39647509651062784,259.54745136843405,260.1689555983213,260.8422407342995
zuo_slow_30s,2035,instant_health,0.05,0.033544182501852184,30000,1000.0,4.640749999998,127.83389999999702,0.9649687694966683,132.4763464572668,0.3914086655367346,131.8538587185202,132.46703452431137,133.13207997002453
zuo_fast_30s,2026,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,127.8339,0.9689238323130138,131.935627734564,0.3706541079168661,131.35200741879655,131.92916658050495,132.5625239727279
zuo_fast_30s,2026,rotating,0.05,0.033544182501852184,30000,1000.0,4.357374999999,257.1939,0.9833402647339454,261.5530564527876,0.38211503326123575,260.95079981510503,261.54674091485634,262.1987764948951
zuo_fast_30s,2026,instant_health,0.05,0.033544182501852184,30000,1000.0,4.273249999998,127.8339,0.9676531512488304,132.10891407418114,0.3784071168006933,131.5126866715687,132.10255142368914,132.74854423355808
zuo_fast_30s,2027,average,0.05,0.033544182501852184,30000,1000.0,4.099999999998,131.48085,0.9697597411433985,135.57664098797102,0.37021316569856283,134.98856442700202,135.56535773095604,136.20921383518063
zuo_fast_30s,2027,rotating,0.05,0.033544182501852184,30000,1000.0,4.144749999999,314.2149,0.9869809192213931,318.3554183123338,0.3722260156729396,317.764029641846,318.34413409749664,318.99133656141896
zuo_fast_30s,2027,instant_health,0.05,0.033544182501852184,30000,1000.0,4.078999999998,127.92285,0.9690989179318467,131.99765167188727,0.3692648016023257,131.41113563876388,131.98636886645238,132.6286483039683
