block_id,policy,fleet_progress_budget,step,elapsed_s,timestamp,vehicle_target_power_kw,mapped_demand_kw,actual_total_power_kw,tracking_error_kw,stack_1_current_a,stack_1_power_kw,stack_1_h_before,stack_1_h_increment,stack_1_h_after,stack_2_current_a,stack_2_power_kw,stack_2_h_before,stack_2_h_increment,stack_2_h_after,stack_3_current_a,stack_3_power_kw,stack_3_h_before,stack_3_h_increment,stack_3_h_after
external_2026-04_s3,health_reserve_0.20,0.03,66,660,2026-04-11 07:52:02,40.0,69.96084550047084,67.76066441349498,-2.20018108697586,370.0,43.3042814661566,0.3017177357253638,0.00014524477049606896,0.30186298049585986,195.0,24.456382947338373,0.3623731733655451,8.202795677665826e-05,0.36245520132232173,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,67,670,2026-04-11 07:52:12,40.0,69.96084550047084,67.76043461036787,-2.2004108901029724,370.0,43.30408332091077,0.30186298049585986,0.00014524459848849514,0.3020082250943483,195.0,24.456351289457096,0.36245520132232173,8.20281287842321e-05,0.36253722945110595,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,68,680,2026-04-11 07:52:22,40.0,69.96084550047084,67.76020484021205,-2.2006406602587845,370.0,43.303885282786595,0.3020082250943483,0.00014524442676837435,0.3021534695211167,195.0,24.456319557425466,0.36253722945110595,8.202830050435292e-05,0.3626192577516103,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,69,690,2026-04-11 07:52:32,40.0,69.96084550047084,67.75997469385187,-2.2008708066189655,370.0,43.303686868528125,0.3021534695211167,0.00014524425459190072,0.3022987137757086,195.0,24.456287825323752,0.3626192577516103,8.202847268082652e-05,0.36270128622429115,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,70,700,2026-04-11 07:52:42,40.0,69.96084550047084,67.75974244379599,-2.201103056674853,370.0,43.30348635064421,0.3022987137757086,0.0001452440798677995,0.30244395785557643,195.0,24.45625609315178,0.36270128622429115,8.202864740492774e-05,0.36278331487169607,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,71,710,2026-04-11 07:52:52,40.0,69.96084550047084,67.75950950663596,-2.201335993834874,370.0,43.30328514572837,0.30244395785557643,0.00014524390431094297,0.30258920175988735,195.0,24.456224360907605,0.36278331487169607,8.20288229617843e-05,0.36286534369465784,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,72,720,2026-04-11 07:53:02,40.0,69.96084550047084,67.75927656958544,-2.2015689308854007,370.0,43.30308394099365,0.30258920175988735,0.00014524372875325222,0.3027344454886406,195.0,24.456192628591786,0.36286534369465784,8.202899851947504e-05,0.36294737269317734,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,73,730,2026-04-11 07:53:12,40.0,69.96084550047084,67.75904784572897,-2.201797654741867,370.0,43.30288694952457,0.3027344454886406,0.00014524355829509159,0.3028796890469357,195.0,24.4561608962044,0.36294737269317734,8.202916897763563e-05,0.363029401862155,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,74,740,2026-04-11 07:53:22,40.0,69.96084550047084,67.75881966002632,-2.20202584044452,370.0,43.30269049627891,0.3028796890469357,0.0001452433884875068,0.30302493243542317,195.0,24.45612916374741,0.363029401862155,8.202933878522047e-05,0.3631114312009402,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,health_reserve_0.20,0.03,75,750,2026-04-11 07:53:32,40.0,69.96084550047084,67.75858797855985,-2.202257521910994,370.0,43.30249054733877,0.30302493243542317,0.00014524321444698952,0.30317017564987014,195.0,24.456097431221078,0.3631114312009402,8.202951282573774e-05,0.36319346071376596,0.0,0.0,0.42,0.0,0.42
