i0_A_per_cm2,ih_A_per_cm2,R_ohm_cm2
1.9067899999999998e-07,0.002,0.04068
1.9067899999999998e-07,0.002,0.04068
1.9067899999999998e-07,0.002,0.04068
1.9067899999999998e-07,0.002,0.04068
1.9067899999999998e-07,0.002,0.04068
1.9067899999999998e-07,0.002,0.04068
1.9067799999999998e-07,0.002,0.04068
1.9067799999999998e-07,0.002,0.04068
1.9067799999999998e-07,0.002,0.04068
1.9067799999999998e-07,0.002,0.04068
1.9067799999999998e-07,0.002,0.04068
1.9067799999999998e-07,0.002,0.04068
1.9067799999999998e-07,0.002,0.04068
1.90677e-07,0.002,0.04068
1.90677e-07,0.002,0.04068
1.90677e-07,0.002,0.04068
1.90677e-07,0.002,0.04068
1.90677e-07,0.002,0.04068
1.9067599999999998e-07,0.002,0.04069
1.9067599999999998e-07,0.00201,0.04069
1.9067599999999998e-07,0.00201,0.04069
1.9067499999999998e-07,0.00201,0.04069
1.90674e-07,0.00201,0.0407
1.90674e-07,0.00201,0.0407
1.90674e-07,0.00201,0.0407
1.90674e-07,0.00201,0.0407
1.90674e-07,0.00201,0.0407
1.90673e-07,0.00201,0.0407
1.90673e-07,0.00201,0.0407
1.90674e-07,0.002,0.0407
1.9067099999999997e-07,0.002,0.04071
1.9067e-07,0.002,0.04072
1.9067e-07,0.002,0.04072
1.9067e-07,0.002,0.04072
1.9067e-07,0.002,0.04072
1.9067e-07,0.002,0.04072
1.9067e-07,0.002,0.04072
1.9067e-07,0.002,0.04072
1.9067e-07,0.002,0.04072
1.90669e-07,0.002,0.04072
1.90669e-07,0.00201,0.04072
1.90669e-07,0.00201,0.04072
1.90669e-07,0.00201,0.04072
1.90669e-07,0.00201,0.04072
1.90669e-07,0.00201,0.04072
1.90669e-07,0.00201,0.04072
1.90668e-07,0.00201,0.04072
1.90668e-07,0.00201,0.04072
1.90668e-07,0.00201,0.04072
1.90667e-07,0.00201,0.04073
1.90667e-07,0.00201,0.04073
1.90666e-07,0.00201,0.04074
1.90667e-07,0.00201,0.04073
1.90666e-07,0.00201,0.04073
1.90666e-07,0.00201,0.04073
1.90667e-07,0.00201,0.04073
1.90666e-07,0.00201,0.04073
1.90666e-07,0.00201,0.04073
1.90666e-07,0.00201,0.04073
1.90667e-07,0.00201,0.04073
1.90667e-07,0.00201,0.04073
1.90667e-07,0.00201,0.04073
1.90666e-07,0.00201,0.04073
1.90665e-07,0.00201,0.04073
1.90666e-07,0.00201,0.04073
1.90663e-07,0.00201,0.04075
1.90662e-07,0.00201,0.04075
1.90662e-07,0.00201,0.04075
1.90663e-07,0.00201,0.04075
1.90663e-07,0.00201,0.04075
1.90662e-07,0.00201,0.04075
1.90662e-07,0.00201,0.04075
1.90662e-07,0.00201,0.04075
1.90661e-07,0.00201,0.04075
1.90661e-07,0.00201,0.04075
1.90661e-07,0.00201,0.04075
1.90661e-07,0.00201,0.04075
1.9066e-07,0.00201,0.04076
1.9066e-07,0.00201,0.04076
1.9066e-07,0.00201,0.04076
1.9066e-07,0.00201,0.04076
1.9066e-07,0.00201,0.04076
1.9066e-07,0.00201,0.04076
1.9066e-07,0.00201,0.04076
1.9066e-07,0.00201,0.04075
1.9066e-07,0.00201,0.04075
1.90661e-07,0.00201,0.04075
1.90661e-07,0.00201,0.04075
1.9066e-07,0.00201,0.04075
1.9066e-07,0.00201,0.04075
1.90661e-07,0.00201,0.04075
1.9066e-07,0.00201,0.04075
1.90661e-07,0.00201,0.04075
1.90661e-07,0.00201,0.04075
1.9066e-07,0.00201,0.04075
1.9066e-07,0.00201,0.04075
1.9066e-07,0.00201,0.04075
1.9066e-07,0.00201,0.04075
1.90659e-07,0.00201,0.04075
1.90659e-07,0.00201,0.04075
1.90659e-07,0.00201,0.04075
1.90659e-07,0.00201,0.04076
1.90659e-07,0.00201,0.04076
1.90659e-07,0.00201,0.04076
1.90659e-07,0.00201,0.04076
1.90659e-07,0.00201,0.04076
1.90659e-07,0.00201,0.04076
1.90659e-07,0.00201,0.04076
1.90659e-07,0.00201,0.04076
1.9065799999999999e-07,0.00201,0.04076
1.9065799999999999e-07,0.00201,0.04076
1.90659e-07,0.00201,0.04076
1.9065499999999998e-07,0.00201,0.04077
1.9065499999999998e-07,0.00201,0.04078
1.9065499999999998e-07,0.00201,0.04078
1.9065499999999998e-07,0.00201,0.04078
1.9065399999999998e-07,0.00201,0.04078
1.9065499999999998e-07,0.00201,0.04077
1.9065499999999998e-07,0.00201,0.04077
1.9065499999999998e-07,0.00201,0.04077
1.9065399999999998e-07,0.00201,0.04077
1.9065399999999998e-07,0.00201,0.04078
1.9065399999999998e-07,0.00201,0.04078
1.9065399999999998e-07,0.00201,0.04078
1.90653e-07,0.00201,0.04078
1.90653e-07,0.00201,0.04078
1.90653e-07,0.00201,0.04078
1.90653e-07,0.00201,0.04078
1.90653e-07,0.00201,0.04078
1.90653e-07,0.00201,0.04078
1.90653e-07,0.00201,0.04078
1.90653e-07,0.00201,0.04078
1.9065199999999998e-07,0.00201,0.04078
1.9065199999999998e-07,0.00201,0.04078
1.9065199999999998e-07,0.00201,0.04078
1.9065199999999998e-07,0.00201,0.04078
1.9065099999999998e-07,0.00201,0.04078
1.9065e-07,0.00201,0.04079
1.9065099999999998e-07,0.00201,0.04078
1.9065099999999998e-07,0.00201,0.04078
1.9065099999999998e-07,0.00201,0.04078
1.9065099999999998e-07,0.00201,0.04078
1.9065e-07,0.00201,0.04078
1.9065e-07,0.00201,0.04078
1.9065e-07,0.00201,0.04078
1.9065e-07,0.00202,0.04078
1.90649e-07,0.00202,0.04079
1.90649e-07,0.00202,0.04079
1.90649e-07,0.00202,0.04079
1.9064799999999997e-07,0.00202,0.04079
1.90649e-07,0.00202,0.04079
1.90649e-07,0.00202,0.04079
1.9064799999999997e-07,0.00202,0.04079
1.90649e-07,0.00202,0.04079
1.90649e-07,0.00202,0.04079
1.90649e-07,0.00202,0.04079
1.90649e-07,0.00202,0.04079
1.9064799999999997e-07,0.00202,0.04079
1.9064799999999997e-07,0.00202,0.04079
1.90647e-07,0.00202,0.04079
1.90646e-07,0.00202,0.04079
1.90646e-07,0.00202,0.04079
1.90645e-07,0.00202,0.0408
1.90646e-07,0.00202,0.0408
1.90645e-07,0.00202,0.0408
1.90645e-07,0.00202,0.0408
1.90645e-07,0.00202,0.0408
1.90645e-07,0.00202,0.0408
1.90645e-07,0.00202,0.0408
1.9064399999999997e-07,0.00202,0.0408
1.9064399999999997e-07,0.00202,0.0408
1.9064399999999997e-07,0.00202,0.0408
1.90642e-07,0.00202,0.04081
1.90642e-07,0.00202,0.04081
1.90642e-07,0.00202,0.04081
1.90642e-07,0.00202,0.04081
1.90641e-07,0.00202,0.04081
1.90641e-07,0.00202,0.04081
1.90642e-07,0.00202,0.04081
1.90641e-07,0.00202,0.04081
1.90641e-07,0.00202,0.04081
1.90641e-07,0.00202,0.04081
1.9064e-07,0.00202,0.04081
1.9064e-07,0.00202,0.04081
1.90639e-07,0.00203,0.04081
1.90636e-07,0.00203,0.04083
1.9063499999999999e-07,0.00203,0.04084
1.9063499999999999e-07,0.00203,0.04083
1.9063499999999999e-07,0.00203,0.04083
1.9063499999999999e-07,0.00203,0.04084
1.9063499999999999e-07,0.00203,0.04084
1.9063499999999999e-07,0.00203,0.04084
1.9063399999999999e-07,0.00203,0.04084
1.90633e-07,0.00203,0.04084
1.9063399999999999e-07,0.00203,0.04084
1.9063399999999999e-07,0.00203,0.04084
1.9063199999999998e-07,0.00203,0.04085
1.9063199999999998e-07,0.00203,0.04085
1.9063199999999998e-07,0.00203,0.04085
1.9063099999999998e-07,0.00203,0.04085
1.9063099999999998e-07,0.00203,0.04085
1.9063099999999998e-07,0.00203,0.04086
1.9063e-07,0.00203,0.04086
1.9063099999999998e-07,0.00203,0.04086
1.9063099999999998e-07,0.00203,0.04086
1.9063e-07,0.00203,0.04086
1.9063e-07,0.00203,0.04087
1.9063e-07,0.00203,0.04086
1.90629e-07,0.00203,0.04087
1.9063e-07,0.00203,0.04086
1.9063e-07,0.00203,0.04086
1.90629e-07,0.00203,0.04086
1.90629e-07,0.00203,0.04086
1.90629e-07,0.00203,0.04087
1.90629e-07,0.00203,0.04087
1.9062799999999998e-07,0.00203,0.04087
1.9062799999999998e-07,0.00203,0.04087
1.9062799999999998e-07,0.00203,0.04087
1.9062699999999998e-07,0.00203,0.04087
1.9062699999999998e-07,0.00203,0.04087
1.90626e-07,0.00203,0.04087
1.90625e-07,0.00203,0.04088
1.90625e-07,0.00203,0.04088
1.90625e-07,0.00203,0.04088
1.90625e-07,0.00203,0.04088
1.90625e-07,0.00203,0.04088
1.90625e-07,0.00203,0.04088
1.9062399999999997e-07,0.00203,0.04088
1.9062399999999997e-07,0.00203,0.04088
1.9062399999999997e-07,0.00203,0.04088
1.90623e-07,0.00203,0.04088
1.90623e-07,0.00203,0.04088
1.90623e-07,0.00203,0.04088
1.90623e-07,0.00203,0.04088
1.90623e-07,0.00203,0.04088
1.90623e-07,0.00203,0.04088
1.90622e-07,0.00203,0.04088
1.90622e-07,0.00204,0.04088
1.90623e-07,0.00204,0.04088
1.90622e-07,0.00204,0.04089
1.90622e-07,0.00204,0.04089
1.90622e-07,0.00204,0.04089
1.90622e-07,0.00204,0.04089
1.90621e-07,0.00204,0.04089
1.90621e-07,0.00204,0.04089
1.90621e-07,0.00204,0.04089
1.90621e-07,0.00204,0.04089
1.90621e-07,0.00204,0.04089
1.90621e-07,0.00204,0.04089
1.9061999999999997e-07,0.00204,0.04089
1.9061999999999997e-07,0.00204,0.04089
1.90619e-07,0.00204,0.04089
1.90619e-07,0.00204,0.04089
1.90619e-07,0.00204,0.0409
1.90618e-07,0.00204,0.0409
1.90618e-07,0.00204,0.0409
1.90618e-07,0.00204,0.0409
1.90618e-07,0.00204,0.0409
1.90617e-07,0.00204,0.0409
1.90617e-07,0.00204,0.0409
1.90618e-07,0.00204,0.0409
1.90617e-07,0.00204,0.04091
1.90617e-07,0.00204,0.04091
1.90617e-07,0.00204,0.04091
1.90617e-07,0.00204,0.0409
1.90617e-07,0.00204,0.0409
1.90617e-07,0.00204,0.0409
1.90617e-07,0.00204,0.0409
1.90617e-07,0.00204,0.04091
1.90616e-07,0.00204,0.04091
1.90616e-07,0.00204,0.04091
1.90615e-07,0.00204,0.04091
1.90615e-07,0.00204,0.04091
1.90615e-07,0.00204,0.04091
1.90615e-07,0.00204,0.04091
1.90615e-07,0.00204,0.04091
1.90614e-07,0.00204,0.04091
1.90614e-07,0.00204,0.04091
1.90614e-07,0.00204,0.04091
1.90614e-07,0.00204,0.04091
1.90614e-07,0.00204,0.04091
1.90614e-07,0.00204,0.04091
1.90615e-07,0.00204,0.04091
1.90614e-07,0.00204,0.04091
1.90614e-07,0.00204,0.04091
1.90614e-07,0.00204,0.04091
1.9061300000000001e-07,0.00204,0.04091
1.9061300000000001e-07,0.00204,0.04091
1.9061300000000001e-07,0.00204,0.04092
1.9061199999999999e-07,0.00204,0.04092
1.9061099999999999e-07,0.00205,0.04092
1.9061199999999999e-07,0.00205,0.04092
