i0_A_per_cm2,ih_A_per_cm2,R_ohm_cm2
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90688e-07,0.002,0.04065
1.90687e-07,0.002,0.04066
1.90687e-07,0.002,0.04066
1.90687e-07,0.002,0.04066
1.90687e-07,0.002,0.04066
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04065
1.90687e-07,0.002,0.04066
1.90687e-07,0.002,0.04066
1.90687e-07,0.002,0.04066
1.90687e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90686e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90685e-07,0.002,0.04066
1.90684e-07,0.002,0.04066
1.90684e-07,0.002,0.04066
1.90683e-07,0.002,0.04066
1.90684e-07,0.002,0.04066
1.90684e-07,0.002,0.04066
1.90684e-07,0.002,0.04066
1.90684e-07,0.002,0.04066
1.90683e-07,0.002,0.04066
1.90683e-07,0.002,0.04066
1.90683e-07,0.002,0.04066
1.90683e-07,0.002,0.04066
1.9068199999999999e-07,0.002,0.04067
1.9068199999999999e-07,0.002,0.04067
1.9068199999999999e-07,0.002,0.04067
1.9068199999999999e-07,0.002,0.04067
1.9068199999999999e-07,0.002,0.04067
1.9068199999999999e-07,0.002,0.04067
1.9068199999999999e-07,0.002,0.04067
1.9068099999999999e-07,0.002,0.04067
1.9068099999999999e-07,0.002,0.04067
1.9068099999999999e-07,0.002,0.04067
1.9068099999999999e-07,0.002,0.04067
1.9067999999999998e-07,0.002,0.04067
1.9068099999999999e-07,0.002,0.04067
1.9068099999999999e-07,0.002,0.04067
1.9068099999999999e-07,0.002,0.04067
1.9068099999999999e-07,0.002,0.04067
1.9067999999999998e-07,0.002,0.04067
1.9067999999999998e-07,0.002,0.04067
1.9067999999999998e-07,0.002,0.04067
