event_id,canonical_row_6104,original_index,raw_event_start_index_1based,source_segment_row_1based,source_file,event_class_code,current_A,previous_current_A,next_current_A,voltage_V,voltage_as_input_allowed,temperature_C,h2_pressure,air_pressure,I_step_A,abs_I_step_A,qt_num_cum,bz_num_cum,time_0A_cum,time_25A_cum,time_90A_cum,time_120A_cum,time_160A_cum,time_195A_cum,time_270A_cum,time_370A_cum,i0,ih,R_ohm,deleted_3700_3900_flag,deletion_boundary_after_flag,valid_for_theta_alignment,model_input_01_h2_pressure,model_input_02_h2_pressure,model_input_03_o2_pressure,model_input_04_o2_pressure,model_input_05_stack_temperature,model_input_06_stack_temperature,model_input_07_o2_temperature,model_input_08_o2_temperature,model_input_09_h2_temperature,model_input_10_h2_temperature
LZW-E000040,40,40,70395,7,论文代码/电堆数据/工况数据提取/data_mark.mat,2,24.961666666666662,119.95833333333334,0.0,140.0,False,45.09166666666667,120.42833333333333,109.16083333333333,-25.0,25.0,11.0,29.0,318.0,967.0,6387.0,4791.0,4478.0,23758.0,8518.0,985.0,1.907e-07,0.002,0.0406,False,False,True,123.04333333333334,117.81333333333332,113.63166666666667,104.69,44.73166666666667,45.45166666666667,51.34333333333334,52.905,51.94333333333334,48.2
LZW-E000041,41,41,70562,7,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,24.961666666666662,0.0,163.0,False,45.2,120.6,102.95,0.0,0.0,12.0,29.0,359.0,967.0,6387.0,4791.0,4478.0,23758.0,8518.0,985.0,1.907e-07,0.002,0.0406,False,False,True,123.5,117.7,105.2,100.7,45.0,45.4,49.3,50.8,50.5,46.8
LZW-E000042,42,42,75835,8,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,0.0,160.125,166.0,False,32.05,121.9,112.4,159.9,159.9,13.0,29.0,388.0,967.0,6387.0,4791.0,4478.0,23758.0,8518.0,985.0,1.907e-07,0.002,0.0406,False,False,True,124.3,119.5,117.4,107.4,31.2,32.9,38.5,39.7,41.1,37.1
LZW-E000043,43,43,75898,8,论文代码/电堆数据/工况数据提取/data_mark.mat,3,160.125,0.0,269.9533333333333,126.96666666666668,False,58.24583333333334,128.69583333333335,115.11583333333334,109.99999999999996,109.99999999999996,13.0,30.0,388.0,967.0,6387.0,4791.0,5041.0,23758.0,8518.0,985.0,1.907e-07,0.002,0.0406,False,False,True,131.68833333333333,125.70333333333336,122.04500000000002,108.18666666666668,57.08500000000001,59.40666666666666,51.65,57.575,52.08500000000001,55.14166666666667
LZW-E000044,44,44,76515,8,论文代码/电堆数据/工况数据提取/data_mark.mat,3,269.9533333333333,160.125,194.95,120.0,False,72.19166666666666,139.12666666666667,123.38833333333334,-74.09999999999997,74.09999999999997,13.0,31.0,388.0,967.0,6387.0,4791.0,5041.0,23758.0,10301.0,985.0,1.907e-07,0.002,0.0406,False,False,True,140.80666666666667,137.44666666666666,131.22333333333333,115.55333333333334,70.13333333333331,74.25,70.175,73.66000000000001,65.15833333333335,69.73166666666667
LZW-E000045,45,45,78595,8,论文代码/电堆数据/工况数据提取/data_mark.mat,3,194.95,269.9533333333333,90.12333333333336,123.35,False,69.43416666666667,130.91833333333332,116.26249999999999,-105.8,105.8,13.0,32.0,388.0,967.0,6387.0,4791.0,5041.0,26358.0,10301.0,985.0,1.907e-07,0.002,0.0406,False,False,True,132.13333333333333,129.70333333333332,122.83166666666668,109.69333333333331,67.78666666666668,71.08166666666666,67.13999999999999,70.12666666666665,64.11333333333333,67.00500000000001
LZW-E000046,46,46,81213,8,论文代码/电堆数据/工况数据提取/data_mark.mat,2,90.12333333333336,194.95,194.95666666666668,131.01666666666668,False,58.56083333333332,121.48999999999998,109.54583333333335,104.8,104.8,13.0,33.0,388.0,967.0,7072.0,4791.0,5041.0,26358.0,10301.0,985.0,1.907e-07,0.002,0.0406,False,False,True,124.23666666666664,118.74333333333334,114.82166666666669,104.27000000000002,57.68333333333333,59.43833333333332,57.443333333333314,59.84333333333333,58.04999999999999,57.833333333333336
LZW-E000047,47,47,81953,8,论文代码/电堆数据/工况数据提取/data_mark.mat,3,194.95666666666668,90.12333333333336,119.97333333333334,123.0,False,69.11833333333333,130.74666666666664,116.25666666666665,-74.80000000000001,74.80000000000001,13.0,34.0,388.0,967.0,7072.0,4791.0,5041.0,31895.0,10301.0,985.0,1.907e-07,0.002,0.0406,False,False,True,131.98166666666663,129.51166666666666,122.74666666666666,109.76666666666664,67.39333333333333,70.84333333333332,67.05666666666667,70.155,63.71166666666667,67.00333333333334
LZW-E000048,48,48,84904,8,论文代码/电堆数据/工况数据提取/data_mark.mat,3,119.97333333333334,194.95666666666668,24.945,128.0,False,64.42750000000001,123.99000000000001,110.73416666666665,-95.1,95.1,13.0,35.0,388.0,967.0,7072.0,5956.0,5041.0,31895.0,10301.0,985.0,1.907e-07,0.002,0.0406,False,False,True,125.08333333333336,122.89666666666668,115.90166666666669,105.56666666666663,63.43,65.42500000000001,62.24166666666665,64.81333333333332,60.96000000000001,62.641666666666666
LZW-E000049,49,49,86078,8,论文代码/电堆数据/工况数据提取/data_mark.mat,2,24.945,119.97333333333334,0.0,140.0,False,44.397499999999994,120.26750000000001,109.13833333333332,-24.9,24.9,13.0,36.0,388.0,1138.0,7072.0,5956.0,5041.0,31895.0,10301.0,985.0,1.907e-07,0.002,0.0406,False,False,True,122.90000000000002,117.635,113.48666666666668,104.78999999999998,44.01166666666666,44.78333333333333,51.15333333333333,52.86333333333332,52.21333333333333,47.79666666666666
