health_state,current_A,current_density_A_cm2,V_healthy_cell_V,V_aged_cell_V,D_raw_V_per_cell,D_raw_mV_per_cell,D_clipped_V_per_cell,D_clipped_mV_per_cell,equivalent_stack_power_loss_raw_W,equivalent_stack_power_loss_clipped_W,equivalent_energy_loss_raw_Wh_per_1s,equivalent_energy_loss_clipped_Wh_per_1s,normalized_cost_0_1,normalized_energy_cost_0_1,normalization_reference,energy_reference_step_s
middle,120.0,0.2955665024630542,0.7663693217602178,0.7632638269599717,0.0031054948002460225,3.1054948002460225,0.0031054948002460225,3.1054948002460225,63.35209392501886,63.35209392501886,0.017597803868060796,0.017597803868060796,0.13798087309188095,0.044750553435204635,global max clipped mV and global max clipped equivalent power,1.0
middle,160.0,0.39408866995073893,0.7527606896267157,0.748835002744426,0.0039256868822896696,3.9256868822896696,0.0039256868822896696,3.9256868822896696,106.77868319827901,106.77868319827901,0.02966074533285528,0.02966074533285528,0.17442299483507773,0.07542615992868226,global max clipped mV and global max clipped equivalent power,1.0
middle,195.0,0.4802955665024631,0.7422279145549312,0.7375746847705232,0.004653229784407964,4.653229784407964,0.004653229784407964,4.653229784407964,154.254567353124,154.254567353124,0.04284849093142334,0.04284849093142334,0.20674860196155892,0.10896210103379457,global max clipped mV and global max clipped equivalent power,1.0
middle,270.0,0.6650246305418719,0.721782519444189,0.7155546669720217,0.0062278524721672834,6.227852472167283,0.0062278524721672834,6.227852472167283,285.8584284724783,285.8584284724783,0.07940511902013286,0.07940511902013286,0.27671098387573984,0.2019242314768912,global max clipped mV and global max clipped equivalent power,1.0
middle,370.0,0.9113300492610837,0.6951594346231205,0.6868058527769644,0.008353581846156088,8.35358184615609,0.008353581846156088,8.35358184615609,525.440298123218,525.440298123218,0.14595563836756056,0.14595563836756056,0.37115969940950805,0.37115969940950805,global max clipped mV and global max clipped equivalent power,1.0
late,0.0,0.0,0.9249917395264975,0.9060952498103315,0.018896489716165976,18.896489716165977,0.018896489716165976,18.896489716165977,0.0,0.0,0.0,0.0,0.839593790078725,0.0,global max clipped mV and global max clipped equivalent power,1.0
late,25.0,0.06157635467980296,0.8228719433166393,0.8191249692804735,0.003746974036165751,3.746974036165751,0.003746974036165751,3.746974036165751,15.924639653704443,15.924639653704443,0.004423511014917901,0.004423511014917901,0.1664825679057009,0.011248822155790601,global max clipped mV and global max clipped equivalent power,1.0
late,90.0,0.22167487684729065,0.7785070332374525,0.7716295584398624,0.006877474797590155,6.877474797590155,0.006877474797590155,6.877474797590155,105.22536440312938,105.22536440312938,0.02922926788975816,0.02922926788975816,0.30557448596072956,0.07432892901747476,global max clipped mV and global max clipped equivalent power,1.0
late,120.0,0.2955665024630542,0.7663693217602178,0.7578562626076734,0.008513059152544411,8.513059152544411,0.008513059152544411,8.513059152544411,173.66640671190598,173.66640671190598,0.048240668531084996,0.048240668531084996,0.3782454681482156,0.12267420588590774,global max clipped mV and global max clipped equivalent power,1.0
late,160.0,0.39408866995073893,0.7527606896267157,0.7420360119027904,0.010724677723925269,10.724677723925268,0.010724677723925269,10.724677723925268,291.71123409076733,291.71123409076733,0.08103089835854649,0.08103089835854649,0.4765103441355055,0.20605852719373213,global max clipped mV and global max clipped equivalent power,1.0
late,195.0,0.4802955665024631,0.7422279145549312,0.7295542235544734,0.012673691000457787,12.673691000457787,0.012673691000457787,12.673691000457787,420.13285666517567,420.13285666517567,0.11670357129588213,0.11670357129588213,0.5631073506873502,0.29677279292981973,global max clipped mV and global max clipped equivalent power,1.0
late,270.0,0.6650246305418719,0.721782519444189,0.7049104778595876,0.016872041584601427,16.872041584601426,0.016872041584601427,16.872041584601426,774.4267087332055,774.4267087332055,0.2151185302036682,0.2151185302036682,0.7496451220917832,0.5470383323372472,global max clipped mV and global max clipped equivalent power,1.0
late,370.0,0.9113300492610837,0.6951594346231205,0.6726527296671511,0.022506704955969403,22.506704955969404,0.022506704955969403,22.506704955969404,1415.6717417304756,1415.6717417304756,0.39324215048068767,0.39324215048068767,1.0,1.0,global max clipped mV and global max clipped equivalent power,1.0
