scenario,load_source,load_seed,strategy,power_interface,health_seed,n_steps,hydrogen_g,fc_energy_kwh,hydrogen_g_per_fc_kwh,hydrogen_soc_corrected_g,sampled_damage_increment_pct,main_sampled_damage_increment_pct,recovery_sampled_damage_increment_pct,main_expected_continuous_damage_pct,main_sampled_continuous_damage_pct,main_discrete_damage_pct,main_ramp_damage_pct,main_shift_damage_pct,main_start_stop_damage_pct,expected_damage_increment_pct,main_expected_damage_increment_pct,recovery_expected_damage_increment_pct,performance_loss_sum,objective_total_sum,objective_degradation_increment_sum,main_performance_loss_sum,recovery_performance_loss_sum,main_hydrogen_g,recovery_hydrogen_g,battery_throughput_kwh,soc_final,soc_error,soc_metrics_applicable,fc_tracking_mae_kw,fc_tracking_rmse_kw,fc_tracking_bias_kw,fc_tracking_max_abs_kw,fc_tracking_within_tolerance_share,online_stack_count_mean,online_stack_count_max,online_step_range,total_switch_count,total_load_shift_count,constraint_violation_steps,safety_override_steps,planning_runtime_s,planning_runtime_mean_ms,planning_runtime_max_ms,planning_expanded_nodes,planning_feasible_candidates,max_power_balance_error_kw,clipped_points,clipped_share,soc_recovery_steps,health_changed_steps,final_damage_mean_pct,final_damage_range_pct,damage_increment_range_pct,aged_stack_index,aged_stack_current_share,main_aged_stack_current_share,stack_0_current_a_step,stack_1_current_a_step,stack_2_current_a_step,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,stack_0_main_continuous_damage_pct,stack_1_main_continuous_damage_pct,stack_2_main_continuous_damage_pct,stack_0_main_shift_damage_pct,stack_1_main_shift_damage_pct,stack_2_main_shift_damage_pct,stack_0_main_start_stop_damage_pct,stack_1_main_start_stop_damage_pct,stack_2_main_start_stop_damage_pct,stack_0_online_steps,stack_1_online_steps,stack_2_online_steps,stack_0_switch_count,stack_1_switch_count,stack_2_switch_count,stack_0_load_shift_count,stack_1_load_shift_count,stack_2_load_shift_count,stack_0_max_consecutive_online_steps,stack_1_max_consecutive_online_steps,stack_2_max_consecutive_online_steps,stack_0_max_consecutive_off_steps,stack_1_max_consecutive_off_steps,stack_2_max_consecutive_off_steps
zuo_fast_30s_seed_2027,zuo_fast_30s,2027,rotating,fc_only,12027,120,79.64981164641713,1.5207540821298948,52.375208182813786,,0.010611988333333332,0.010611988333333332,0.0,0.00013815833333333334,0.00013815833333333317,0.01047383,0.0,0.00018383,0.01029,0.010611988333333332,0.010611988333333332,0.0,6.09803117226073,28.18888064825763,1.6675470980367897,6.09803117226073,0.0,79.64981164641713,0.0,,,,False,0.9606815825104003,1.1674141089770564,-0.9606815825104003,1.8258243761071355,1.0,2.0,2,30,8,3,0,0,42.971914200345054,358.0992850028755,833.0304999835789,13944,1944,1.8258243761071355,0,0.0,0,120,4.05651635935185,6.547420304722216,0.002113328333330333,2,0.1806020066889632,0.1806020066889632,22800.0,13950.0,8100.0,0.9393444030555569,3.7434399672222205,7.486764707777773,6.225e-05,4.6025e-05,2.988333333333334e-05,5.93e-05,0.00012453,0.0,0.00392,0.002058,0.004312,90,90,60,3,1,4,1,2,0,60,90,30,30,30,30
zuo_fast_30s_seed_2027,zuo_fast_30s,2027,instant_health,fc_only,12027,120,79.64981164641713,1.5260825141251746,52.19233620016695,,0.00440006166666667,0.00440006166666667,0.0,0.00013596666666666665,0.00013596666666666684,0.004264095,0.0,0.000246095,0.004018,0.00440006166666667,0.00440006166666667,0.0,1.581363779776501,24.978876791279358,0.6914170872564649,1.581363779776501,0.0,79.64981164641713,0.0,,,,False,0.8238948979408779,0.9776775530557614,-0.8008286226520156,1.3073706830900846,1.0,2.0,2,120,2,4,0,0,42.53027999890037,354.4189999908364,846.0014001466334,14392,1972,1.3073706830900846,0,0.0,0,120,4.0544457171296315,6.545021754722221,0.002301845000003855,2,0.0,0.0,35400.0,9450.0,0.0,0.9374010697222237,3.7435132572222263,7.482422824444445,7.891666666666667e-05,5.705000000000001e-05,0.0,5.93e-05,0.00018679500000000002,0.0,0.00196,0.002058,0.0,120,120,0,1,1,0,1,3,0,120,120,0,0,0,120
empirical_1s_seed_2028,empirical_1s,2028,average,fc_only,12028,120,52.21191666454098,1.0607031004983076,49.223874843028504,,0.004397796666666669,0.004397796666666669,0.0,0.0001366666666666666,0.0001366666666666668,0.004261129999999999,0.0,0.00024312999999999998,0.004018,0.004397796666666669,0.004397796666666669,0.0,1.2668678795650754,34.262330381427255,0.6910611695850155,1.2668678795650754,0.0,52.21191666454098,0.0,,,,False,3.1015781800924755,3.140550248381168,-3.0718786784105947,3.1931702631955474,1.0,2.0,2,120,2,4,0,1,13.455712801078334,112.13094000898612,196.27700001001358,4393,298,3.1931702631955474,0,0.0,0,120,4.054444962129625,6.544974704722222,0.002252529999983377,2,0.0,0.0,14700.0,14700.0,0.0,0.9374481197222226,3.743463942222206,7.482422824444445,6.666666666666667e-05,7.000000000000001e-05,0.0,0.0001186,0.00012453,0.0,0.00196,0.002058,0.0,120,120,0,1,1,0,2,2,0,120,120,0,0,0,120
empirical_1s_seed_2028,empirical_1s,2028,rotating,fc_only,12028,120,58.65849004863229,1.1271953994250876,52.039327057713635,,0.008573657222222222,0.008573657222222222,0.0,0.00011943722222222223,0.00011943722222222248,0.00845422,0.0,0.00032021999999999997,0.008133999999999999,0.008573657222222222,0.008573657222222222,0.0,5.862593772969602,26.25167163750067,1.3472477326016814,5.862593772969602,0.0,58.65849004863229,0.0,,,,False,1.4398292284135177,1.4632488154542795,-1.0771097106072025,1.8255795038163853,1.0,2.0,2,73,6,5,0,0,31.48908270080574,262.4090225067145,764.300299808383,10296,1674,1.8255795038163853,0,0.0,0,120,4.055836915648143,6.5455814730555435,0.0017261777777795029,2,0.30154405086285196,0.30154405086285196,12690.0,10380.0,9960.0,0.9392489641666668,3.743431345555554,7.48483043722221,2.611111111111111e-05,3.7403333333333335e-05,5.592277777777779e-05,0.0,0.00012453,0.00019569,0.00392,0.002058,0.002156,47,73,120,3,2,1,0,2,3,30,73,120,73,30,0
empirical_1s_seed_2028,empirical_1s,2028,instant_health,fc_only,12028,120,58.65849004863229,1.1333262103223478,51.75781651775994,,0.004375997500000003,0.004375997500000003,0.0,0.0001148675,0.00011486750000000017,0.00426113,0.0,0.00024313,0.004018,0.004375997500000003,0.004375997500000003,0.0,0.6657865896041949,23.272355772620216,0.6876356911569584,0.6657865896041949,0.0,58.65849004863229,0.0,,,,False,1.3075552701269408,1.3330375415384224,-0.893185383689394,1.6451778941311161,1.0,2.0,2,120,2,4,0,0,48.72323560039513,406.02696333662607,1035.6010999530554,16232,2584,1.6451778941311161,0,0.0,0,120,4.054437695740748,6.544974704722222,0.0022307308333515685,2,0.0,0.0,30750.0,2280.0,0.0,0.9374481197222226,3.743442143055574,7.482422824444445,6.666666666666667e-05,4.8200833333333334e-05,0.0,0.0001186,0.00012453,0.0,0.00196,0.002058,0.0,120,120,0,1,1,0,2,2,0,120,120,0,0,0,120
zuo_slow_30s_seed_2028,zuo_slow_30s,2028,average,fc_only,12028,120,85.77672023460303,1.65543303942098,51.81527624011003,,0.004422909166666669,0.004422909166666669,0.0,0.00016177916666666666,0.00016177916666666682,0.004261129999999999,0.0,0.00024312999999999998,0.004018,0.004422909166666669,0.004422909166666669,0.0,3.846509890993882,39.90373542034479,0.69500729873481,3.846509890993882,0.0,85.77672023460303,0.0,,,,False,2.7123459649553303,3.0303408108311647,-0.4808201794268181,4.01756152989708,1.0,2.0,2,120,2,4,0,0,12.023688899585977,100.1974074965498,236.95709998719394,3864,276,4.01756152989708,0,0.0,0,120,4.054453332962958,6.544962454722221,0.002265392499982255,2,0.0,0.0,24150.0,24150.0,0.0,0.9374603697222237,3.7434768047222047,7.482422824444445,7.891666666666667e-05,8.286250000000002e-05,0.0,0.0001186,0.00012453,0.0,0.00196,0.002058,0.0,120,120,0,1,1,0,2,2,0,120,120,0,0,0,120
zuo_slow_30s_seed_2028,zuo_slow_30s,2028,rotating,fc_only,12028,120,88.97336819365657,1.6723907858817433,53.201302557252895,,0.00848055,0.00848055,0.0,0.000153825,0.00015382499999999998,0.008326725,0.0,0.00019272499999999998,0.008133999999999999,0.00848055,0.00848055,0.0,12.626865455176691,36.280362893762124,1.3326170457458315,12.626865455176691,0.0,88.97336819365657,0.0,,,,False,1.6487469099261405,1.9567135512199763,0.027912214396082824,3.3533223658807003,1.0,2.0,2,60,6,3,0,0,44.26649120054208,368.88742667118396,1064.6408000029624,14056,1798,3.3533223658807003,0,0.0,0,120,4.055805879907401,6.545514089722207,0.0018103183333426642,2,0.38323353293413176,0.38323353293413176,19200.0,11700.0,19200.0,0.9392684363888901,3.7433666772222143,7.484782526111097,4.558333333333333e-05,3.5000000000000004e-05,7.324166666666668e-05,0.0,6.2265e-05,0.00013046,0.00392,0.002058,0.002156,60,60,120,3,2,1,0,1,2,30,60,120,60,30,0
zuo_slow_30s_seed_2028,zuo_slow_30s,2028,instant_health,fc_only,12028,120,88.97336819365657,1.6835350165770528,52.84913430227092,,0.004350659166666668,0.004350659166666668,0.0,0.00014882916666666664,0.0001488291666666668,0.004201829999999999,0.0,0.00018383,0.004018,0.004350659166666668,0.004350659166666668,0.0,3.1804122696207027,33.30138787204087,0.6836540749987152,3.1804122696207027,0.0,88.97336819365657,0.0,,,,False,1.6696087642886397,2.211412390154772,0.36223913525536827,4.017566812255822,1.0,2.0,2,120,2,3,0,0,51.28676339937374,427.38969499478117,995.8520999643952,17192,2260,4.017566812255822,0,0.0,0,120,4.0544292496296315,6.545021754722221,0.0022524425000027826,2,0.0,0.0,35400.0,14700.0,0.0,0.9374010697222237,3.743463854722225,7.482422824444445,7.891666666666667e-05,6.99125e-05,0.0,5.93e-05,0.00012453,0.0,0.00196,0.002058,0.0,120,120,0,1,1,0,1,2,0,120,120,0,0,0,120
zuo_fast_30s_seed_2028,zuo_fast_30s,2028,average,fc_only,12028,120,120.40707312434961,2.26236726068313,53.22171833762846,,0.00444802166666667,0.00444802166666667,0.0,0.0001868916666666667,0.00018689166666666687,0.00426113,0.0,0.00024312999999999998,0.004018,0.00444802166666667,0.00444802166666667,0.0,6.679133687016246,53.92169495930688,0.6989534278846044,6.679133687016246,0.0,120.40707312434961,0.0,,,,False,3.4994713647066447,3.5407824906362286,0.5180877661343782,4.017564927564919,1.0,2.0,2,120,2,4,0,0,12.485381399514154,104.04484499595128,204.48379986919463,3864,276,4.017564927564919,0,0.0,0,120,4.054461703796291,6.54495020472222,0.002278254999980689,2,0.0,0.0,33900.0,33900.0,0.0,0.9374726197222247,3.743489667222203,7.482422824444445,9.116666666666666e-05,9.572500000000001e-05,0.0,0.0001186,0.00012453,0.0,0.00196,0.002058,0.0,120,120,0,1,1,0,2,2,0,120,120,0,0,0,120
zuo_fast_30s_seed_2028,zuo_fast_30s,2028,rotating,fc_only,12028,120,123.33733375348201,2.2807398924878624,54.07777281386698,,0.010547441666666667,0.010547441666666667,0.0,0.00019814166666666668,0.00019814166666666668,0.010349299999999999,0.0,5.93e-05,0.01029,0.010547441666666667,0.010547441666666667,0.0,18.88522615521068,49.44693677281809,1.6574043610390623,18.88522615521068,0.0,123.33733375348201,0.0,,,,False,2.1411499326422736,2.40119325574143,1.0692667202763488,3.3528836405036913,1.0,2.0,2,30,8,1,0,0,43.194367601303384,359.95306334419485,1032.979599898681,14168,904,3.3528836405036913,0,0.0,0,120,4.056494843796288,6.547465588055539,0.002268441666662735,2,0.31965442764578833,0.31965442764578833,25050.0,22200.0,22200.0,0.9393444030555569,3.743330137222211,7.486809991111096,6.225e-05,6.0725e-05,7.516666666666667e-05,5.93e-05,0.0,0.0,0.00392,0.002058,0.004312,90,60,90,3,2,3,1,0,0,60,60,60,30,30,30
zuo_fast_30s_seed_2028,zuo_fast_30s,2028,instant_health,fc_only,12028,120,123.33733375348201,2.2958731447847702,53.72131906923997,,0.004394496666666669,0.004394496666666669,0.0,0.00019266666666666672,0.0001926666666666669,0.00420183,0.0,0.00018383,0.004018,0.004394496666666669,0.004394496666666669,0.0,6.057462330462381,47.53031381206099,0.6905426140372066,6.057462330462381,0.0,123.33733375348201,0.0,,,,False,2.494298508382007,2.9323062268811344,1.5232642891835633,4.017568594234348,1.0,2.0,2,120,2,3,0,0,50.86654920061119,423.88791000509326,957.4770999606699,17192,946,4.017568594234348,0,0.0,0,120,4.054443862129628,6.544997254722219,0.0022717799999907307,2,0.0,0.0,41400.0,28050.0,0.0,0.9374255697222258,3.743483192222213,7.482422824444445,0.00010341666666666666,8.925e-05,0.0,5.93e-05,0.00012453,0.0,0.00196,0.002058,0.0,120,120,0,1,1,0,1,2,0,120,120,0,0,0,120
empirical_1s_seed_2029,empirical_1s,2029,average,fc_only,12029,120,115.07932652592709,2.2022293054090065,52.255832870480354,,0.004154666666666669,0.004154666666666669,0.0,0.0001366666666666666,0.00013666666666666677,0.004018,0.0,0.0,0.004018,0.004154666666666669,0.004154666666666669,0.0,5.446350789505518,47.3426215112571,0.6528561967551655,5.446350789505518,0.0,115.07932652592709,0.0,,,,False,2.7695956069430756,2.769595606943897,-2.7695956069430756,2.769599271186749,1.0,2.0,2,120,2,0,0,0,16.928004500223324,141.0667041685277,309.2634999193251,5208,332,2.769599271186749,0,0.0,0,120,4.054363918796291,6.545093304722222,0.0021279999999834764,2,0.0,0.0,32400.0,32400.0,0.0,0.9373295197222227,3.743339412222206,7.482422824444445,6.666666666666667e-05,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.00196,0.002058,0.0,120,120,0,1,1,0,0,0,0,120,120,0,0,0,120
empirical_1s_seed_2029,empirical_1s,2029,rotating,fc_only,12029,120,120.4070731243497,2.2628544924425125,53.21025877999914,,0.006609265833333337,0.006609265833333337,0.0,0.00018917083333333336,0.00018917083333333347,0.006420095000000001,0.0,0.000246095,0.006174,0.006609265833333337,0.006609265833333337,0.0,12.566445141335517,38.306057795593716,1.038567110548906,12.566445141335517,0.0,120.4070731243497,0.0,,,,False,0.9508399959378945,1.005704074029728,-0.9508399959378945,1.500522412864271,1.0,2.0,2,60,4,4,0,0,42.52213179972023,354.35109833100194,1015.9321001265198,14056,888,1.500522412864271,0,0.0,0,120,4.0551821185185135,6.547221576388878,0.00010324416666795955,2,0.25,0.25,33900.0,16950.0,16950.0,0.9374726197222247,3.743379539722213,7.4846941961111035,9.116666666666667e-05,4.7862500000000005e-05,5.0141666666666675e-05,0.0001186,6.2265e-05,6.523e-05,0.00196,0.002058,0.002156,120,60,60,1,2,1,2,1,1,120,60,60,0,60,60
empirical_1s_seed_2029,empirical_1s,2029,instant_health,fc_only,12029,120,120.4070731243497,2.2733926508022226,52.96360621288236,,0.0042036666666666715,0.0042036666666666715,0.0,0.00018566666666666666,0.00018566666666666658,0.004018,0.0,0.0,0.004018,0.0042036666666666715,0.0042036666666666715,0.0,3.6337316747274193,33.465985474444906,0.6605559609498862,3.6337316747274193,0.0,120.4070731243497,0.0,,,,False,0.6346952451465858,0.6346952451527085,-0.6346952451465858,0.6347000338305264,1.0,2.0,2,120,2,0,0,0,66.62318770051934,555.1932308376612,801.4207999221981,23016,1392,0.6347000338305264,0,0.0,0,120,4.054380252129626,6.545044304722218,0.0021279999999834764,2,0.0,0.0,44400.0,23400.0,0.0,0.9373785197222269,3.743339412222206,7.482422824444445,0.00011566666666666665,7.000000000000001e-05,0.0,0.0,0.0,0.0,0.00196,0.002058,0.0,120,120,0,1,1,0,0,0,0,120,120,0,0,0,120
