load_source,load_seed,continuous_multiplier,start_stop_multiplier,shift_multiplier,reference_strategy,total_damage_pct_delta,total_damage_pct_relative_pct,aged_stack_increment_pct_delta,aged_stack_increment_pct_relative_pct,max_terminal_damage_pct_delta,max_terminal_damage_pct_relative_pct,increment_range_pct_delta,increment_range_pct_relative_pct
empirical_1s,2026,0.5,1.0,2.0,average,-1.12233333333326e-05,-0.24544787859258424,0.0,0.0,0.0,0.0,-1.1223333333333033e-05,-0.4792077629664925
empirical_1s,2026,0.5,2.0,0.0,average,-1.12233333333326e-05,-0.138485583844025,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-0.27037661607645064
empirical_1s,2026,0.5,2.0,0.1,average,-1.1223333333334334e-05,-0.13807136973484188,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-0.26956791233943234
empirical_1s,2026,0.5,2.0,0.5,average,-1.12233333333326e-05,-0.1364389988611084,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-0.26638090253837504
empirical_1s,2026,0.5,2.0,1.0,average,-1.12233333333326e-05,-0.13445202314953886,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-0.26250156900626276
empirical_1s,2026,0.5,2.0,2.0,average,-1.1223333333334334e-05,-0.13064677721136453,0.0,0.0,0.0,0.0,-1.1223333333333467e-05,-0.2550722793174063
empirical_1s,2026,1.0,0.0,0.0,average,-2.244666666666665e-05,-16.424390243902426,0.0,0.0,0.0,0.0,-3.3333333333333376e-06,-4.761904761904767
empirical_1s,2026,1.0,0.0,0.1,average,-2.2446666666666663e-05,-13.943790002464079,0.0,0.0,0.0,0.0,-3.926333333333337e-06,-4.761904761904765
empirical_1s,2026,1.0,0.0,0.5,average,-2.2446666666666663e-05,-8.692453158985147,0.0,0.0,0.0,0.0,-6.298333333333334e-06,-4.761904761904762
empirical_1s,2026,1.0,0.0,1.0,average,-2.2446666666666663e-05,-5.910180008601094,0.0,0.0,0.0,0.0,-9.263333333333343e-06,-4.761904761904767
empirical_1s,2026,1.0,0.0,2.0,average,-2.2446666666666717e-05,-3.6034204133177874,0.0,0.0,0.0,0.0,-1.5193333333333363e-05,-4.761904761904771
empirical_1s,2026,1.0,0.1,0.0,average,-2.2446666666666717e-05,-4.16862696545748,0.0,0.0,0.0,0.0,-1.3133333333333345e-05,-4.761904761904765
empirical_1s,2026,1.0,0.1,0.1,average,-2.2446666666666717e-05,-3.988535477768395,0.0,0.0,0.0,0.0,-1.3726333333333358e-05,-4.76190476190477
empirical_1s,2026,1.0,0.1,0.5,average,-2.2446666666666717e-05,-3.4008469290614918,0.0,0.0,0.0,0.0,-1.6098333333333355e-05,-4.761904761904768
empirical_1s,2026,1.0,0.1,1.0,average,-2.2446666666666717e-05,-2.87189897602771,0.0,0.0,0.0,0.0,-1.9063333333333365e-05,-4.761904761904769
empirical_1s,2026,1.0,0.1,2.0,average,-2.2446666666666934e-05,-2.190502833275891,0.0,0.0,0.0,0.0,-2.2446666666666717e-05,-4.276696007824318
empirical_1s,2026,1.0,0.5,0.0,average,-2.24466666666665e-05,-1.0461395059810394,0.0,0.0,0.0,0.0,-2.2446666666666717e-05,-2.0424628450106206
empirical_1s,2026,1.0,0.5,0.1,average,-2.24466666666665e-05,-1.0344182948565186,0.0,0.0,0.0,0.0,-2.2446666666666717e-05,-2.0195785756722704
empirical_1s,2026,1.0,0.5,0.5,average,-2.24466666666665e-05,-0.9900473337895849,0.0,0.0,0.0,0.0,-2.2446666666666717e-05,-1.9329495564463512
empirical_1s,2026,1.0,0.5,1.0,average,-2.2446666666666934e-05,-0.9396641823847265,0.0,0.0,0.0,0.0,-2.2446666666666717e-05,-1.8345824513225435
empirical_1s,2026,1.0,0.5,2.0,average,-2.24466666666665e-05,-0.8528606420138289,0.0,0.0,0.0,0.0,-2.2446666666666717e-05,-1.665108872503206
empirical_1s,2026,1.0,1.0,0.0,average,-2.2446666666666934e-05,-0.5402759948652183,0.0,0.0,0.0,0.0,-2.2446666666666934e-05,-1.0548245614035212
empirical_1s,2026,1.0,1.0,0.1,average,-2.2446666666666934e-05,-0.5371327083907866,0.0,0.0,0.0,0.0,-2.2446666666666934e-05,-1.0486876687629643
empirical_1s,2026,1.0,1.0,0.5,average,-2.2446666666666934e-05,-0.5249169927260786,0.0,0.0,0.0,0.0,-2.2446666666666934e-05,-1.0248379381794865
empirical_1s,2026,1.0,1.0,1.0,average,-2.2446666666666934e-05,-0.5104071053762589,0.0,0.0,0.0,0.0,-2.2446666666666934e-05,-0.9965091104965055
empirical_1s,2026,1.0,1.0,2.0,average,-2.2446666666666934e-05,-0.4836677732464408,0.0,0.0,0.0,0.0,-2.2446666666666934e-05,-0.9443037477668603
empirical_1s,2026,1.0,2.0,0.0,average,-2.24466666666652e-05,-0.27465535524918677,0.0,0.0,0.0,0.0,-2.2446666666666067e-05,-0.5362318840579567
empirical_1s,2026,1.0,2.0,0.1,average,-2.2446666666666934e-05,-0.27384070205696825,0.0,0.0,0.0,0.0,-2.2446666666666067e-05,-0.5346413706826316
empirical_1s,2026,1.0,2.0,0.5,average,-2.24466666666652e-05,-0.2706298493792397,0.0,0.0,0.0,0.0,-2.2446666666666067e-05,-0.5283725630737741
