block_id,month,stratum,health_case,policy,positive_steps,above_40kw_steps,negative_power_steps,assignment,assignment_first,assignment_second,error,n_steps,fc_energy_kwh,hydrogen_g,hydrogen_g_per_fc_kwh,expected_damage_increment_pct,terminal_max_damage_pct,terminal_damage_range_pct,damage_increment_range_pct,tracking_mae_kw,tracking_rmse_kw,tracking_max_abs_kw,constraint_violation_steps,safety_override_steps,total_switch_count,planning_runtime_s
external_2025-09_s1,2025-09,1,oldest_stack_2,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,18.24822960142679,931.35226244791,51.03795177889967,0.008053169166666667,7.482422824444445,6.5431995963888765,0.004132794166487486,0.7051436573538336,0.977590150732436,3.577273179601015,0,0,2,56.79707180056721
external_2025-09_s1,2025-09,1,oldest_stack_2,health_greedy,1440,0,0,"(0, 1)",0,1,,1800,18.24822960142679,931.35226244791,51.03795177889967,0.008053169166666667,7.482422824444445,6.5431995963888765,0.004132794166487486,0.7051436573538336,0.977590150732436,3.577273179601015,0,0,2,56.53398640663363
external_2025-09_s1,2025-09,1,oldest_stack_0,fixed_pair,1440,0,0,"(1, 0)",1,0,,1800,18.154768846277193,931.7784821757839,51.32417218117618,0.007870599166666666,7.486301574444124,6.547006872221931,0.003991849166638306,0.8450096836119179,1.1859690088826862,3.6263939284642746,0,0,2,57.70307040051557
external_2025-09_s1,2025-09,1,oldest_stack_0,health_greedy,1440,0,0,"(1, 2)",1,2,,1800,18.186786873067415,931.4055399138944,51.2133092235881,0.008256656388888891,7.482422824444445,6.543127678888918,0.004264363888796918,0.8293841438743322,1.1543609738074372,3.5772793372371368,0,0,2,57.22495359717868
external_2025-09_s1,2025-09,1,oldest_stack_1,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,18.105643165645997,932.053749083369,51.47863241068763,0.007873120833333334,7.486493353611535,6.551190500555979,0.0040705291670901644,0.8856033673690809,1.2659020319840215,3.78128054264657,0,0,2,56.77231760346331
external_2025-09_s1,2025-09,1,oldest_stack_1,health_greedy,1440,0,0,"(2, 0)",2,0,,1800,18.187372257345125,931.6630476661513,51.22581945777743,0.008058441388888891,7.482422824444445,6.5429402799999385,0.004179691388950468,0.8261390114495666,1.1485198520594457,3.5772810600537213,0,0,2,56.951622006483376
external_2025-09_s2,2025-09,2,oldest_stack_2,fixed_pair,1440,0,0,"(0, 1)",0,1,,1800,16.904228526392256,853.6381987322532,50.49850085731412,0.007483489722222223,7.482422824444445,6.543580474166662,0.003943992499825022,0.8468338406430364,1.1891533111767425,3.963619257946597,0,0,2,62.08950209757313
external_2025-09_s2,2025-09,2,oldest_stack_2,health_greedy,1440,0,0,"(0, 1)",0,1,,1800,16.904228526392256,853.6381987322532,50.49850085731412,0.007483489722222223,7.482422824444445,6.543580474166662,0.003943992499825022,0.8468338406430364,1.1891533111767425,3.963619257946597,0,0,2,62.39888419909403
external_2025-09_s2,2025-09,2,oldest_stack_0,fixed_pair,1440,0,0,"(1, 0)",1,0,,1800,16.794197516030614,853.9401043728304,50.84733007086028,0.007288722638888887,7.486121763333011,6.547229126527496,0.0036989388885659835,1.0705561376781119,1.4530213453340366,4.134329021158955,0,0,2,62.87914239917882
external_2025-09_s2,2025-09,2,oldest_stack_0,health_greedy,1440,0,0,"(1, 2)",1,2,,1800,16.818034754140943,853.6381987322532,50.75730971016516,0.0077207787500000015,7.482422824444445,6.543465764305597,0.004066571666573537,1.0192196701046425,1.4093336839959563,3.9636236026684557,0,0,2,62.73641739971936
