block_id,month,health_case,positive_steps,above_40kw_steps,fixed_terminal_max_damage_pct,health_greedy_terminal_max_damage_pct,delta_terminal_max_damage_pct,fixed_terminal_damage_range_pct,health_greedy_terminal_damage_range_pct,delta_terminal_damage_range_pct,fixed_damage_increment_range_pct,health_greedy_damage_increment_range_pct,delta_damage_increment_range_pct,fixed_expected_damage_increment_pct,health_greedy_expected_damage_increment_pct,delta_expected_damage_increment_pct,fixed_hydrogen_g_per_fc_kwh,health_greedy_hydrogen_g_per_fc_kwh,delta_hydrogen_g_per_fc_kwh,fixed_tracking_mae_kw,health_greedy_tracking_mae_kw,delta_tracking_mae_kw,fixed_tracking_rmse_kw,health_greedy_tracking_rmse_kw,delta_tracking_rmse_kw,fixed_tracking_max_abs_kw,health_greedy_tracking_max_abs_kw,delta_tracking_max_abs_kw,fixed_safety_override_steps,health_greedy_safety_override_steps,delta_safety_override_steps,fixed_total_switch_count,health_greedy_total_switch_count,delta_total_switch_count
external_2025-11_s1,2025-11,oldest_stack_0,1440,0,7.486116146666346,7.482422824444445,-0.0036933222219008854,6.5470956402774965,6.543402318055596,-0.0036933222219008854,0.003717653333293547,0.004062654444352276,0.0003450011110587292,0.007410975555555555,0.007780307777777779,0.0003693322222222241,50.573791400006044,50.482487054475854,-0.09130434553019029,0.5644577907491377,0.5810668471276502,0.01660905637851251,0.7972451721175309,0.8073463291043051,0.010101156986774273,4.33046702265805,4.33046702265805,0.0,0.0,0.0,0.0,2.0,2.0,0.0
external_2025-11_s1,2025-11,oldest_stack_1,1440,0,7.486241785278202,7.482422824444445,-0.0038189608337573233,6.550938932222646,6.5432909691666,-0.007647963056045981,0.0038189608337573233,0.003829002222289324,1.004138853200054e-05,0.007353458055555556,0.007522735555555557,0.00016927750000000127,50.64237595096824,50.53600170756162,-0.10637424340661994,0.579472258667204,0.5923326135154655,0.012860354848261535,0.8271250863041382,0.8133301172003888,-0.013794969103749333,4.33046702265805,4.33046702265805,0.0,0.0,0.0,0.0,2.0,2.0,0.0
external_2025-11_s1,2025-11,oldest_stack_2,1440,0,7.482422824444445,7.482422824444445,0.0,6.543520049166661,6.543520049166661,0.0,0.003940253333157173,0.003940253333157173,0.0,0.007540175555555556,0.007540175555555556,0.0,50.341579762481665,50.341579762481665,0.0,0.49556025741414167,0.49556025741414167,0.0,0.7379166852952471,0.7379166852952471,0.0,4.33046702265805,4.33046702265805,0.0,0.0,0.0,0.0,2.0,2.0,0.0
external_2025-11_s2,2025-11,oldest_stack_0,1440,0,7.4861212077774555,7.482422824444445,-0.0036983833330106464,6.547097761388606,6.543397651388929,-0.0037001099996771813,0.0037205933332934427,0.004066412777684825,0.000345819444391382,0.007418976666666667,0.007788732777777778,0.00036975611111111136,50.431247351859625,50.3407372034672,-0.09051014839242555,0.5680685581157089,0.5879257480570402,0.019857189941331344,0.7506476441874103,0.7671011574949952,0.016453513307584933,2.8758949191977834,2.875895021047981,1.0185019760911018e-07,0.0,0.0,0.0,2.0,2.0,0.0
external_2025-11_s2,2025-11,oldest_stack_1,1440,0,7.486304400278202,7.482422824444445,-0.003881575833757367,6.551001547222647,6.543287436944378,-0.007714110278269182,0.003881575833757367,0.0038325344445115928,-4.904138924577417e-05,0.007367342500000002,0.007530917777777778,0.0001635752777777756,50.53790453858361,50.41056713538758,-0.12733740319603015,0.5738603067011743,0.6084416822161007,0.03458137551492646,0.7681330374891794,0.7948091292186734,0.026676091729494034,3.1610129803621447,3.2529561678905026,0.09194318752835784,0.0,0.0,0.0,2.0,2.0,0.0
external_2025-11_s2,2025-11,oldest_stack_2,1440,0,7.482422824444445,7.482422824444445,0.0,6.5435156047222165,6.5435156047222165,0.0,0.003943840833157797,0.003943840833157797,0.0,0.007548207500000002,0.007548207500000002,0.0,50.254017972292516,50.254017972292516,0.0,0.5391765636318241,0.5391765636318241,0.0,0.7349417664570944,0.7349417664570944,0.0,2.8758854700443806,2.8758854700443806,0.0,0.0,0.0,0.0,2.0,2.0,0.0
external_2025-11_s3,2025-11,oldest_stack_0,1440,0,7.4870386022218565,7.482422824444445,-0.004615777777411623,6.547049689583009,6.54243153763893,-0.004618151944078441,0.004686059583292268,0.005074642222114623,0.00038858263882235455,0.00930183736111111,0.009763075972222222,0.00046123861111111233,50.411976713089096,50.312274030524435,-0.09970268256466142,0.7001912191103857,0.6734998538915382,-0.026691365218847518,1.025260847171026,0.9954837014159031,-0.029777145755122914,4.554527964525313,4.603642597710003,0.04911463318468989,5.0,5.0,0.0,2.0,2.0,0.0
external_2025-11_s3,2025-11,oldest_stack_1,1440,0,7.48714248694488,7.482422824444445,-0.00471966250043554,6.551839633889324,6.542276448333269,-0.009563185556054954,0.00471966250043554,0.00484352305562008,0.00012386055518454064,0.009066237500000001,0.009459506388888891,0.00039326888888889,50.52770295761424,50.332090378141004,-0.1956125794732344,0.7434573450120047,0.6773468138828896,-0.06611053112911502,1.0868333822707619,0.997017330371742,-0.08981605189901987,4.5205140123385945,4.603644964019971,0.08313095168137608,5.0,5.0,0.0,2.0,2.0,0.0
external_2025-11_s3,2025-11,oldest_stack_2,1440,0,7.482422824444445,7.482422824444445,0.0,6.542595496388886,6.542595496388886,0.0,0.004906241666534417,0.004906241666534417,0.0,0.009430716666666668,0.009430716666666668,0.0,50.173425362755246,50.173425362755246,0.0,0.5923617839561479,0.5923617839561479,0.0,0.8893520168737725,0.8893520168737725,0.0,4.603645067381645,4.603645067381645,0.0,5.0,5.0,0.0,2.0,2.0,0.0
external_2025-12_s1,2025-12,oldest_stack_0,1440,0,7.487769052221828,7.482422824444445,-0.005346227777383028,6.547009713749647,6.541596040972264,-0.005413672777383027,0.005456485416625689,0.005940653888771408,0.00048416847214571845,0.010802713194444443,0.011464584305555558,0.0006618711111111147,50.2779608375309,50.074442632891575,-0.20351820463932313,0.7672725114171024,0.6982948546259147,-0.06897765679118772,1.1644931091020627,1.0961401147287295,-0.0683529943733332,4.736673476429363,4.785793012764675,0.04911953633531141,11.0,11.0,0.0,2.0,2.0,0.0
