load_source,continuous_multiplier,start_stop_multiplier,load_shift_multiplier,n_pairs,mean_beam_minus_average_pct,ci95_pct,mean_relative_pct,beam_lower_share
real_block_bootstrap,0.5,4.0,0.25,10,-0.0008926138333333335,0.0016895932656302115,-5.4032031327403045,0.8
synthetic_event_markov,0.5,4.0,0.25,10,-1.3926958333333044e-05,1.550646016050555e-05,-0.08382187497954519,0.8
real_block_bootstrap,0.5,4.0,0.5,10,-0.0009207813333333336,0.0016872261057148815,-5.560002209685949,0.8
synthetic_event_markov,0.5,4.0,0.5,10,-2.5193958333335e-05,2.921921343413525e-05,-0.1505585786465813,0.8
real_block_bootstrap,0.5,4.0,1.0,10,-0.0009771163333333326,0.0016828919017801423,-5.8659166676601675,0.8
synthetic_event_markov,0.5,4.0,1.0,10,-4.772795833333336e-05,5.668431860901597e-05,-0.28121184130820004,0.8
real_block_bootstrap,0.5,4.0,2.0,10,-0.0010897863333333342,0.0016758377762667658,-6.448809459414929,0.8
synthetic_event_markov,0.5,4.0,2.0,10,-9.27959583333339e-05,0.00011163651828554855,-0.5317145441596557,0.8
real_block_bootstrap,0.5,4.0,4.0,10,-0.0013151263333333327,0.00166827128426555,-7.511474177402533,0.8
synthetic_event_markov,0.5,4.0,4.0,10,-0.00018293195833333394,0.00022155251591384953,-0.9929991016914173,0.8
real_block_bootstrap,1.0,0.25,0.25,10,-8.616016666666674e-05,0.00010831844966458187,-7.536363123655896,0.8
synthetic_event_markov,1.0,0.25,0.25,10,-1.658691666666665e-05,1.736489611446101e-05,-1.3659082892749197,0.8
real_block_bootstrap,1.0,0.25,0.5,10,-0.00011432766666666673,0.00010942260587685582,-9.242042573991611,0.8
synthetic_event_markov,1.0,0.25,0.5,10,-2.7853916666666763e-05,3.101292032100869e-05,-2.0845248625078563,0.8
real_block_bootstrap,1.0,0.25,1.0,10,-0.00017066266666666672,0.00011761934849703391,-11.81426703774415,0.8
synthetic_event_markov,1.0,0.25,1.0,10,-5.038791666666673e-05,5.843842686826925e-05,-3.168412747777265,0.8
real_block_bootstrap,1.0,0.25,2.0,10,-0.0002833326666666667,0.00015191108192502402,-15.076036638167489,0.8
synthetic_event_markov,1.0,0.25,2.0,10,-9.545591666666673e-05,0.00011336863721803001,-4.475956042401123,0.8
real_block_bootstrap,1.0,0.25,4.0,10,-0.0005086726666666666,0.00025227947820688723,-18.4222019903059,0.8
synthetic_event_markov,1.0,0.25,4.0,10,-0.0001855919166666665,0.00022327303657109645,-5.567542321780815,0.8
real_block_bootstrap,1.0,0.5,0.25,10,-0.00014006016666666664,0.00021313000195331152,-6.491807394420773,0.8
synthetic_event_markov,1.0,0.5,0.25,10,-1.658691666666652e-05,1.7364896114460917e-05,-0.7395875278431765,0.8
real_block_bootstrap,1.0,0.5,0.5,10,-0.00016822766666666666,0.00021241255573714075,-7.524329456690784,0.8
synthetic_event_markov,1.0,0.5,0.5,10,-2.7853916666666566e-05,3.101292032100867e-05,-1.1789682956426084,0.8
real_block_bootstrap,1.0,0.5,1.0,10,-0.00022456266666666668,0.0002142163631117225,-9.27344299334182,0.8
synthetic_event_markov,1.0,0.5,1.0,10,-5.03879166666667e-05,5.8438426868269226e-05,-1.9316990608276896,0.8
real_block_bootstrap,1.0,0.5,2.0,10,-0.0003372326666666667,0.00023010523624565106,-11.893124311726622,0.8
synthetic_event_markov,1.0,0.5,2.0,10,-9.545591666666681e-05,0.00011336863721802995,-3.0599196198748966,0.8
real_block_bootstrap,1.0,0.5,4.0,10,-0.0005625726666666664,0.000298580953452414,-15.185578647720538,0.8
synthetic_event_markov,1.0,0.5,4.0,10,-0.00018559191666666662,0.0002232730365710965,-4.408127282496532,0.8
real_block_bootstrap,1.0,1.0,0.25,10,-0.00024786016666666666,0.00042399451475034274,-5.894985959335194,0.8
synthetic_event_markov,1.0,1.0,0.25,10,-1.6586916666666737e-05,1.7364896114461154e-05,-0.38570655886831884,0.8
real_block_bootstrap,1.0,1.0,0.5,10,-0.00027602766666666656,0.0004223441683823613,-6.469310392405347,0.8
synthetic_event_markov,1.0,1.0,0.5,10,-2.785391666666661e-05,3.10129203210086e-05,-0.6302985488214685,0.8
real_block_bootstrap,1.0,1.0,1.0,10,-0.00033236266666666675,0.0004206676322332236,-7.517675334266848,0.8
synthetic_event_markov,1.0,1.0,1.0,10,-5.038791666666662e-05,5.8438426868269267e-05,-1.08113514174106,0.8
real_block_bootstrap,1.0,1.0,2.0,10,-0.0004450326666666666,0.00042385756338154213,-9.289430563479797,0.8
synthetic_event_markov,1.0,1.0,2.0,10,-9.54559166666669e-05,0.0001133686372180299,-1.8519881450248998,0.8
real_block_bootstrap,1.0,1.0,4.0,10,-0.0006703726666666666,0.0004551107727366815,-11.933575683085646,0.8
synthetic_event_markov,1.0,1.0,4.0,10,-0.00018559191666666676,0.00022327303657109637,-3.003600372602386,0.8
real_block_bootstrap,1.0,2.0,0.25,10,-0.000463460166666667,0.0008463574681031053,-5.574625314291526,0.8
synthetic_event_markov,1.0,2.0,0.25,10,-1.658691666666691e-05,1.736489611446102e-05,-0.19708249414974624,0.8
real_block_bootstrap,1.0,2.0,0.5,10,-0.0004916276666666669,0.0008442400817860981,-5.878504159402029,0.8
synthetic_event_markov,1.0,2.0,0.5,10,-2.7853916666665916e-05,3.101292032100907e-05,-0.32637075006426564,0.8
real_block_bootstrap,1.0,2.0,1.0,10,-0.0005479626666666665,0.0008408104326425151,-6.457691574412074,0.8
synthetic_event_markov,1.0,2.0,1.0,10,-5.038791666666619e-05,5.8438426868268935e-05,-0.5743109904630953,0.8
