stack_id,cell_count,current_density_a_cm2,gross_stack_power_kw,efficiency_lhv_pct,stack_current_a,hydrogen_flow_kg_s,chemical_input_lhv_kw,net_system_power_kw,auxiliary_power_kw,efficiency_hhv_pct
stack_1,270,0.85,53.2204917519151,41.5158733700452,345.09999999999997,0.0009753720267399079,117.04464320878894,48.59210586098203,4.6283858909330675,35.12345653480015
stack_1,270,0.9,54.8630645994442,40.4034900920472,365.40000000000003,0.0010327468518422556,123.92962222107066,50.07189263520181,4.791171964242388,34.18235274621908
stack_1,270,0.95,55.6781538934124,39.681987853731,385.7,0.001090121676944603,130.81460123335236,51.909834172325525,3.7683197210868755,33.57194399288801
stack_1,270,1.0,57.8765967467528,38.0707387314895,406.0,0.0011474965020469505,137.69958024563405,52.42324742967307,5.453349317079734,32.208787351394406
stack_1,270,1.05,59.0975383037969,36.8308826546434,426.3,0.001204871327149298,144.58455925791577,53.25176935701631,5.845768946780595,31.15983841958818
stack_1,270,1.1,59.7043621950602,35.5745892901789,446.6,0.0012622461522516454,151.46953827019746,53.884666139353094,5.819696055707105,30.09698313557615
stack_1,270,1.15,60.7086547066518,34.2192404733945,466.9,0.001319620977353993,158.35451728247915,54.187713069374595,6.520941637277204,28.95032448693099
stack_1,270,1.2,62.0845703704172,32.8391037309975,487.2,0.0013769958024563405,165.23949629476087,54.26316959281429,7.8214007776029035,27.78269463962931
stack_2,300,0.1,9.71414417540237,43.3687318897327,40.6,0.00012749961133855003,15.299953360626004,6.635395752224039,3.0787484231783298,36.6910207072146
stack_2,300,0.15,13.6926231165734,46.5528031423213,60.9,0.00019124941700782505,22.949930040939005,10.683835753258792,3.0087873633146067,39.38482380385606
stack_2,300,0.2,17.5784304074905,47.8419893151904,81.2,0.00025499922267710007,30.599906721252008,14.639604104039615,2.9388263034508864,40.47550721799096
stack_2,300,0.25,21.3750308777752,48.3822798618803,101.5,0.0003187490283463751,38.249883401565015,18.506165634188086,2.8688652435871127,40.93260639458008
stack_2,300,0.3,25.1078651793609,48.6035490213736,121.8,0.0003824988340156501,45.89986008187801,22.30896099563747,2.7989041837234296,41.11980558070059
stack_2,300,0.35,28.7729435769406,48.6350697365138,142.1,0.0004462486396849251,53.54983676219101,26.0440004530809,2.7289431238597004,41.14647288595766
stack_2,300,0.4,32.2415746065199,48.3377168630035,162.4,0.0005099984453542001,61.199813442504016,29.582592542523948,2.65898206399595,40.89490499443951
stack_2,300,0.45,35.6118443406691,47.9635787961437,182.70000000000002,0.0005737482510234752,68.84979012281703,33.02282333653691,2.589021004132192,40.57837492864434
stack_2,300,0.5,38.7838673268433,47.4051214769076,203.0,0.0006374980566927502,76.49976680313003,36.26480738257483,2.51905994426847,40.10590621278967
stack_2,300,0.55,41.8000454532356,46.7561486319517,223.3,0.0007012478623620252,84.14974348344303,39.34517913652471,2.454866316710884,39.55685912159875
stack_2,300,0.6,44.5769792694879,45.9581324606072,243.6,0.0007649976680313002,91.79972016375602,42.18943699132573,2.3875422781621722,38.88171768693704
stack_2,300,0.65,48.1689920294936,45.0949649285717,263.90000000000003,0.0008287474737005753,99.44969684406904,44.846805913403806,3.322186116089796,38.15145658840564
stack_2,300,0.7,51.1440625267815,44.2442497461512,284.2,0.0008924972793698502,107.09967352438203,47.38544703144015,3.7586154953413455,37.43173048588794
stack_2,300,0.75,53.8033289080356,43.371774217534,304.5,0.0009562470850391253,114.74965020469503,49.76895920219037,4.034369705845229,36.693594591842796
stack_2,300,0.8,56.2138593466002,42.3848678342844,324.8,0.0010199968907084003,122.39962688500803,51.878920084867886,4.334939261732316,35.85864736221292
stack_2,300,0.85,58.29033724681,41.3874449329369,345.09999999999997,0.0010837466963776752,130.049603565321,53.82420806109998,4.466129185710017,35.01480289795145
stack_2,300,0.9,61.2610121507522,40.1128890886486,365.40000000000003,0.0011474965020469505,137.69958024563405,55.235279899465866,6.025732251286335,33.936497103947936
stack_2,300,0.95,63.0735389894284,39.0223036005103,385.7,0.0012112463077162254,145.34955692594704,56.71874538563959,6.354793603788806,33.01383478516007
stack_2,300,1.0,64.1949593713164,37.9621549762457,406.0,0.0012749961133855005,152.99953360626006,58.08192006054156,6.1130393107748375,32.11692280662868
stack_2,300,1.05,65.7831312736135,36.7071090225116,426.3,0.0013387459190547753,160.64951028657302,58.96979088502335,6.813340388590156,31.05512286297237
stack_2,300,1.1,67.0985774263507,35.4195930331467,446.6,0.0014024957247240504,168.29948696688606,59.61099336054481,7.4875840658058905,29.965852465424927
stack_2,300,1.15,68.2534810864127,34.0865850305868,466.9,0.0014662455303933253,175.94946364719902,59.9751635369639,8.278317549448808,28.838094698627344
