boundary_id,boundary_label,boundary_order,boundary_over_calibration,scenario_id,policy,local_seed,first_gain_change_vs_lzw_h,second_gain_change_vs_lzw_h
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,0,1106.0,572.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,1,588.0,745.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,2,718.0,778.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,3,1235.0,541.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,4,1085.0,663.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,5,1012.0,749.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,6,1047.0,710.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,7,974.0,700.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,8,1086.0,522.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,9,1321.0,374.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,10,1143.0,476.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,11,1154.0,405.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,12,1155.0,401.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,13,678.0,572.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,14,619.0,667.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,15,614.0,922.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,16,1274.0,598.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,17,495.0,783.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,18,1231.0,775.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,reference,order_blend_50,19,1075.0,673.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,0,617.0,97.0
195a_5pct_voltage_loss,"195 A, 5% loss",2,1.894180880616048,heterogeneity_gp_re_increased_perm_2,order_blend_50,1,924.0,187.0
