policy,effective_policy,first_boundary_crossed,second_boundary_crossed,time_to_first_boundary_h,time_to_second_boundary_h,post_first_n_plus_one_reserve_h,first_boundary_total_damage_pct,first_boundary_damage_range_pct,final_elapsed_h,final_total_damage_pct,final_damage_range_pct,start_count,assignment_change_count,crossing_order,stack_0_crossing_h,stack_1_crossing_h,stack_2_crossing_h,stack_0_final_damage_pct,stack_1_final_damage_pct,stack_2_final_damage_pct,boundary_id,boundary_label,health_limit_pct,diagnostic_current_a,voltage_loss_fraction,extrapolated,boundary_order,boundary_over_calibration,scenario_id,local_seed,initial_damage_fraction,initial_damage_absolute_pct,heterogeneity_factors,guard_source,simulation_seed
fixed_pair,fixed_pair,True,True,929.0,1243.0,314.0,23.555522953377785,2.634994661816224,1243.0,26.896729331394614,1.1661514037534353,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,929.0,1243.0,8.188265266133198,9.354047395374781,9.354416669886634,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,10,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,10
order_blend_50,order_blend_50,True,True,929.0,1243.0,314.0,23.555522953377785,2.634994661816224,1243.0,26.896729331394614,1.1661514037534353,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,929.0,1243.0,8.188265266133198,9.354047395374781,9.354416669886634,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,10,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,10
fixed_pair,fixed_pair,True,True,1015.0,1384.0,369.0,22.966311664215347,3.224222158218315,1384.0,26.294670345263764,1.7829908810593134,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1015.0,1384.0,7.578811982604921,9.354055498994608,9.361802863664234,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,11,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,11
order_blend_50,order_blend_50,True,True,1015.0,1384.0,369.0,22.966311664215347,3.224222158218315,1384.0,26.294670345263764,1.7829908810593134,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1015.0,1384.0,7.578811982604921,9.354055498994608,9.361802863664234,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,11,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,11
fixed_pair,fixed_pair,True,True,1012.0,1297.0,285.0,23.17979274548564,3.01668918569755,1297.0,26.53839750064278,1.656042596848998,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1012.0,1297.0,7.762662675212205,9.357029553369372,9.418705272061203,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,12,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,12
order_blend_50,order_blend_50,True,True,1012.0,1297.0,285.0,23.17979274548564,3.01668918569755,1297.0,26.53839750064278,1.656042596848998,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1012.0,1297.0,7.762662675212205,9.357029553369372,9.418705272061203,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,12,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,12
fixed_pair,fixed_pair,True,True,1084.0,1423.0,339.0,24.14846074786774,2.044053233937248,1423.0,27.69360095712917,0.38837324865799694,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1084.0,1423.0,8.97509106489545,9.355045578680272,9.363464313553447,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,13,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,13
order_blend_50,order_blend_50,True,True,1417.0,1423.0,6.0,27.603853291951285,0.4110967211094856,1423.0,27.707425265875873,0.4025509337220434,11,9,"(np.int64(1), np.int64(2), np.int64(0))",,1417.0,1423.0,8.97509106489545,9.35469220236293,9.377641998617493,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,13,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,13
fixed_pair,fixed_pair,True,True,1206.0,1546.0,340.0,24.06998395569588,2.1206963169551623,1546.0,27.99378476479567,0.07243917120772636,3,1,"(np.int64(1), np.int64(2), np.int64(0))",,1206.0,1546.0,9.283608434742323,9.354128724103298,9.35604760595005,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,14,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,14
order_blend_50,order_blend_50,True,True,1551.0,1554.0,3.0,28.043142121932522,0.012313189058790641,1554.0,28.065697537689005,0.0016670559618088276,7,5,"(np.int64(1), np.int64(0), np.int64(2))",1554.0,1551.0,1554.0,9.354515874397961,9.354998732931273,9.35618293035977,lzw_calibration_endpoint,LZW endpoint,9.353028530555555,,,False,0,1.0,reference,14,"(0.1, 0.4, 0.8)","(np.float64(0.9353028530555556), np.float64(3.7412114122222224), np.float64(7.482422824444445))","(1.0, 1.05, 1.1)",order_blend_50,14
