boundary_id,scenario_id,local_seed,boundary_label,boundary_order,health_limit_pct,boundary_over_calibration,extrapolated,policy,effective_policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta,assignment_change_delta
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,10,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,428.0,44.0,16,16
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,11,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,337.0,30.0,12,12
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,12,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,749.0,112.0,32,32
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,13,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,336.0,-69.0,11,11
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,14,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,162.0,140.0,6,6
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,15,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,268.0,42.0,6,6
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,16,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,112.0,-66.0,2,2
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,17,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,577.0,182.0,18,18
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,18,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,165.0,32.0,6,6
lzw_calibration_endpoint,heterogeneity_gp_re_increased_perm_3,19,LZW endpoint,0,9.353028530555555,1.0,False,order_blend_50,order_blend_50,320.0,8.0,10,10
370a_5pct_voltage_loss,reference,0,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,734.0,122.0,30,30
370a_5pct_voltage_loss,reference,1,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,526.0,210.0,26,26
370a_5pct_voltage_loss,reference,2,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,398.0,232.0,23,23
370a_5pct_voltage_loss,reference,3,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,697.0,116.0,10,10
370a_5pct_voltage_loss,reference,4,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,685.0,108.0,34,34
370a_5pct_voltage_loss,reference,5,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,608.0,91.0,23,23
370a_5pct_voltage_loss,reference,6,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,633.0,140.0,28,28
370a_5pct_voltage_loss,reference,7,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,664.0,5.0,25,25
370a_5pct_voltage_loss,reference,8,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,696.0,31.0,11,11
370a_5pct_voltage_loss,reference,9,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,397.0,-20.0,14,14
370a_5pct_voltage_loss,reference,10,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,762.0,126.0,26,26
370a_5pct_voltage_loss,reference,11,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,784.0,11.0,24,24
370a_5pct_voltage_loss,reference,12,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,734.0,65.0,19,19
370a_5pct_voltage_loss,reference,13,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,633.0,222.0,34,34
370a_5pct_voltage_loss,reference,14,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,530.0,285.0,32,32
370a_5pct_voltage_loss,reference,15,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,531.0,335.0,27,27
370a_5pct_voltage_loss,reference,16,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,822.0,9.0,12,12
370a_5pct_voltage_loss,reference,17,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,488.0,318.0,29,29
370a_5pct_voltage_loss,reference,18,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,706.0,118.0,23,23
370a_5pct_voltage_loss,reference,19,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,562.0,126.0,26,26
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,0,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,185.0,-70.0,18,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,1,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,335.0,-2.0,18,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,2,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,267.0,38.0,22,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,3,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,410.0,119.0,22,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,4,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,176.0,-110.0,22,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,5,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,322.0,-6.0,20,20
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,6,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,205.0,-8.0,18,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,7,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,324.0,-72.0,24,24
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,8,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,275.0,71.0,18,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,9,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,110.0,-28.0,10,10
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,10,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,103.0,-137.0,12,12
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,11,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,237.0,7.0,18,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,12,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,286.0,-4.0,22,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,13,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,518.0,97.0,32,32
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,14,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,248.0,-66.0,18,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,15,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,339.0,34.0,18,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,16,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,172.0,-7.0,16,16
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,17,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,133.0,-89.0,16,16
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,18,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,200.0,-93.0,22,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,19,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,348.0,42.0,20,20
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,0,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,1695.0,377.0,46,46
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,1,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,1497.0,147.0,46,46
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,2,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,1237.0,2.0,30,30
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,3,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,1608.0,294.0,48,48
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,4,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,1693.0,314.0,62,62
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_3,5,"370 A, 5% loss",1,12.192754336272548,1.3036156466795592,True,order_blend_50,order_blend_50,1525.0,292.0,52,52
