scenario_id,local_seed,policy,effective_policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
heterogeneity_gp_re_low_perm_0,0,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,1,guarded_blend,order_blend_50,169.0,0.0,4
heterogeneity_gp_re_low_perm_0,2,guarded_blend,order_blend_50,69.0,-1.0,2
heterogeneity_gp_re_low_perm_0,3,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,4,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,5,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,6,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,7,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,8,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,9,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,10,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,11,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,12,guarded_blend,order_blend_50,0.0,0.0,0
heterogeneity_gp_re_low_perm_0,13,guarded_blend,order_blend_50,0.0,0.0,0
