boundary_id,scenario_id,local_seed,policy,effective_policy,first_boundary_gain_h,second_boundary_gain_h,start_count_delta
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,1,guarded_blend,order_blend_50,335.0,-2.0,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,2,guarded_blend,order_blend_50,267.0,38.0,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,3,guarded_blend,order_blend_50,410.0,119.0,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,4,guarded_blend,order_blend_50,176.0,-110.0,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,5,guarded_blend,order_blend_50,322.0,-6.0,20
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,6,guarded_blend,order_blend_50,205.0,-8.0,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,7,guarded_blend,order_blend_50,324.0,-72.0,24
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,8,guarded_blend,order_blend_50,275.0,71.0,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,9,guarded_blend,order_blend_50,110.0,-28.0,10
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,10,guarded_blend,order_blend_50,103.0,-137.0,12
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,11,guarded_blend,order_blend_50,237.0,7.0,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,12,guarded_blend,order_blend_50,286.0,-4.0,22
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,13,guarded_blend,order_blend_50,518.0,97.0,32
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,14,guarded_blend,order_blend_50,248.0,-66.0,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,15,guarded_blend,order_blend_50,339.0,34.0,18
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,16,guarded_blend,order_blend_50,172.0,-7.0,16
370a_5pct_voltage_loss,heterogeneity_gp_re_increased_perm_2,17,guarded_blend,order_blend_50,133.0,-89.0,16
