scenario_id,policy,samples,first_boundary_gain_mean_h,first_boundary_gain_ci95_low_h,first_boundary_gain_ci95_high_h,second_boundary_gain_mean_h,second_boundary_gain_ci95_low_h,second_boundary_gain_ci95_high_h,second_boundary_nonworse_share,start_count_delta_mean
heterogeneity_gp_re_increased_perm_2,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_3,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_4,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
heterogeneity_gp_re_increased_perm_5,rate_bounded_blend,20,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
boundary_scale_0.80,rate_bounded_blend,20,97.05,47.56197588402712,154.9827430023476,-0.2,-3.75,1.95,0.85,2.1
boundary_scale_1.20,rate_bounded_blend,20,99.2,45.2,177.1027909528306,-0.5,-3.95,2.65,0.8,1.65
gamma_cv_0.05,rate_bounded_blend,20,15.95,0.0,79.75,0.0,0.0,0.0,1.0,0.2
gamma_cv_0.20,rate_bounded_blend,20,54.35,18.0,113.85,6.25,-4.6,21.8,0.95,2.15
risk_horizon_24h,rate_bounded_blend,20,12.0,0.0,60.0,0.6,0.0,3.0,1.0,0.1
risk_horizon_240h,rate_bounded_blend,20,193.75,124.7,255.43313249326349,2.85,-1.4,9.573330752938546,0.7,5.75
reschedule_12h,rate_bounded_blend,20,100.35,49.25,182.9,2.5,0.75,6.4,0.95,1.95
reschedule_48h,rate_bounded_blend,20,69.15,25.9,137.80055237325703,2.95,0.95,7.521157816088907,1.0,0.85
