split,model,train_rows,eval_rows,eval_start,eval_stop_exclusive,rmse,mae,rmse_improvement_vs_zero,mae_improvement_vs_zero,r2_zero_increment,residual_lag1,prediction_mean,target_mean
rolling_train70_next10,stack_on_plus_charge,433,62,433,495,7.130584797234442e-05,4.9760635308154965e-05,0.25021752401888886,0.3540907548328669,0.4378262387116345,-0.033385352407726526,3.650268776210505e-05,6.810711747553276e-05
rolling_train80_next10,zero_increment,494,62,494,556,0.00011495208273637918,8.95392242179217e-05,0.0,0.0,0.0,-0.13005654997397662,0.0,8.370451358111645e-05
rolling_train80_next10,constant_segment,494,62,494,556,8.869750074034109e-05,6.387720240998169e-05,0.22839587914425186,0.28660089510585285,0.404627080678428,-0.13005654997397667,4.2964963927214406e-05,8.370451358111645e-05
rolling_train80_next10,event_count_clock,494,62,494,556,8.681745380933257e-05,6.244513112299866e-05,0.24475092801552845,0.30259468218063956,0.4295988392665945,-0.15031866195696428,4.2531691757490994e-05,8.370451358111645e-05
rolling_train80_next10,elapsed_clock,494,62,494,556,9.322262346860436e-05,6.641831568241077e-05,0.1890305834441227,0.2582210057933826,0.34232860541101995,-0.14069115020540873,3.697366136982251e-05,8.370451358111645e-05
rolling_train80_next10,stack_on_clock,494,62,494,556,9.354500086050486e-05,6.72459974050082e-05,0.18622613323994663,0.2489772164951526,0.3377720937783909,-0.1593897953236558,3.6398784874554414e-05,8.370451358111645e-05
rolling_train80_next10,load_on_clock,494,62,494,556,9.37078084671429e-05,6.735619161466329e-05,0.18480982478548036,0.2477465356330213,0.3354649782337208,-0.15942147494616646,3.618059462414337e-05,8.370451358111645e-05
rolling_train80_next10,charge_throughput,494,62,494,556,9.52982839114385e-05,6.945125167250087e-05,0.17097383846461434,0.22434829786474886,0.31271562348990467,-0.17983436596993307,3.477973927499418e-05,8.370451358111645e-05
rolling_train80_next10,stack_on_plus_charge,494,62,494,556,9.354500086050486e-05,6.72459974050082e-05,0.18622613323994663,0.2489772164951526,0.3377720937783909,-0.1593897953236558,3.6398784874554414e-05,8.370451358111645e-05
rolling_train90_next10,zero_increment,556,62,556,618,0.00012465695371236324,0.000100610822661301,0.0,0.0,0.0,-0.04965419786166567,0.0,9.823176262686039e-05
rolling_train90_next10,constant_segment,556,62,556,618,9.199342845014328e-05,6.425187342573391e-05,0.26202730204356384,0.36138208866422694,0.4553962970708987,-0.049654197861665667,4.750786334905241e-05,9.823176262686039e-05
rolling_train90_next10,event_count_clock,556,62,556,618,9.17751045923013e-05,6.498555095220557e-05,0.2637786993891603,0.3540898560090827,0.45797819652688365,-0.05698920356470107,4.5753250870763264e-05,9.823176262686039e-05
rolling_train90_next10,elapsed_clock,556,62,556,618,9.761085280667098e-05,7.139879467213796e-05,0.21696423745520965,0.29034677598754166,0.38685499457589867,-0.08072347839398489,3.826882016861726e-05,9.823176262686039e-05
rolling_train90_next10,stack_on_clock,556,62,556,618,9.902813178810745e-05,7.241763704686473e-05,0.2055948036672901,0.28022020761470734,0.3689203840395886,-0.0806003248224842,3.748499434189486e-05,9.823176262686039e-05
rolling_train90_next10,load_on_clock,556,62,556,618,9.930319101491147e-05,7.268875092520532e-05,0.20338827431924666,0.2775255285417285,0.3654097585079322,-0.0804446407449994,3.7173437282689304e-05,9.823176262686039e-05
rolling_train90_next10,charge_throughput,556,62,556,618,0.0001006983094338142,7.513446758072323e-05,0.19219661290481915,0.2532168449346852,0.34745368779755337,-0.07158530264227606,3.5741427019357065e-05,9.823176262686039e-05
rolling_train90_next10,stack_on_plus_charge,556,62,556,618,9.902813178810745e-05,7.241763704686473e-05,0.2055948036672901,0.28022020761470734,0.3689203840395886,-0.0806003248224842,3.748499434189486e-05,9.823176262686039e-05
